時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:00:14.336,-24.971864867868984,-82.34301029630039,-83.40503009830229
2022/12/30 05:00:14.470,-76.45954706228743,-81.75253322345989,-83.40503009830229
2022/12/30 05:00:14.607,-76.38407042231073,-80.7470244648615,-77.6160204701929
2022/12/30 05:00:14.824,-76.46111200616586,-78.91577585706992,-78.03285102602779
2022/12/30 05:00:14.952,-48.87332272007853,-75.28342108258953,-75.14682678036839
2022/12/30 05:00:15.105,-46.867279061077234,-69.77925349176273,-79.71431031277066
2022/12/30 05:00:15.246,-56.19974770506736,-81.99404128468598,-80.20677386851595
2022/12/30 05:00:15.405,-68.60558487968555,-84,-84
2022/12/30 05:00:15.553,-75.78512778353543,-84,-81.08855766310457
2022/12/30 05:00:15.782,-76.54989048513251,-84,-82.37718654163119
2022/12/30 05:00:15.973,-76.66024350506008,-79.49557366238065,-81.08367803201672
2022/12/30 05:00:16.212,-76.28960051444999,-58.546338579452254,-48.78717419094103
2022/12/30 05:00:16.444,-76.34649879869775,-82.65943803990484,-51.48453063678676
2022/12/30 05:00:16.731,-58.4583286505904,-82.17699029704679,-77.5718631734122
2022/12/30 05:00:16.912,-60.32337963578147,-77.08955592445405,-77.2744284184128
2022/12/30 05:00:17.036,-37.19573066798115,-82.52866291669395,-84
2022/12/30 05:00:17.168,-59.838687552500254,-79.20981460111068,-81.60756900582976
2022/12/30 05:00:17.767,-76.38238637628572,-66.52859439707109,-37.80954676094558
2022/12/30 05:00:18.177,-76.44958475877227,-51.4606372123711,-27.121990339252484
2022/12/30 05:00:18.333,-76.3074745657185,-78.21134746980104,-56.60780598675865
2022/12/30 05:00:18.519,-76.23287656491443,-78.92593481111857,-65.09876709641007
2022/12/30 05:00:18.945,-32.653485190648055,-61.48785954963178,-70.37540735585041
2022/12/30 05:00:19.114,-44.70685813600018,-55.5005093134038,-18.99582082548505
2022/12/30 05:00:19.266,-57.97566175461953,-56.18874402231696,-31.355743735114018
2022/12/30 05:00:19.716,-38.155331001463644,-80.909859414984,-67.64527454013208
2022/12/30 05:00:19.940,-61.11205012761601,-76.71653222150977,-72.77305581196747
2022/12/30 05:00:20.113,-59.23484036622861,-78.5566774438182,-78.81106033180512
2022/12/30 05:00:20.285,-65.49922229775663,-79.27972802327041,-78.48514918015412
2022/12/30 05:00:20.519,-76.51091626458339,-83.33897789953953,-69.16632181317647
2022/12/30 05:00:20.747,-76.36442822003909,-78.13612866301624,-58.72713680693182
2022/12/30 05:00:20.904,-76.21250612745585,-78.45120805875541,-70.32110520174452
2022/12/30 05:00:21.283,-76.55957726118766,-79.34414562751633,-73.48291444143311
2022/12/30 05:00:21.612,-30.814620706043886,-83.13386109434884,-72.59828160365474
2022/12/30 05:00:21.841,-48.86652892333127,-79.40240918683484,-72.34838899714086
