時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:58:08.982,-76.48567210550455,-71.60899276402947,-82.07498001557474
2022/12/30 04:58:09.264,-76.38099995674321,-72.59566572988928,-55.02670183346715
2022/12/30 04:58:12.114,-58.93027011815077,-67.18345143439406,-51.50684517908296
2022/12/30 04:58:12.396,-57.37882621567475,-70.39182178722692,-70.1514273886792
2022/12/30 04:58:12.631,-41.239570854694975,-78.27994808771906,-74.64983480498998
2022/12/30 04:58:12.828,-46.589408923167625,-83.8814484738482,-81.51951585687445
2022/12/30 04:58:13.162,-56.93577376706483,-82.4435518442212,-79.13626576498541
2022/12/30 04:58:13.524,-76.362781261106,-80.5640265707301,-82.0480599024707
2022/12/30 04:58:13.710,-76.17585590662483,-82.82891028016599,-81.50241864432303
2022/12/30 04:58:14.004,-76.29584528726662,-83.32437129318897,-84
2022/12/30 04:58:14.269,-76.38277706015987,-63.05412556267913,-63.483807158656376
