時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:56:45.157,-84,-84,-84
2022/12/30 04:56:45.302,-42.119312596067,-79.31149598312926,-74.3512024355378
2022/12/30 04:56:45.434,-46.323318703126915,-79.85902422199152,-77.47373558907208
2022/12/30 04:56:45.568,-53.21792176597764,-83.3297996686014,-84
2022/12/30 04:56:45.700,-66.49695981746332,-79.8943462698565,-84
2022/12/30 04:56:46.029,-73.63658700292501,-82.51586288181551,-84
2022/12/30 04:56:46.298,-73.58061866678409,-84,-81.93200839396972
2022/12/30 04:56:46.783,-73.74608439224392,-80.46606309083148,-84
2022/12/30 04:56:47.068,-73.6514646775559,-83.25799829467265,-84
2022/12/30 04:56:47.236,-73.86501950345925,-79.52851492546233,-84
2022/12/30 04:56:47.383,-73.51060521047113,-84,-84
2022/12/30 04:56:47.552,-73.66328308830535,-76.30184292661197,-84
2022/12/30 04:56:47.985,-57.98369838100157,-84,-84
2022/12/30 04:56:48.846,-63.37186237171265,-82.98939970044962,-84
2022/12/30 04:56:49.486,-38.79372855547795,-84,-84
2022/12/30 04:56:49.796,-73.98682490791072,-83.4006102324403,-84
2022/12/30 04:56:50.002,-73.53227145310227,-79.56301182259688,-82.81918138308187
2022/12/30 04:56:50.145,-73.45303768388239,-76.52985955428264,-78.1055244897574
2022/12/30 04:56:50.299,-37.35158855671317,-79.54118895807576,-84
2022/12/30 04:56:50.445,-42.81060743178657,-82.83562626575889,-84
2022/12/30 04:56:50.581,-56.37459687728615,-77.43729599777055,-84
2022/12/30 04:56:50.717,-68.28087055108475,-77.72477954566081,-81.34905378428407
2022/12/30 04:56:50.844,-56.12278017749391,-77.31131115853887,-84
2022/12/30 04:56:50.974,-61.11608444080906,-83.49659272121363,-84
2022/12/30 04:56:51.131,-49.94045263569207,-79.08023350119821,-84
2022/12/30 04:56:51.266,-35.843059073296416,-84,-84
2022/12/30 04:56:51.532,-54.084523797003186,-82.3890942654009,-84
2022/12/30 04:56:51.684,-59.18436689617415,-80.70335367138992,-84
2022/12/30 04:56:51.818,-56.827517414792396,-83.63740090225502,-84
2022/12/30 04:56:51.945,-73.69061578089108,-82.41827604729964,-84
2022/12/30 04:56:52.080,-73.79997809624255,-84,-84
2022/12/30 04:56:52.230,-73.48877508241412,-81.49234944155025,-84
2022/12/30 04:56:52.386,-73.43874296083634,-84,-84
2022/12/30 04:56:52.750,-73.88910604061621,-64.60231910508685,-78.47877868951076
2022/12/30 04:56:53.014,-30.917985151781796,-64.76218379241249,-84
2022/12/30 04:56:53.167,-42.83705089742113,-77.49067715197964,-84
2022/12/30 04:56:53.379,-47.76864111883189,-76.8447476429469,-84
2022/12/30 04:56:53.511,-71.75795960828138,-81.64403407765315,-84
2022/12/30 04:56:53.683,-53.67626742207893,-64.87518420390451,-84
2022/12/30 04:56:53.994,-73.30215063075325,-82.21672353059108,-78.27489525136636
2022/12/30 04:56:54.150,-73.37783000917044,-79.89996321564588,-75.19334291871681
2022/12/30 04:56:54.282,-73.28846585899123,-82.70427992657117,-81.58724299931166
2022/12/30 04:56:54.417,-73.47727030109957,-81.1145168054692,-82.56289403556843
2022/12/30 04:56:54.551,-73.46190815776713,-84,-80.93909706854086
2022/12/30 04:56:54.677,-73.44883397574458,-84,-83.63876718987814
2022/12/30 04:56:54.816,-73.41227050403373,-83.24721914799295,-84
2022/12/30 04:56:54.962,-73.29278082414908,-81.97062903886732,-74.67555258363376
2022/12/30 04:56:55.096,-52.78188530756484,-82.28520535587414,-79.09891504614197
2022/12/30 04:56:55.344,-73.61187992948759,-81.42805525671731,-67.53889076708316
2022/12/30 04:56:55.645,-46.141565566915745,-80.55229964656,-72.6059368199967
2022/12/30 04:56:55.784,-57.743078595270546,-81.205910316242,-79.3249781170841
2022/12/30 04:56:56.136,-37.35855744200772,-84,-62.18488602053852
2022/12/30 04:56:56.632,-73.53109020195001,-80.74290062107112,-57.25670046001855
2022/12/30 04:56:56.800,-34.2648821958843,-84,-62.21697806750396
2022/12/30 04:56:56.948,-47.44483162081408,-60.5960369042988,-43.96309349441686
2022/12/30 04:56:57.102,-49.365712145845045,-64.98263265680936,-65.36371032327197
2022/12/30 04:56:57.252,-73.5845741314671,-70.0521981021802,-69.38496679048988
2022/12/30 04:56:57.430,-73.62552711647749,-83.25205968919596,-65.18227023007282
