時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:59:07.090,-54.81077220684106,-55.02175874245963,-29.545428157551324
2022/12/30 04:59:07.260,-35.536162838537095,-81.49554857300754,-79.98856037703257
2022/12/30 04:59:07.560,-73.00467859673321,-83.27725540791242,-83.30582090270978
2022/12/30 04:59:07.824,-73.85518911857854,-81.33614683866213,-78.72027533907779
2022/12/30 04:59:08.224,-42.6409914340558,-82.32592885007415,-83.93101407723172
2022/12/30 04:59:08.353,-38.27644834492202,-82.6396935219379,-81.86710901459097
2022/12/30 04:59:08.911,-73.76731636867797,-80.49055566427029,-79.42556232476603
2022/12/30 04:59:09.394,-73.26366597636476,-84,-74.38888865213015
2022/12/30 04:59:09.609,-14.772524220556607,-84,-68.53921148704151
2022/12/30 04:59:10.111,-27.993075866816124,-83.21765434799202,-77.529250193826
2022/12/30 04:59:10.305,-38.95538254959971,-81.40969202445474,-84
2022/12/30 04:59:10.523,-57.81077634955502,-83.51964629907194,-83.7004342160379
2022/12/30 04:59:10.652,-30.77986749749207,-84,-84
2022/12/30 04:59:10.803,-32.367588901928684,-84,-78.93678974704297
2022/12/30 04:59:11.004,-33.946541139946895,-80.667488351992,-72.56533636842597
2022/12/30 04:59:11.143,-23.975638112527605,-84,-84
2022/12/30 04:59:13.228,-29.292847930959823,-78.87806577098758,-80.68234644280625
2022/12/30 04:59:13.691,-32.954299433712336,-76.70385668359147,-81.58183664099568
2022/12/30 04:59:14.744,-11.483234776474923,-77.68379245902781,-82.31027788265209
2022/12/30 04:59:15.058,-16.025162664633083,-80.93441092338409,-84
2022/12/30 04:59:15.727,-37.65447749931124,-79.90600212189119,-81.23007281849749
2022/12/30 04:59:15.860,-18.87080885925453,-82.47118173024234,-84
2022/12/30 04:59:16.003,-38.89692851849247,-81.30667618269192,-82.68905255330401
2022/12/30 04:59:16.144,-18.644197311751988,-84,-79.25689131439086
