時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:30:43.942,-76.4289149213345,-84,-81.84764327196106
2022/12/30 05:30:44.079,-76.62553593243328,-74.83805028664457,-61.730258205618654
2022/12/30 05:30:44.205,-76.4595087104559,-80.54888830239153,-64.24035111485057
2022/12/30 05:30:44.347,-76.28451416911125,-76.62282521486364,-67.62066577489352
2022/12/30 05:30:44.485,-76.3357184870168,-81.15291555633605,-76.01196100776575
2022/12/30 05:30:44.610,-76.37657738428263,-82.06104818543557,-74.6880284330041
2022/12/30 05:30:44.742,-76.39874656827891,-80.29258165964576,-75.13733523618532
2022/12/30 05:30:44.875,-76.20441611675318,-78.06000897488804,-75.6974647432578
2022/12/30 05:30:45.014,-76.31980605450816,-77.89557194108299,-76.12947139150609
2022/12/30 05:30:45.144,-76.29000136548143,-75.95431809600994,-82.84996096648699
2022/12/30 05:30:45.281,-76.60741233447138,-78.92248709671448,-80.7830367002313
2022/12/30 05:30:45.413,-76.50989534036421,-80.10593346868234,-81.08528646152169
2022/12/30 05:30:45.547,-76.31263848988507,-82.62233103114804,-83.39701667034208
2022/12/30 05:30:45.711,-76.55395622282106,-84,-79.23411567912547
2022/12/30 05:30:45.886,-76.36800330056194,-83.00429952442146,-80.54181896260637
2022/12/30 05:30:46.047,-76.35083752893684,-83.39231936152692,-77.21632184394625
2022/12/30 05:30:46.185,-76.16485902073889,-80.70724146533271,-77.64604044040233
2022/12/30 05:30:46.324,-76.50242344403242,-80.02211112301686,-81.57171276725775
2022/12/30 05:30:46.473,-76.48140429507956,-81.24255438475139,-84
2022/12/30 05:30:46.615,-76.28064566124374,-84,-83.62088872287359
2022/12/30 05:30:46.795,-76.50286850263693,-81.99784060587109,-82.561252885639
2022/12/30 05:30:46.950,-76.10628667476132,-84,-84
2022/12/30 05:30:47.085,-76.4011917179065,-84,-81.5942127141661
2022/12/30 05:30:47.230,-76.23936042352997,-84,-82.180317027853
2022/12/30 05:30:47.402,-76.2654930315836,-84,-84
2022/12/30 05:30:47.632,-76.40311114233533,-84,-84
2022/12/30 05:30:47.799,-76.6231327563778,-80.69332382499185,-79.03120764200592
2022/12/30 05:30:47.946,-76.50789293947062,-81.10907829777202,-74.70479391650203
2022/12/30 05:30:48.095,-76.55646344915476,-83.49984039264152,-75.71982893086678
2022/12/30 05:30:48.229,-76.59002682118236,-79.28941618628534,-84
2022/12/30 05:30:48.362,-76.21258833059906,-84,-84
2022/12/30 05:30:48.508,-76.36026730345927,-83.29708566093191,-83.9878775408477
2022/12/30 05:30:48.645,-76.42083097810561,-83.14857032721784,-69.20573892881312
2022/12/30 05:30:48.774,-76.35440768708327,-74.33996846330483,-72.37884808403501
2022/12/30 05:30:48.934,-76.58437598389148,-79.22892142256381,-75.01774654254548
2022/12/30 05:30:49.067,-76.26429354010547,-84,-80.39481464162334
2022/12/30 05:30:50.614,-76.3462172039842,-79.84787483115598,-79.07968767053396
2022/12/30 05:30:50.749,-76.32506885444963,-82.60557523444962,-81.69184053264615
2022/12/30 05:30:50.900,-76.43933431245371,-81.52799107374054,-77.36853688811517
2022/12/30 05:30:51.043,-76.25610902669024,-78.28724044601114,-84
2022/12/30 05:30:51.180,-76.34451435580732,-79.36898014534646,-75.09396741541903
2022/12/30 05:30:51.310,-76.23424240844378,-71.63562842953657,-82.3291664594626
2022/12/30 05:30:51.440,-76.35558655390224,-78.84819251556476,-79.3598197666769
2022/12/30 05:30:51.583,-76.42941303241675,-80.26052981499063,-74.79644057996953
2022/12/30 05:30:51.729,-76.26025113013353,-80.48483070783071,-82.88378667560681
2022/12/30 05:30:51.867,-76.42228120540129,-82.16299559669463,-71.72828980261662
2022/12/30 05:30:52.026,-76.32892814902178,-81.98501388218179,-81.44351234809551
2022/12/30 05:30:52.197,-76.33020391777083,-81.66765296742155,-64.17758228733842
2022/12/30 05:30:52.334,-76.5005136079525,-82.2968815521201,-72.07347361581769
2022/12/30 05:30:52.475,-76.36872701496085,-83.0957871486466,-81.5578586442804
