時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:17:01.707,-31.65715645264564,-55.1010910404686,-84
2022/12/30 05:17:01.948,-69.38089131809897,-82.6437062328909,-78.9573920563627
2022/12/30 05:17:02.220,-73.76181856179952,-82.37488956925161,-84
2022/12/30 05:17:02.471,-73.22013688285587,-82.597584979607,-83.1224920497234
2022/12/30 05:17:02.596,-73.60439996701955,-82.63115752343236,-82.15942794867493
2022/12/30 05:17:02.727,-73.41091841129025,-83.41278389183688,-77.51550906393275
2022/12/30 05:17:02.866,-73.43092095077718,-84,-84
2022/12/30 05:17:02.999,-73.54499358449635,-82.6380120876685,-84
2022/12/30 05:17:03.125,-73.35247174716363,-82.57799158464462,-84
2022/12/30 05:17:03.281,-73.38754709934491,-84,-84
2022/12/30 05:17:03.892,-29.864501259832444,-82.95995396170372,-79.95042255824343
2022/12/30 05:17:04.042,-29.195101838442742,-84,-78.48564610240695
2022/12/30 05:17:04.223,-30.93165327796467,-84,-81.89449903535385
2022/12/30 05:17:04.370,-26.876046682721327,-81.39102466943768,-76.54232853073182
2022/12/30 05:17:04.514,-25.318375259929653,-80.62169586693712,-79.92527874199824
2022/12/30 05:17:04.672,-20.35024359787473,-81.73997544136179,-80.56852395512342
2022/12/30 05:17:04.804,-36.059969881864546,-84,-81.88952593426146
2022/12/30 05:17:04.929,-14.500092711301008,-82.63056293798456,-80.46402165236378
2022/12/30 05:17:05.062,-21.803186054399628,-82.63056293798456,-82.8514960704363
2022/12/30 05:17:05.213,-50.380952159312415,-84,-84
2022/12/30 05:17:05.342,-28.12256739030922,-84,-84
2022/12/30 05:17:05.474,-60.23409000866825,-84,-84
2022/12/30 05:17:05.603,-71.52597432208728,-82.37189000796783,-84
2022/12/30 05:17:05.738,-64.08919958887155,-78.43393220814593,-84
2022/12/30 05:17:05.879,-10.837270764041634,-84,-84
2022/12/30 05:17:06.011,-16.21570309008446,-83.02138250679454,-83.21792289794197
2022/12/30 05:17:06.191,-19.614649927474844,-81.95675336308886,-83.23483775444564
2022/12/30 05:17:06.367,-32.83036720744403,-71.79704715800187,-45.740006695124144
2022/12/30 05:17:06.526,-10.658695849873824,-80.90191516952876,-65.68743706156486
2022/12/30 05:17:06.665,-14.298835858385477,-82.15875754245907,-63.54206400703263
2022/12/30 05:17:06.803,-15.05880447958959,-79.00240954836846,-76.68164241145699
2022/12/30 05:17:06.945,-13.86368678732846,-81.9005348637362,-72.45359345018375
2022/12/30 05:17:07.079,-32.229156151885505,-84,-78.66662588039625
2022/12/30 05:17:07.231,-26.36492156505031,-81.99019998296637,-80.37544003030663
2022/12/30 05:17:07.407,-33.600637797971984,-82.92451499217334,-84
2022/12/30 05:17:08.109,-37.41480133984654,-82.23929004545,-84
2022/12/30 05:17:08.246,-65.06151963904453,-84,-84
2022/12/30 05:17:08.375,-47.756010593871714,-75.29478816350928,-80.78505889130642
2022/12/30 05:17:08.502,-19.704558982881565,-70.50462310969522,-69.93133769946623
2022/12/30 05:17:08.629,-10.239793529318796,-83.38497237015824,-66.4374665874354
2022/12/30 05:17:08.755,-16.06864945439177,-80.634760031611,-75.76712391610185
2022/12/30 05:17:08.880,-16.13585886641538,-84,-81.25801227079825
2022/12/30 05:17:09.015,-29.805873746765567,-81.16761466970988,-83.47840136708177
2022/12/30 05:17:09.165,-41.542400799602426,-81.91914035592971,-73.86377659123312
2022/12/30 05:17:09.304,-17.324226214499742,-84,-78.18062911886265
