時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:16:13.683,-36.84269479654601,-79.75183670079181,-84
2022/12/30 05:16:13.816,-62.79960516304324,-74.3652246443496,-61.27640797131674
2022/12/30 05:16:13.960,-25.552997250555883,-67.38268433764776,-46.007114573044944
2022/12/30 05:16:14.097,-20.096109590153468,-72.4570028497294,-66.52792707445
2022/12/30 05:16:14.235,-42.753304371493044,-82.2809028599574,-72.64373648006969
2022/12/30 05:16:14.381,-66.36289763926862,-75.60492753554851,-63.13488648868004
2022/12/30 05:16:14.532,-73.00811312760253,-73.09140509284023,-72.42857152302712
2022/12/30 05:16:14.682,-24.047039889667662,-74.78665588634011,-59.47782453308082
2022/12/30 05:16:14.833,-20.940624858626443,-72.0923759339058,-64.68208291718427
2022/12/30 05:16:14.959,-16.057499052877237,-70.59949391400733,-47.731839340574396
2022/12/30 05:16:15.095,-20.035301752385337,-67.73440477724365,-55.79199748256375
2022/12/30 05:16:15.247,-25.179922409642423,-75.74345168605299,-68.24541078132721
2022/12/30 05:16:15.745,-73.31797971568375,-73.39102742844057,-56.62083616371309
2022/12/30 05:16:15.913,-73.35514449329142,-69.94584678909342,-47.29733473818663
2022/12/30 05:16:16.100,-73.30691087904836,-66.87340801253423,-46.541290926576664
2022/12/30 05:16:16.264,-73.12256084810828,-76.1906361066696,-63.27642496003186
2022/12/30 05:16:16.440,-18.995282070265166,-78.50372560827584,-70.57295057255372
2022/12/30 05:16:16.596,-15.210233749688305,-71.16428289535517,-65.00989820936806
2022/12/30 05:16:16.732,-24.504395310451265,-76.34258542285318,-69.42675067217706
2022/12/30 05:16:16.872,-14.250518619147975,-80.11267057187735,-66.91630955693554
2022/12/30 05:16:17.075,-30.603893315959123,-72.54099247822639,-58.55226014892004
2022/12/30 05:16:17.212,-32.52034276309122,-67.87672057211255,-59.163242205067796
2022/12/30 05:16:17.348,-30.797370714568984,-77.63681608379073,-69.23000360791293
2022/12/30 05:16:17.498,-26.956219973829164,-77.2737714066045,-71.31171549933518
2022/12/30 05:16:17.650,-22.139271362315508,-77.79904410663426,-72.09329183546488
2022/12/30 05:16:17.781,-26.129178124970153,-78.99856833281542,-74.80897106643839
2022/12/30 05:16:17.949,-15.607063682892973,-80.06871302409438,-73.01767847282622
2022/12/30 05:16:18.172,-46.036108538663605,-69.69771579451312,-74.19565237930306
2022/12/30 05:16:18.372,-28.064083268226927,-68.00337871772548,-53.390413707530904
2022/12/30 05:16:18.583,-39.7110754049536,-75.92537719776067,-65.82605455191812
2022/12/30 05:16:18.749,-18.019829679327945,-76.24439955637004,-66.76467976629431
2022/12/30 05:16:18.877,-25.06197326619553,-78.15080852519077,-69.24806730271418
2022/12/30 05:16:19.024,-26.90479829544316,-75.89898115347107,-70.31118834666736
2022/12/30 05:16:19.157,-23.171924060231635,-74.34756714872991,-62.6770348248792
2022/12/30 05:16:19.295,-35.26037225747426,-69.09580682356454,-59.45092582262974
2022/12/30 05:16:19.431,-14.700012294794506,-73.9089919977734,-71.69714347615484
2022/12/30 05:16:19.562,-13.47854179705517,-75.1065976705086,-73.69885097820413
2022/12/30 05:16:19.698,-14.17600281897882,-75.00577391294769,-71.48892268947868
2022/12/30 05:16:19.846,-21.599619839023237,-75.67612162872888,-72.15823708495903
2022/12/30 05:16:19.974,-20.167591358626233,-83.56946993804988,-69.04022361021228
2022/12/30 05:16:20.132,-28.89536456597741,-78.29065723552446,-72.2809608145623
2022/12/30 05:16:20.300,-28.989730842787424,-73.30099635271654,-70.09912649532222
2022/12/30 05:16:20.480,-35.31463810289284,-66.51699336612396,-42.91148398958383
2022/12/30 05:16:20.618,-17.806050665479237,-75.74317175941859,-60.403847740713
2022/12/30 05:16:20.785,-17.271018682500724,-70.59212357364297,-63.15839318583353
2022/12/30 05:16:20.910,-39.71021249633387,-74.63458969604625,-61.49292568084198
2022/12/30 05:16:21.049,-57.178995702045505,-73.7484755765029,-73.01567848619635
2022/12/30 05:16:21.191,-40.9677982048348,-75.57130449478362,-67.14813556251505
2022/12/30 05:16:21.344,-59.32312624624352,-60.978989528024535,-64.66315914908708
2022/12/30 05:16:21.510,-10.746229105856637,-68.71672681126402,-56.74989856312479
2022/12/30 05:16:21.695,-17.35559033081085,-76.08229958153694,-68.55581812554726
2022/12/30 05:16:21.847,-13.749103653364703,-83.18351915529777,-78.0839496920832
2022/12/30 05:16:22.031,-25.477941347810823,-80.54324903850132,-65.69650928408991
2022/12/30 05:16:22.165,-22.435009299601024,-76.02614506705743,-74.42778276507127
2022/12/30 05:16:22.301,-28.589663777868843,-75.38176539571018,-71.97114093636914
2022/12/30 05:16:22.443,-38.613732813970906,-75.50416707515814,-74.13148174700761
2022/12/30 05:16:22.593,-35.7508439564402,-70.14104039648538,-57.45499606964528
2022/12/30 05:16:22.732,-27.151384417267227,-74.18892404804939,-70.46633432913508
