時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:47:10.360,-76.54864894942455,-80.97227680905513,-80.89517298409645
2022/12/30 04:47:10.504,-76.36509607443303,-79.48811051183216,-76.33072213168207
2022/12/30 04:47:10.635,-76.27669123967327,-83.62687274423301,-79.88751474962305
2022/12/30 04:47:10.830,-76.38205009171341,-77.24040771759368,-79.52992664639939
2022/12/30 04:47:11.015,-76.56688059882865,-82.98102747154813,-83.85413081186627
2022/12/30 04:47:11.202,-76.2281941327749,-81.97947592094292,-80.03069022579248
2022/12/30 04:47:11.451,-76.20294043570077,-82.45776569296643,-73.81576270794902
2022/12/30 04:47:12.102,-76.18108211146803,-80.03390597549789,-78.63104910048982
2022/12/30 04:47:12.250,-76.47512085235513,-75.09116559013565,-82.28191590092845
2022/12/30 04:47:12.579,-76.36689971138465,-84,-78.66135512025531
2022/12/30 04:47:12.869,-76.29708483413626,-72.4941815239689,-46.901353529997216
2022/12/30 04:47:13.252,-76.44933448333673,-84,-72.19381274637978
2022/12/30 04:47:13.667,-76.2617180416246,-80.35264779922895,-78.19257671355342
2022/12/30 04:47:13.934,-76.28935739516871,-83.06447143158381,-82.88916138059271
2022/12/30 04:47:14.219,-76.31537378611017,-84,-83.98707721828723
2022/12/30 04:47:14.393,-76.40502267581626,-82.25785216948398,-82.90899393978887
2022/12/30 04:47:14.547,-76.6408868506072,-84,-78.32769766559784
2022/12/30 04:47:14.766,-76.57766298200745,-83.6889382117393,-84
2022/12/30 04:47:14.896,-76.73523064948054,-79.36288667276997,-80.08051724047792
2022/12/30 04:47:15.068,-71.54633359001099,-76.27946370066327,-69.69259146440373
2022/12/30 04:47:15.217,-33.496597659441505,-79.0689561163134,-77.26333329596015
2022/12/30 04:47:15.369,-42.97532717563618,-83.27063412324021,-82.23183430829992
2022/12/30 04:47:15.518,-69.52180138695829,-82.77959714352902,-70.15268255177143
2022/12/30 04:47:15.647,-76.12673935723707,-82.91622838667178,-69.41063118306123
2022/12/30 04:47:15.774,-59.562438428797506,-83.3817861153235,-75.29699851608183
2022/12/30 04:47:15.912,-76.15164753814854,-79.42272333017625,-82.08134056543541
2022/12/30 04:47:16.047,-76.39377335979326,-81.91178013967779,-79.80585129880441
2022/12/30 04:47:16.186,-76.42293567821098,-84,-76.431781576422
2022/12/30 04:47:16.374,-76.36479343520953,-71.40408483396746,-75.07878817728434
2022/12/30 04:47:16.541,-76.27161733157494,-84,-66.07935113734771
2022/12/30 04:47:16.763,-76.19503116866724,-82.9920743077249,-72.06369000401264
2022/12/30 04:47:16.917,-76.4498059681134,-80.12150489945599,-74.45756525353983
2022/12/30 04:47:17.112,-59.68458378191716,-77.26756796357583,-80.51238225685918
2022/12/30 04:47:17.302,-56.95619870388449,-81.72083341116947,-75.89317641831542
2022/12/30 04:47:17.479,-76.39175335982395,-77.66790812818417,-76.95389057940176
2022/12/30 04:47:17.699,-76.26749536572561,-81.68374969056214,-79.95603899700336
2022/12/30 04:47:17.943,-59.45765041153451,-83.5746280228416,-84
2022/12/30 04:47:18.429,-76.2599691705738,-82.38164393017814,-68.82171484822854
2022/12/30 04:47:18.894,-76.49045654439986,-74.594025074187,-53.85976149007793
