時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:49:06.474,-70.32644247926255,-78.44402140827297,-77.14409871517798
2022/12/30 04:49:06.610,-62.55911214485128,-81.22812030686714,-77.14409871517798
2022/12/30 04:49:06.778,-76.33568765546127,-77.19068328251014,-78.41512922412606
2022/12/30 04:49:06.907,-76.29365331116058,-81.39556125131725,-78.10808789846438
2022/12/30 04:49:07.046,-59.758548646211665,-77.82520296978261,-77.2812716017088
2022/12/30 04:49:07.246,-45.29250375452694,-74.51377660670404,-84
2022/12/30 04:49:07.408,-56.42709400356978,-79.12869318698905,-84
2022/12/30 04:49:07.602,-60.2178838342007,-81.2959159642344,-84
2022/12/30 04:49:07.911,-76.43341917115939,-82.39879168111423,-83.1798765625218
2022/12/30 04:49:08.238,-76.32781151228235,-82.9318592348688,-84
2022/12/30 04:49:08.427,-76.43105160137519,-84,-83.99567479485162
2022/12/30 04:49:08.558,-76.22653289836842,-79.81568726018332,-84
2022/12/30 04:49:08.769,-76.3792351785397,-73.43812522094595,-60.91318644039512
2022/12/30 04:49:08.913,-68.1734438330212,-78.29190780161727,-75.72936513892063
2022/12/30 04:49:09.061,-55.8776175285024,-83.74184257856996,-78.90802214118646
2022/12/30 04:49:09.192,-63.61308191322372,-84,-77.7874673488832
2022/12/30 04:49:09.344,-53.29780239481533,-83.47838070129113,-83.83674696917441
2022/12/30 04:49:09.710,-75.5130991590835,-82.6986564471623,-84
2022/12/30 04:49:10.080,-64.9339886362913,-80.24346421795283,-84
2022/12/30 04:49:10.452,-61.23866298359204,-83.42492031610092,-84
2022/12/30 04:49:10.748,-76.3277324035501,-79.79204395998939,-84
2022/12/30 04:49:10.974,-76.3907173000067,-73.68661665405624,-81.47046845810272
2022/12/30 04:49:11.143,-47.2001334385358,-75.02740918080046,-80.68514750859464
2022/12/30 04:49:11.277,-55.08878854919344,-81.1709846894222,-84
2022/12/30 04:49:11.444,-51.94390178743885,-75.44539504278875,-84
2022/12/30 04:49:11.589,-67.97943916419918,-65.73775281652915,-74.98734824922823
2022/12/30 04:49:11.758,-62.658846111798454,-70.9404634014474,-72.2375338970481
2022/12/30 04:49:11.910,-43.51782915688651,-79.10106771595224,-80.8301814537905
2022/12/30 04:49:12.119,-48.44780803816577,-78.15971336444753,-78.12814811651367
2022/12/30 04:49:12.351,-54.015071643882166,-77.65101899606132,-83.74202774839402
2022/12/30 04:49:12.512,-61.17109684913541,-76.2635302756925,-68.0886291186703
2022/12/30 04:49:12.666,-65.53589568464533,-74.74410062568089,-69.69096504776911
2022/12/30 04:49:12.819,-63.288459071712076,-74.69398417657827,-73.85075803398937
2022/12/30 04:49:12.945,-76.37373074114905,-81.67240547707084,-80.84389759184143
2022/12/30 04:49:13.109,-61.41666171621203,-78.11352686512761,-80.42566009655872
2022/12/30 04:49:13.246,-60.37513232937491,-77.08890004257128,-78.63017950999412
2022/12/30 04:49:13.373,-76.39841780107994,-74.24129810925638,-70.18082679711762
2022/12/30 04:49:13.506,-76.50153397257785,-74.0520008573044,-77.45043524541656
2022/12/30 04:49:13.675,-76.34464715172824,-73.51354935516127,-79.13040819163578
2022/12/30 04:49:13.896,-42.962596917586836,-75.37687796194842,-73.37395979605814
2022/12/30 04:49:14.208,-40.54701582727556,-75.08725772925186,-78.87445810778858
2022/12/30 04:49:14.345,-46.47751767932566,-76.1668815102948,-68.27560027080116
2022/12/30 04:49:14.489,-61.53290010912991,-75.85629707104454,-66.94011219033331
