時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:47:56.425,-76.31751857805403,-81.43513352883004,-45.81794628984004
2022/12/30 04:47:56.579,-59.13812778102147,-79.04102847426616,-57.75086109238765
2022/12/30 04:47:56.713,-55.995957161250544,-83.14705371577703,-59.812926706525744
2022/12/30 04:47:56.850,-76.14609196186636,-77.53887866635449,-68.13943762982781
2022/12/30 04:47:56.981,-76.54874264590555,-80.016597992896,-70.7593323748333
2022/12/30 04:47:57.113,-76.44615748432321,-81.86092346979551,-69.5247871098189
2022/12/30 04:47:57.244,-59.73684057200483,-79.7127721051173,-71.74222881200575
2022/12/30 04:47:57.381,-58.62375595692406,-79.02971365616098,-77.00421714568479
2022/12/30 04:47:57.517,-48.66710752058686,-81.16174368243892,-73.53646661474839
2022/12/30 04:47:57.650,-58.90967526098709,-83.42593671575682,-70.53125137439304
2022/12/30 04:47:57.782,-65.40669397857216,-82.46083500466086,-76.81725078905002
2022/12/30 04:47:57.939,-63.42657052587276,-83.07311863637707,-78.08986695108224
2022/12/30 04:47:58.065,-68.11992412759209,-83.0783460938968,-72.03149610023155
2022/12/30 04:47:58.213,-76.3961166376505,-82.56553848843589,-74.83906477004565
2022/12/30 04:47:58.344,-76.3469313256198,-82.01730597600127,-73.84958168412281
2022/12/30 04:47:58.495,-76.33561455027399,-80.51014379853015,-79.05865554026639
2022/12/30 04:47:58.649,-76.59543962249035,-79.25983788800596,-77.00701426040649
2022/12/30 04:47:58.806,-76.31879294685027,-83.6502840752533,-77.92196760662357
2022/12/30 04:47:58.936,-76.38872369078116,-79.47160099516232,-80.61538665997959
2022/12/30 04:47:59.078,-76.62448808077217,-80.7819265096476,-78.85171555627919
2022/12/30 04:47:59.222,-59.76908742662806,-84,-83.17044842193698
2022/12/30 04:47:59.362,-70.58580324463841,-82.42700457536165,-81.36715619185566
2022/12/30 04:47:59.509,-53.30224206275642,-81.60666836509462,-83.38384888816401
2022/12/30 04:47:59.641,-62.694329402527885,-84,-78.76642897914839
2022/12/30 04:47:59.781,-66.51957984646933,-80.89757604620105,-79.57532576820978
2022/12/30 04:47:59.924,-67.13483021733184,-84,-84
2022/12/30 04:48:00.060,-76.3677918802093,-80.545884940505,-74.81834341541668
2022/12/30 04:48:00.189,-76.17757775893743,-80.35411639928486,-78.45863540159093
2022/12/30 04:48:00.328,-58.93595175000617,-79.57467511295552,-75.73181162923392
2022/12/30 04:48:00.463,-72.33143345725276,-80.43545051444875,-71.13235887375495
2022/12/30 04:48:00.592,-54.205373162727646,-81.84811248766604,-74.63399455554503
2022/12/30 04:48:00.727,-72.22772786743352,-83.90491951293532,-76.32583292066757
2022/12/30 04:48:00.865,-68.04799176844098,-82.05764172776412,-75.79602239189208
2022/12/30 04:48:01.013,-76.19750212684355,-84,-78.01053776554534
2022/12/30 04:48:01.179,-76.20205200227534,-79.49029349555795,-69.46093075481406
2022/12/30 04:48:01.333,-55.941143922000755,-79.45883545259065,-69.40190931219088
2022/12/30 04:48:01.474,-55.18825867265907,-77.08110793456419,-72.79765282394217
2022/12/30 04:48:01.614,-76.36750302729591,-81.0585489175231,-82.17214475934293
2022/12/30 04:48:01.766,-67.05017644285802,-76.92371183893256,-76.67703027619157
2022/12/30 04:48:01.894,-59.08625836642723,-73.16949916038377,-64.65026227343449
2022/12/30 04:48:02.032,-50.313114145349935,-81.0805227129357,-64.09104663427843
2022/12/30 04:48:02.158,-51.10828673019987,-77.54053771031593,-74.43257641049523
2022/12/30 04:48:02.296,-61.423304534448576,-82.48027751796553,-77.15146317305245
2022/12/30 04:48:02.493,-61.22628411593539,-82.50231022193191,-75.29656738217606
2022/12/30 04:48:02.630,-71.49266567175965,-79.82110060186032,-82.37017025395035
2022/12/30 04:48:02.769,-58.70325694223829,-83.82899638019217,-79.96542425864226
2022/12/30 04:48:02.894,-63.64008883012985,-80.67168732207472,-78.02731764526004
2022/12/30 04:48:03.021,-76.61070672075147,-82.36654281701587,-79.1074463239097
2022/12/30 04:48:03.158,-68.6242366040104,-80.81779066279745,-77.6496634569262
2022/12/30 04:48:03.291,-65.26874211243151,-80.91717242680984,-80.82565389180134
2022/12/30 04:48:03.419,-76.30226878155675,-83.73461566941485,-82.0750010617792
2022/12/30 04:48:03.566,-76.45688316498271,-83.68929030901798,-80.7912325729003
2022/12/30 04:48:03.692,-76.35420322595515,-81.74361059208354,-82.21593142284621
2022/12/30 04:48:03.823,-76.16112327164147,-69.50391341953974,-79.64149846894875
2022/12/30 04:48:03.949,-63.590551812768666,-74.75767169993662,-75.19409862306144
2022/12/30 04:48:04.108,-51.50972132832458,-82.40629935747432,-73.49387027359089
2022/12/30 04:48:04.237,-48.260727544645206,-83.18981868576893,-80.02547643982338
2022/12/30 04:48:04.377,-43.53030945949484,-80.89166205362241,-76.53037704675367
2022/12/30 04:48:04.506,-60.928580153438254,-81.11206621573876,-79.35666438234637
2022/12/30 04:48:04.640,-70.08015527764657,-76.42771879399609,-77.97867796638096
2022/12/30 04:48:04.780,-57.861947048575104,-71.59728120500841,-77.782010057267
