時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:46:03.090,-66.04107369584959,-69.92996144770129,-84
2022/12/30 04:46:03.243,-72.8611148126368,-76.18525853305071,-71.75919800536248
2022/12/30 04:46:03.403,-55.07632932294797,-74.9067325884816,-75.07634398882162
2022/12/30 04:46:03.551,-55.58423714058062,-83.47234045579953,-81.37776981519453
2022/12/30 04:46:03.717,-72.89659053525943,-79.14116954359679,-83.45489429544882
2022/12/30 04:46:03.851,-72.81905274759596,-76.30941193296051,-77.2609560075567
2022/12/30 04:46:03.993,-72.89008057567091,-78.454538670082,-77.01988843313343
2022/12/30 04:46:04.171,-73.11764063822564,-76.90986979750703,-70.38095763728263
2022/12/30 04:46:04.307,-65.23434449445291,-78.00956912678811,-77.37404166979147
2022/12/30 04:46:04.464,-49.179051388231166,-82.62145216435314,-84
2022/12/30 04:46:04.617,-72.8712507310957,-77.82561538901933,-84
2022/12/30 04:46:04.833,-72.84018090799309,-81.85793184484143,-84
2022/12/30 04:46:04.989,-72.7274399860694,-75.77183533377274,-79.95983219897127
2022/12/30 04:46:05.148,-72.86106897240691,-78.87488606903128,-84
2022/12/30 04:46:05.279,-73.12176905629491,-76.87046971996084,-79.12798112267173
2022/12/30 04:46:05.404,-72.97823656772823,-77.0122011557241,-75.62441426498782
2022/12/30 04:46:05.551,-72.99403402432057,-72.99468126234434,-67.03404063567446
2022/12/30 04:46:05.708,-73.30241822844597,-77.43286383047904,-72.89394322471962
2022/12/30 04:46:05.835,-73.03641357344058,-82.65213302226644,-81.32674192554447
2022/12/30 04:46:05.966,-72.87708533085414,-76.4707073888828,-79.75919735308422
2022/12/30 04:46:06.122,-73.07389260406893,-79.3483690379331,-80.2970215331637
2022/12/30 04:46:06.253,-72.85328238130342,-79.61375726340196,-82.55006415971846
2022/12/30 04:46:06.401,-53.18077167671056,-75.14615294577314,-73.54905549669868
2022/12/30 04:46:06.571,-59.000655523467074,-79.06519076604759,-79.44912734477242
2022/12/30 04:46:06.720,-72.91750585150832,-76.15802390932218,-78.79480706263851
2022/12/30 04:46:06.888,-72.77544380632902,-79.72464086795594,-83.6464242566677
2022/12/30 04:46:07.151,-41.652882865650874,-79.5796387908199,-80.59631143975798
2022/12/30 04:46:07.371,-41.364314470280604,-84,-84
2022/12/30 04:46:07.521,-71.75706656813958,-74.78044107123172,-77.99367995246052
2022/12/30 04:46:07.856,-72.78552683865959,-76.65732208403708,-83.73549156168761
2022/12/30 04:46:08.136,-73.09393176767529,-74.41744820769499,-79.73676066808851
2022/12/30 04:46:08.463,-59.47074565765671,-82.88678037676037,-84
2022/12/30 04:46:08.704,-50.04181559460542,-77.26527570246405,-68.69568910443805
2022/12/30 04:46:08.833,-51.20270329196021,-79.01961984408157,-69.05577142553777
2022/12/30 04:46:09.004,-33.6652376346582,-74.94502729151714,-73.0554653037878
2022/12/30 04:46:09.136,-38.92448533615576,-75.64776337192708,-78.01567613855238
2022/12/30 04:46:09.306,-49.184198692577624,-82.66040320092999,-84
2022/12/30 04:46:09.439,-42.69184589524106,-78.22410176019316,-84
2022/12/30 04:46:09.569,-57.618499654505904,-84,-82.85533151596866
2022/12/30 04:46:09.706,-49.97273794424493,-77.88535825417084,-82.84026676096047
2022/12/30 04:46:09.852,-51.18431067989029,-78.4542682341417,-76.61622165459072
2022/12/30 04:46:09.986,-73.20756187271894,-76.03835963910745,-76.36622403732306
2022/12/30 04:46:10.135,-40.63719251845533,-81.19592171982747,-79.18648378052859
2022/12/30 04:46:10.283,-47.877513237149294,-78.7420730865699,-80.92918664681537
2022/12/30 04:46:10.466,-72.77934828919398,-82.67744114812338,-84
2022/12/30 04:46:10.621,-68.63679999089162,-74.6599171295994,-84
2022/12/30 04:46:10.802,-72.7138837424245,-75.93451589245849,-67.04296103040672
2022/12/30 04:46:10.966,-39.72982704103615,-74.37798872540101,-68.0936927427108
2022/12/30 04:46:11.118,-46.414696362377974,-72.0911126623074,-72.40053715242615
