時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:15:20.085,-73.59037446169106,-46.02135954511705,-65.55163298622104
2022/12/30 05:15:20.218,-35.582640951936554,-71.62618298930389,-71.0831878572409
2022/12/30 05:15:20.345,-40.97139169976943,-77.91491624742217,-78.54357997059
2022/12/30 05:15:20.484,-42.82386697714975,-83.46075064654791,-79.04403913526168
2022/12/30 05:15:20.611,-31.02336282977052,-81.77389882522311,-83.33554894258491
2022/12/30 05:15:20.753,-56.17631106826352,-82.8501474981608,-76.30337593709649
2022/12/30 05:15:20.883,-73.73123580371384,-82.8501474981608,-74.20910816665858
2022/12/30 05:15:21.020,-37.40335936405823,-84,-82.75173598068945
2022/12/30 05:15:23.100,-69.28127966421411,-77.32072744590079,-70.88077558870575
2022/12/30 05:15:23.275,-69.63123663158333,-79.57816616765639,-72.50166667315642
2022/12/30 05:15:23.469,-69.38313462135042,-72.48506924755871,-55.08173906410875
2022/12/30 05:15:23.738,-20.57847165354684,-84,-72.42210050795842
2022/12/30 05:15:23.966,-20.213139013413937,-81.01156508746742,-79.79704384048763
2022/12/30 05:15:24.235,-22.700456326699985,-83.84118238787322,-84
2022/12/30 05:15:24.362,-25.06514424251123,-83.75604446489986,-84
2022/12/30 05:15:24.503,-20.13138526168229,-83.5408867404418,-81.98652898084606
2022/12/30 05:15:24.634,-34.66849080143194,-81.69766754863574,-84
2022/12/30 05:15:24.779,-34.05905518546397,-74.91331078834932,-77.06568260836546
2022/12/30 05:15:24.937,-19.590910242269324,-82.44295726339864,-78.8695463406103
2022/12/30 05:15:25.088,-17.013663348518712,-82.35827381995121,-83.78150203861324
2022/12/30 05:15:25.414,-39.32882862359954,-83.43465133397486,-84
2022/12/30 05:15:25.552,-30.31687138849637,-84,-77.50146466388995
2022/12/30 05:15:25.677,-46.50560267041867,-71.89514381730422,-77.50146466388995
2022/12/30 05:15:25.842,-68.44550055274458,-80.25437174001519,-80.14267146841895
2022/12/30 05:15:25.984,-26.80442081697977,-84,-83.5991023343523
2022/12/30 05:15:26.117,-15.132334154266418,-82.82284302960525,-84
2022/12/30 05:15:26.267,-24.431868176724375,-70.33693688126219,-80.83835063834941
2022/12/30 05:15:26.408,-20.060434000560946,-66.51048765660445,-43.19026177921099
2022/12/30 05:15:26.578,-19.144232669752604,-76.4167935311435,-70.7942504015402
2022/12/30 05:15:26.713,-7.121717849806933,-80.9578773800577,-73.8424808957169
2022/12/30 05:15:26.847,-12.471970830888184,-80.9498462660186,-84
2022/12/30 05:15:26.982,-24.463066403264996,-79.96781175517165,-77.43682642140368
2022/12/30 05:15:27.162,-18.91453502823879,-84,-84
2022/12/30 05:15:27.300,-31.852272561112716,-81.80651842522742,-83.37619944482222
2022/12/30 05:15:27.426,-36.74434145966682,-83.66772921605369,-81.33021691881844
2022/12/30 05:15:27.563,-24.954048058398108,-83.68853051098105,-84
2022/12/30 05:15:27.701,-36.84858421083997,-81.32254554812181,-84
2022/12/30 05:15:27.835,-20.718928119465406,-84,-84
2022/12/30 05:15:28.016,-19.461689743907453,-81.00882796551666,-84
2022/12/30 05:15:28.152,-49.17137982582149,-84,-79.09701624870442
2022/12/30 05:15:28.333,-70.62463945717573,-74.86002334315333,-78.25573545030444
2022/12/30 05:15:28.468,-70.68614095153802,-58.66020091651108,-81.57345050622195
2022/12/30 05:15:28.599,-21.101670852415335,-76.22899848411467,-79.68438176364398
2022/12/30 05:15:28.748,-10.60274747027557,-70.9771428095798,-84
2022/12/30 05:15:28.894,-17.03058793944229,-82.67748935515937,-84
2022/12/30 05:15:29.031,-20.892232909081958,-79.69089347867322,-84
2022/12/30 05:15:29.166,-28.657628007193054,-78.4253741858234,-79.63677003155064
2022/12/30 05:15:29.302,-34.046860790524526,-82.40277997873054,-84
2022/12/30 05:15:29.444,-18.73345744099791,-77.81775129015219,-83.3377161574134
