時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:17:46.004,-84,-84,-84
2022/12/30 05:17:46.203,-84,-84,-84
2022/12/30 05:17:48.463,-21.630120460122427,-76.58191761185986,-74.99106665604612
2022/12/30 05:17:48.602,-13.990753573714198,-84,-74.01269070125291
2022/12/30 05:17:48.738,-24.616742780144282,-68.24065170180668,-79.03183037918946
2022/12/30 05:17:48.874,-26.576184026932843,-53.656213230916244,-72.85854625062372
2022/12/30 05:17:49.027,-26.57282122916493,-59.33927379604438,-82.0212185836791
2022/12/30 05:17:49.154,-28.16638064634125,-70.20709953929624,-79.52755250039947
2022/12/30 05:17:49.290,-22.721437401032965,-57.697880487765964,-84
2022/12/30 05:17:49.444,-36.190674041197,-62.57952521054221,-81.57224369563231
2022/12/30 05:17:49.576,-26.37403123271931,-61.894000968567646,-82.06337166377394
2022/12/30 05:17:49.713,-20.631578923544605,-72.32953611584676,-77.50873908655922
2022/12/30 05:17:49.856,-25.757636385873617,-80.02122957400977,-75.16392209964675
2022/12/30 05:17:49.996,-25.041212990480204,-80.37287905902667,-80.87834685349536
2022/12/30 05:17:50.270,-33.598005186969985,-81.93318186130112,-84
2022/12/30 05:17:50.535,-56.00497320717736,-79.28500875105172,-77.03650495051157
2022/12/30 05:17:50.903,-21.103156487014807,-78.55811746282724,-84
2022/12/30 05:17:51.208,-20.9520983337922,-77.61105348253353,-74.68037662366952
2022/12/30 05:17:51.337,-29.74135836536774,-75.20931032193374,-73.06944862928017
2022/12/30 05:17:51.574,-12.666310189017286,-79.3731969498293,-72.94784023934957
2022/12/30 05:17:51.729,-12.27197365661631,-80.23861076487952,-83.46369265065229
2022/12/30 05:17:51.925,-14.185051053828314,-84,-80.4669376381874
2022/12/30 05:17:52.062,-29.411081609504464,-82.74932825281172,-79.05171271003057
2022/12/30 05:17:52.310,-31.857851501115118,-84,-81.49973885651322
2022/12/30 05:17:52.588,-32.85356500561345,-84,-83.4454844198736
2022/12/30 05:17:54.041,-28.655289683680234,-79.40703516087811,-81.4614482712334
2022/12/30 05:17:54.177,-23.10380394505735,-84,-80.24895636090262
2022/12/30 05:17:54.313,-29.43061277259915,-48.02716856033519,-82.43790357569796
2022/12/30 05:17:54.446,-43.21275783560813,-79.58266189024535,-68.42013483406484
2022/12/30 05:17:54.577,-33.02803879530701,-84,-72.31112564768642
2022/12/30 05:17:54.710,-24.29531324247868,-84,-72.12313830079724
2022/12/30 05:17:54.853,-25.876749527561728,-84,-74.5759839766359
2022/12/30 05:17:55.059,-51.576592177756154,-79.81084473067624,-75.01890125212982
2022/12/30 05:17:55.223,-17.690288768982622,-78.13328979495621,-72.22263993183037
2022/12/30 05:17:55.368,-32.77632203042454,-82.82352651097295,-79.91445227490165
2022/12/30 05:17:55.559,-20.055752169594832,-79.72231621037416,-83.06885280174912
2022/12/30 05:17:55.758,-33.94180655905391,-84,-82.12566871730817
