時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:38:29.163,-41.088905340114465,-53.78611896442208,-84
2022/12/30 04:38:29.414,-59.993827321721376,-83.60646251698361,-84
2022/12/30 04:38:29.561,-56.108631814878706,-84,-83.16566787742049
2022/12/30 04:38:29.696,-57.436335927573616,-83.97699982105229,-82.41843328150671
2022/12/30 04:38:29.831,-73.1229231415998,-82.16536799224704,-79.16633907119548
2022/12/30 04:38:29.966,-67.39290333160255,-82.0009820208368,-64.1746112585019
2022/12/30 04:38:30.106,-49.63024315763242,-80.4417708416135,-70.0546693055312
2022/12/30 04:38:30.249,-42.79429841243679,-79.87523558844595,-68.00039438070928
2022/12/30 04:38:30.410,-45.94341931998726,-79.78568799776595,-75.39791077381628
2022/12/30 04:38:30.562,-55.73748597146249,-77.78045417803429,-79.01857163427107
2022/12/30 04:38:30.728,-60.32182112030193,-78.82028530909004,-81.50808781206656
2022/12/30 04:38:30.879,-61.61752432674859,-79.02121949588017,-83.9267387522172
2022/12/30 04:38:31.042,-73.23591257823081,-84,-84
2022/12/30 04:38:31.182,-73.37079414581248,-84,-84
2022/12/30 04:38:31.330,-73.3330031179432,-84,-82.5780009958973
2022/12/30 04:38:31.465,-73.29531247710355,-83.89159014523463,-84
2022/12/30 04:38:31.882,-73.5574660025832,-56.74877453974542,-46.92715170638584
2022/12/30 04:38:32.031,-47.33251629318236,-65.74541630886354,-69.39210335115355
2022/12/30 04:38:32.313,-57.852580546896576,-83.08122520578344,-75.57483216099227
2022/12/30 04:38:32.466,-47.784919614071725,-81.76354179319648,-73.75857917836552
2022/12/30 04:38:32.844,-70.84246151185846,-82.17383779551797,-84
2022/12/30 04:38:33.079,-58.58151952435617,-84,-84
2022/12/30 04:38:33.346,-65.61738054476186,-83.14445372358334,-81.95054457430503
2022/12/30 04:38:33.479,-58.68788283805478,-78.35344122288754,-82.16229741073407
2022/12/30 04:38:33.611,-64.27131469882076,-84,-84
2022/12/30 04:38:33.745,-56.238310324405504,-82.08107460127208,-82.2805305907265
2022/12/30 04:38:33.878,-73.27672978476988,-84,-82.39945249238532
2022/12/30 04:38:34.025,-73.24319938914279,-75.70422657822755,-82.78054948356966
2022/12/30 04:38:34.165,-62.59895308203514,-82.83858103026269,-66.43793046081127
2022/12/30 04:38:34.315,-36.10376326192194,-78.74058368830516,-72.83235394064631
2022/12/30 04:38:34.483,-55.5687520248008,-84,-75.325274698849
2022/12/30 04:38:34.611,-59.1043144047548,-84,-76.65272950583511
2022/12/30 04:38:34.759,-54.38001737074741,-78.0506187650895,-37.07565060322088
2022/12/30 04:38:34.896,-38.325221440529674,-81.441604599118,-62.13969703898875
2022/12/30 04:38:35.032,-39.15067365977122,-80.16816901004933,-70.06678459610032
2022/12/30 04:38:35.163,-50.931355113527424,-80.51298676692562,-73.2750527524208
2022/12/30 04:38:35.312,-55.616916875127714,-82.60891441701739,-81.50259488152058
2022/12/30 04:38:35.438,-52.146824926583726,-83.58045562343621,-84
2022/12/30 04:38:35.582,-57.49856923555462,-81.29678064640275,-84
2022/12/30 04:38:35.729,-43.7832876612005,-84,-84
2022/12/30 04:38:35.894,-66.72822648345401,-84,-84
2022/12/30 04:38:36.044,-59.41134992629243,-83.01995677318102,-80.77333878986403
2022/12/30 04:38:36.190,-51.786087076193894,-84,-84
2022/12/30 04:38:36.327,-51.68154565514992,-83.75624405525105,-63.42033432491965
2022/12/30 04:38:36.521,-68.41112909446052,-84,-72.70194704437709
2022/12/30 04:38:36.674,-59.65175983616142,-83.98224424450797,-68.61862186820984
2022/12/30 04:38:36.908,-40.02262443107719,-73.39442532708445,-78.69027431579464
2022/12/30 04:38:37.041,-34.97848308109685,-75.79973960227328,-84
2022/12/30 04:38:37.203,-43.1302833248775,-82.49303354604793,-83.10435525174523
2022/12/30 04:38:37.482,-51.91039565963081,-82.52971532716741,-70.46886725504321
2022/12/30 04:38:37.677,-47.59703826293957,-84,-76.89516295049583
2022/12/30 04:38:37.948,-72.34209981374649,-82.20946995691888,-83.10667167457588
2022/12/30 04:38:38.144,-49.61507383103666,-83.81576305103052,-84
2022/12/30 04:38:38.277,-51.14647290864823,-83.37062147686493,-81.95804231690238
2022/12/30 04:38:38.428,-57.84539323933658,-83.35327376657035,-84
