時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:40:34.272,-44.029379117399785,-81.31016799336507,-75.79204152746438
2022/12/30 04:40:34.536,-61.01299592199596,-71.20551712700444,-30.333109899977572
2022/12/30 04:40:34.784,-58.59730191495196,-80.72156608966928,-62.9622288008505
2022/12/30 04:40:34.958,-68.23933743343775,-82.20628367430037,-77.59731453740235
2022/12/30 04:40:35.085,-65.01607649878028,-83.20581337582078,-80.60869180434855
2022/12/30 04:40:35.269,-73.43902572970924,-84,-84
2022/12/30 04:40:35.488,-73.62525815965132,-84,-79.69107534214842
2022/12/30 04:40:35.640,-73.45160684338839,-82.88579029450331,-77.36377147514851
2022/12/30 04:40:35.816,-73.43179357058477,-78.94505525559885,-76.36703589759935
2022/12/30 04:40:35.955,-73.44624531539914,-67.13936888775619,-68.30709240103974
2022/12/30 04:40:36.104,-73.41222463479076,-73.07022200259203,-71.98279358110908
2022/12/30 04:40:36.307,-51.93674362059046,-81.83156982092183,-81.7700446370533
2022/12/30 04:40:36.483,-56.56643715070661,-80.48346362869923,-79.82809136676073
2022/12/30 04:40:36.641,-49.7035096919721,-80.69286541084877,-79.06463397195753
2022/12/30 04:40:36.765,-60.49487046378872,-80.60520623373868,-84
2022/12/30 04:40:36.904,-65.69025076583918,-83.90363750950918,-84
2022/12/30 04:40:37.296,-73.66910516057382,-83.60460219984391,-67.06909554009752
2022/12/30 04:40:37.474,-62.31071040046518,-75.69030873972396,-74.55364035029754
2022/12/30 04:40:37.604,-49.24391431473029,-84,-84
2022/12/30 04:40:37.766,-56.80714648656169,-84,-84
2022/12/30 04:40:37.891,-73.78914012494744,-83.76494938558221,-84
2022/12/30 04:40:38.088,-73.6956308701027,-83.63929073759931,-84
2022/12/30 04:40:38.303,-73.51265476531961,-75.69238354864369,-82.49677575875293
2022/12/30 04:40:38.486,-54.04522546868786,-82.72592882901408,-75.710472615172
2022/12/30 04:40:38.814,-60.00907999763523,-83.56964662614892,-63.86541803134239
2022/12/30 04:40:38.973,-67.45822437113792,-70.59647214319219,-43.8395876035773
2022/12/30 04:40:39.375,-51.32749901592512,-77.43324756265137,-71.18463377729987
2022/12/30 04:40:39.530,-61.9300415962786,-83.09396482551062,-78.12759336993894
2022/12/30 04:40:39.820,-61.694302967071536,-83.72123437740315,-84
2022/12/30 04:40:40.136,-63.50777407521215,-63.02000328877166,-31.248863604361517
2022/12/30 04:40:40.493,-73.6410585923413,-78.78960778598129,-63.51504777969272
2022/12/30 04:40:40.770,-73.56492044439246,-83.47824625421421,-75.26613162064584
2022/12/30 04:40:40.944,-73.44545790921623,-74.45277745904156,-79.66162668447296
2022/12/30 04:40:41.075,-48.94656127985392,-59.71762181161549,-81.82843516390874
2022/12/30 04:40:41.256,-39.295970321954705,-68.97576896194668,-69.84087452444592
2022/12/30 04:40:41.422,-59.549175118532844,-82.25754016753754,-79.33750283549871
2022/12/30 04:40:41.573,-55.6844826257884,-80.62553261697286,-78.96353938456782
2022/12/30 04:40:41.708,-57.517207224858595,-81.87712202721534,-81.5908457926437
2022/12/30 04:40:41.869,-53.366694314701405,-83.02643636441891,-83.96189070339852
