時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:39:13.245,-44.51448844798007,-70.59610249229745,-81.2905782705173
2022/12/30 04:39:13.508,-35.98676047401495,-76.8472834118618,-83.26970554891409
2022/12/30 04:39:13.770,-39.22961631740882,-82.73016567847053,-84
2022/12/30 04:39:13.925,-48.702055266802695,-83.37170074816589,-84
2022/12/30 04:39:14.229,-71.83902502731387,-82.35450518578858,-84
2022/12/30 04:39:15.196,-37.100530204411236,-80.70648777677611,-84
2022/12/30 04:39:15.495,-34.19029775086659,-79.29355742632946,-64.41024246511482
2022/12/30 04:39:15.643,-50.94350467416103,-79.91676602551225,-68.29202831364373
2022/12/30 04:39:15.838,-55.970503537243,-80.8839558154026,-76.04445907999578
2022/12/30 04:39:16.079,-52.2410190581845,-33.56118643627449,-19.6840332127221
2022/12/30 04:39:16.277,-38.28653230306528,-73.11129548039311,-53.666548050924746
2022/12/30 04:39:16.626,-47.05225433915107,-77.71537087811492,-74.42834678059842
2022/12/30 04:39:17.004,-50.52067062915363,-79.99239579598664,-84
2022/12/30 04:39:17.144,-66.09385417284378,-72.46567375075469,-61.92502169580465
2022/12/30 04:39:17.296,-72.05501717274701,-66.12415874059757,-47.16719558316843
2022/12/30 04:39:17.475,-43.81409147262734,-78.80142718558983,-51.72669773047295
2022/12/30 04:39:17.619,-34.11188645837838,-45.37436181281451,-48.78241297005819
2022/12/30 04:39:17.766,-45.02816196796444,-65.1164940046282,-59.49588042944437
2022/12/30 04:39:17.980,-47.58187721000925,-66.72717585876055,-67.90953768637831
2022/12/30 04:39:18.124,-34.076842234312736,-83.58902381888433,-71.05694838662542
2022/12/30 04:39:18.287,-32.007971931845574,-70.84759864587443,-76.01912184821305
2022/12/30 04:39:18.443,-48.92129856852891,-73.69709551683007,-57.96538172174117
2022/12/30 04:39:18.599,-48.35356243463372,-83.03220372015504,-72.35319378224352
2022/12/30 04:39:18.753,-42.101344351348516,-82.24677501418192,-72.33916294306032
2022/12/30 04:39:19.040,-46.55396124645076,-77.39576305230364,-39.615976088824674
2022/12/30 04:39:19.327,-47.489039430964404,-81.40443059231933,-40.72474287377985
2022/12/30 04:39:19.473,-50.750194948248144,-80.18871484264434,-58.66503959417224
2022/12/30 04:39:19.670,-57.33480611507419,-83.43971666101106,-66.26781104216542
2022/12/30 04:39:19.852,-71.9818437876518,-71.32484244833194,-78.53923870070005
2022/12/30 04:39:20.118,-26.359146454767274,-63.01975146795317,-56.110736191765305
2022/12/30 04:39:20.247,-43.36582998369803,-72.90645293384733,-60.91323296069775
2022/12/30 04:39:20.437,-26.14384347315881,-59.01729258157209,-64.98727342448505
2022/12/30 04:39:20.575,-39.62317324620065,-57.94306515236913,-56.740980539638535
2022/12/30 04:39:20.776,-39.05725878906808,-63.50049649209118,-65.86719057225369
