時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:37:42.600,-84,-84,-84
2022/12/30 04:37:42.777,-84,-84,-84
2022/12/30 04:37:42.999,-73.13149656741301,-81.69109751681438,-84
2022/12/30 04:37:43.135,-73.35724581755213,-80.84025427384537,-81.00843153930505
2022/12/30 04:37:43.349,-73.58540207250903,-84,-76.26655531902465
2022/12/30 04:37:43.954,-39.781630907824564,-74.1418006320287,-78.23886816010284
2022/12/30 04:37:44.162,-37.88350986271409,-81.06120975155608,-81.81422367041912
2022/12/30 04:37:44.318,-40.564536197401004,-80.4576680730784,-73.18597815316954
2022/12/30 04:37:44.473,-43.93333987329615,-84,-81.48362598934906
2022/12/30 04:37:44.731,-42.291587424878315,-82.93413255423437,-82.24865457039053
2022/12/30 04:37:44.943,-46.703765906347115,-83.68584628167585,-78.08387812345464
2022/12/30 04:37:45.152,-37.91573478359113,-82.02512413777339,-76.84035250607894
2022/12/30 04:37:45.818,-67.25059384830159,-81.24918139989143,-82.24616410152149
2022/12/30 04:37:45.967,-69.39656843054955,-82.90397079454107,-74.25135543022381
2022/12/30 04:37:46.112,-72.71294256826661,-76.68328993758708,-74.0755142185977
2022/12/30 04:37:46.263,-30.887322209147538,-80.4881585359088,-76.70997358045823
2022/12/30 04:37:46.552,-38.267300788731696,-80.96998341486311,-78.95926939065967
2022/12/30 04:37:47.421,-40.65648572075163,-75.53729344356488,-71.09057213771574
2022/12/30 04:37:47.574,-44.96233339237321,-67.45443550548829,-56.296781399583296
2022/12/30 04:37:47.745,-41.54716543390294,-65.86098672164094,-65.99378285843103
2022/12/30 04:37:47.977,-47.37907383224835,-68.22406769091346,-66.09267528449426
2022/12/30 04:37:48.206,-42.37807459014463,-83.90974979178807,-69.60853820083655
2022/12/30 04:37:48.491,-71.11580529369009,-82.88494235036825,-78.9875471436246
2022/12/30 04:37:48.681,-71.14134773670959,-63.38931132385003,-66.65802909388351
2022/12/30 04:37:48.859,-29.681940096631386,-72.34373827718095,-65.01590802856268
2022/12/30 04:37:49.067,-30.26073655346695,-64.04442004574858,-69.57095390358879
2022/12/30 04:37:49.202,-30.417618111772875,-60.953673828151864,-61.82638245106168
2022/12/30 04:37:49.467,-41.24527714920306,-83.42403752101903,-71.80314748228383
2022/12/30 04:37:49.824,-56.773038984615205,-66.63405447765268,-80.646715711329
