時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:53:36.312,-84,-81.26676262004572,-84
2022/12/30 04:53:36.528,-73.45120420366689,-82.74875842400492,-74.2308602025848
2022/12/30 04:53:36.804,-73.66875952187084,-84,-62.22185107811953
2022/12/30 04:53:37.119,-73.49045198331243,-83.85106183624768,-81.33065237062921
2022/12/30 04:53:37.516,-73.82113776366833,-80.98443738568137,-76.37786022749005
2022/12/30 04:53:37.693,-73.43329186224459,-82.64038026279478,-81.05858635182095
2022/12/30 04:53:38.063,-73.42074125596874,-84,-84
2022/12/30 04:53:38.207,-73.45060062817686,-84,-81.61092057668333
2022/12/30 04:53:38.337,-73.64945898005021,-82.93072949251672,-83.305964807765
2022/12/30 04:53:38.470,-73.57712785283196,-84,-83.60907689093368
2022/12/30 04:53:38.601,-73.35396081517442,-84,-84
2022/12/30 04:53:38.742,-73.522853954966,-83.54113478472983,-75.00733888699449
2022/12/30 04:53:38.877,-73.35275042983922,-83.65603636113845,-62.927724088818586
2022/12/30 04:53:39.026,-73.52374707935051,-77.92411957207452,-57.55355197400513
2022/12/30 04:53:39.204,-73.50886771718956,-83.59767969188556,-66.93513271065751
2022/12/30 04:53:39.471,-73.61993508340012,-83.86064998422839,-76.81333143300259
2022/12/30 04:53:39.839,-73.49866133222194,-83.92943445425794,-84
2022/12/30 04:53:39.996,-73.25738152752285,-84,-82.78739798556649
2022/12/30 04:53:40.123,-73.56371987057008,-84,-82.88346279826274
2022/12/30 04:53:40.273,-73.44619335440818,-84,-78.49599012538876
2022/12/30 04:53:40.419,-73.28971244511618,-79.53616596220739,-77.71723265909094
2022/12/30 04:53:40.559,-73.57373143714898,-83.8174507293698,-71.58436326306949
2022/12/30 04:53:40.693,-73.41425649182963,-82.51340670861347,-81.70762421069794
2022/12/30 04:53:40.903,-73.58411712364772,-81.35344474839285,-82.197068182629
2022/12/30 04:53:41.111,-73.72065756968429,-84,-84
2022/12/30 04:53:41.496,-73.4540019425102,-82.63272324755802,-84
2022/12/30 04:53:41.820,-73.45830467197224,-69.51433554703542,-76.53958320140548
2022/12/30 04:53:42.097,-73.45028978618623,-82.07227677713354,-58.78507012055234
2022/12/30 04:53:42.373,-73.35509004281947,-82.82676462135397,-75.64672374178978
2022/12/30 04:53:42.510,-73.67990577157046,-83.4103154843384,-78.19928002756106
2022/12/30 04:53:42.944,-73.5738160218155,-83.41958282783963,-84
2022/12/30 04:53:43.158,-73.33327265407425,-82.59757639322535,-84
2022/12/30 04:53:43.297,-73.37392398380811,-83.17605699512268,-84
2022/12/30 04:53:43.455,-73.47252145611891,-84,-84
2022/12/30 04:53:43.592,-73.64118158926307,-83.55608827573604,-84
2022/12/30 04:53:43.724,-73.41114149053207,-83.39498904163591,-83.43309306374961
2022/12/30 04:53:43.853,-73.39419661628834,-77.66184424689341,-84
2022/12/30 04:53:43.989,-73.55855682505121,-79.95353044047397,-74.01223670220743
2022/12/30 04:53:44.125,-73.39363326453308,-77.5462433239901,-74.29325811180948
2022/12/30 04:53:44.277,-73.52103549907649,-81.61728438233611,-81.21625539584477
2022/12/30 04:53:44.528,-73.43798778181996,-82.88201621766964,-81.33150750780126
2022/12/30 04:53:44.692,-73.5968472509866,-82.99701813491964,-80.47309819825088
2022/12/30 04:53:44.872,-73.46124623525247,-80.64999925680011,-69.87181643793076
2022/12/30 04:53:45.096,-73.5062584183141,-84,-71.79187540907982
2022/12/30 04:53:45.224,-73.47566396687074,-79.1795084089793,-66.79620841505893
2022/12/30 04:53:45.643,-73.4000335619876,-82.62769066259438,-74.20154099337496
2022/12/30 04:53:46.104,-73.70818829346324,-72.99607524588077,-70.80231778430131
2022/12/30 04:53:46.397,-73.31914647220071,-82.3787631816819,-76.71319971334802
