時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:51:27.986,-53.1476813713084,-75.32806365331211,-74.71579555310542
2022/12/30 04:51:28.169,-72.86643950801573,-84,-74.08444147416964
2022/12/30 04:51:28.351,-73.37709118740565,-78.95980215432417,-81.16387545355273
2022/12/30 04:51:28.502,-72.97833452727244,-84,-84
2022/12/30 04:51:28.654,-72.92981883859332,-81.41502366911382,-78.35082115311695
2022/12/30 04:51:28.801,-72.92197230252083,-75.23390035914669,-77.76662418461109
2022/12/30 04:51:28.982,-72.73775789084384,-84,-84
2022/12/30 04:51:29.112,-73.10630579025624,-84,-84
2022/12/30 04:51:29.247,-73.18401415410327,-84,-84
2022/12/30 04:51:29.382,-72.9236392624224,-84,-84
2022/12/30 04:51:29.643,-72.83927277723309,-83.1114111277071,-84
2022/12/30 04:51:29.769,-72.96358241005015,-84,-84
2022/12/30 04:51:29.901,-72.85905009077986,-84,-84
2022/12/30 04:51:30.028,-72.86614249465104,-84,-84
2022/12/30 04:51:30.231,-73.00309341609926,-77.55848123386957,-81.50637561691488
2022/12/30 04:51:30.368,-73.11794885686231,-70.32159929713303,-54.15022939252948
2022/12/30 04:51:30.501,-73.16952231596719,-82.02071257211045,-71.07244156087079
2022/12/30 04:51:30.631,-73.08527558313463,-84,-73.7370489636449
2022/12/30 04:51:30.785,-72.86345037162727,-81.7141986918073,-79.39774968124112
2022/12/30 04:51:31.002,-72.88078114262059,-78.09814513833273,-84
2022/12/30 04:51:31.131,-72.9625211577555,-83.39487362161029,-84
2022/12/30 04:51:31.287,-73.18620471287282,-84,-84
2022/12/30 04:51:31.449,-73.01538916686965,-80.97626444436753,-84
2022/12/30 04:51:31.581,-72.8668742397124,-77.84008621357319,-84
2022/12/30 04:51:31.752,-72.7827003031168,-74.94013847802093,-84
2022/12/30 04:51:31.887,-72.97496865292227,-80.8040686278508,-84
2022/12/30 04:51:32.030,-72.84327672064137,-81.17604662986457,-84
2022/12/30 04:51:32.170,-72.73090660366718,-84,-84
2022/12/30 04:51:32.326,-72.99715533562977,-78.19010194508516,-84
2022/12/30 04:51:32.453,-73.15729471813748,-84,-84
2022/12/30 04:51:32.620,-72.8779757631106,-78.946972427962,-82.77589107117925
2022/12/30 04:51:32.768,-73.07977081317216,-84,-82.25341658041513
2022/12/30 04:51:32.928,-73.06668263500244,-81.38249020833392,-84
2022/12/30 04:51:33.063,-72.93831725707845,-83.77235868831698,-84
2022/12/30 04:51:33.198,-73.046622736653,-70.90410552755932,-84
2022/12/30 04:51:33.327,-73.13574951868078,-67.92726282178921,-55.86299764060779
2022/12/30 04:51:33.452,-73.12443572997383,-68.10786702828501,-66.09223061271452
2022/12/30 04:51:33.579,-73.09103614014339,-80.9336256969339,-76.50263375302919
2022/12/30 04:51:33.713,-72.91805288834323,-75.39842183759289,-84
2022/12/30 04:51:33.843,-72.93455802952846,-84,-84
2022/12/30 04:51:33.979,-72.85810320257022,-82.19889671696211,-84
2022/12/30 04:51:34.114,-72.98186122985558,-78.83283207819102,-83.41346440176706
2022/12/30 04:51:34.266,-73.01376136476678,-84,-84
2022/12/30 04:51:34.438,-73.22663445137495,-80.1272971817241,-84
2022/12/30 04:51:34.570,-73.04564358970605,-84,-84
2022/12/30 04:51:34.727,-73.13102293877944,-82.1173591008723,-84
2022/12/30 04:51:35.033,-72.77401815240874,-80.35331469390472,-83.93424245174057
2022/12/30 04:51:35.202,-73.04769269339447,-77.3780834467471,-82.6882724825275
2022/12/30 04:51:35.333,-73.11211994217669,-62.481325522242635,-78.67230507878764
2022/12/30 04:51:35.463,-73.04919227320975,-68.99529979881028,-75.01715162868814
2022/12/30 04:51:35.596,-73.00505107694123,-78.03289301669363,-84
2022/12/30 04:51:35.794,-72.84292830429742,-80.04580506679818,-84
2022/12/30 04:51:35.952,-73.14270116552116,-78.01925857841027,-84
2022/12/30 04:51:36.252,-73.24867308330316,-81.88146292381761,-84
