時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:54:45.269,-84,-84,-84
2022/12/30 04:54:45.410,-76.25519781501276,-83.62579664339856,-73.765270009895
2022/12/30 04:54:45.538,-76.52333212922902,-80.44408658122012,-81.48277009763078
2022/12/30 04:54:45.672,-76.24121619876901,-74.18586540580972,-80.8422222309558
2022/12/30 04:54:45.853,-60.47489098021578,-79.8329065334879,-81.93410813339938
2022/12/30 04:54:46.158,-75.72487890103825,-79.58213131563335,-84
2022/12/30 04:54:46.602,-76.36360947085586,-83.16618291912872,-84
2022/12/30 04:54:47.090,-76.34525350501602,-84,-84
2022/12/30 04:54:47.259,-76.18362385546767,-80.18178629625791,-84
2022/12/30 04:54:47.409,-76.2753568559718,-82.0773662168356,-81.82409545889166
2022/12/30 04:54:47.576,-76.34308993101801,-84,-84
2022/12/30 04:54:47.707,-65.2804499371722,-82.50893584020807,-83.67064368340279
2022/12/30 04:54:47.855,-75.69259534781119,-82.67024095858324,-81.69333729503562
2022/12/30 04:54:48.035,-67.27112411079902,-84,-82.0172271194321
2022/12/30 04:54:48.542,-76.45413813458964,-75.92529571648163,-84
2022/12/30 04:54:48.690,-63.28100799993681,-75.52423797476123,-79.13593731130898
2022/12/30 04:54:48.823,-75.66125639933317,-81.3237881197118,-78.32022148090617
2022/12/30 04:54:48.951,-75.51500302857374,-83.5310044812506,-84
2022/12/30 04:54:49.184,-76.26187276964475,-81.30878940296358,-84
2022/12/30 04:54:49.617,-76.3226773327831,-78.07493069690764,-84
2022/12/30 04:54:50.233,-76.2132771232678,-80.16833031402737,-84
2022/12/30 04:54:50.976,-72.24023112319894,-82.31361732538986,-84
2022/12/30 04:54:51.474,-76.26522385412387,-81.09582887179535,-81.71509304732538
2022/12/30 04:54:51.960,-76.33096048740302,-82.90465566952109,-84
2022/12/30 04:54:52.115,-76.49714014468367,-83.57060322221159,-81.77247426545489
2022/12/30 04:54:52.504,-55.30189240663934,-79.75644998873805,-84
2022/12/30 04:54:52.771,-52.03154655850451,-84,-84
2022/12/30 04:54:53.339,-73.84905409626688,-84,-84
2022/12/30 04:54:53.624,-76.41311399525173,-81.10373759418147,-73.19941435668925
2022/12/30 04:54:53.848,-76.21522952175123,-82.16643624639245,-68.75740194000758
2022/12/30 04:54:53.985,-76.55066284275782,-74.15495227560241,-63.03453228548574
2022/12/30 04:54:54.184,-76.31947025638271,-66.65342273522413,-78.91598447623596
2022/12/30 04:54:55.170,-57.038619110655596,-52.36068867534489,-84
