時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 04:52:42.996,-73.43821132303128,-60.62347940524945,-84
2022/12/30 04:52:43.398,-76.39348986582279,-81.8710300263718,-70.52538275261925
2022/12/30 04:52:43.812,-76.31785011399052,-80.48237118818504,-82.06770538375144
2022/12/30 04:52:44.597,-76.29532055023881,-83.25560804781539,-78.41574062497132
2022/12/30 04:52:45.146,-76.65022432079854,-68.03110223853355,-74.26018973658333
2022/12/30 04:52:45.342,-76.44868559255843,-84,-84
2022/12/30 04:52:45.743,-76.79799347538918,-70.33976645964223,-60.35677157633424
2022/12/30 04:52:46.279,-76.268028162268,-78.52216340111788,-74.64084629088379
2022/12/30 04:52:46.882,-76.3441622633774,-83.87509478328121,-82.63837434493739
2022/12/30 04:52:47.398,-76.30269670890753,-83.38984798203907,-82.98214001725184
2022/12/30 04:52:47.647,-76.63766778073523,-78.5707590195727,-79.694333298338
2022/12/30 04:52:47.781,-76.35835129384121,-79.75897442497566,-76.4253544702724
2022/12/30 04:52:47.959,-76.35825224762739,-81.53920558274922,-82.51278721618343
2022/12/30 04:52:48.098,-76.21644818714144,-81.70645418632856,-82.04169406258146
2022/12/30 04:52:48.232,-76.35626812701373,-81.87143775700248,-84
2022/12/30 04:52:48.378,-76.23120142289723,-84,-80.05761395134913
2022/12/30 04:52:48.525,-76.58034579480754,-76.52381419042081,-77.48998694175084
