時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:42:16.157,-76.43642281373339,-80.44856947820877,-84
2022/12/30 05:42:16.447,-76.26004845900451,-81.11324283570144,-63.345981041953785
2022/12/30 05:42:16.589,-75.99244972545607,-82.57201221968076,-74.11632669216098
2022/12/30 05:42:16.811,-76.50083877302252,-82.54453664264851,-78.39176945761535
2022/12/30 05:42:16.942,-76.34635220490854,-82.84620636610165,-83.87443916962806
2022/12/30 05:42:17.075,-76.13863144816523,-83.34683262574345,-81.11208520700579
2022/12/30 05:42:18.016,-76.35140180845029,-81.75250353247579,-83.49101211609369
2022/12/30 05:42:18.158,-76.33821002528394,-84,-79.86005415792607
2022/12/30 05:42:18.312,-76.40122529104333,-81.0088469624502,-84
2022/12/30 05:42:18.437,-76.35862113134577,-84,-84
2022/12/30 05:42:18.572,-76.19480122274905,-78.54496102048495,-80.56890779109449
2022/12/30 05:42:18.717,-76.31525064063038,-84,-84
2022/12/30 05:42:18.859,-76.45817107596388,-81.19947093481346,-84
2022/12/30 05:42:18.987,-76.16346910481774,-83.49538921962119,-81.60016451130409
2022/12/30 05:42:19.142,-76.49433198384568,-81.0434846209448,-38.17468800008624
2022/12/30 05:42:19.293,-76.10659054290453,-79.80589320378482,-51.744635708176105
2022/12/30 05:42:19.442,-76.45543055553921,-80.81205760311929,-62.89640864592166
2022/12/30 05:42:19.578,-76.37027932981293,-79.9029544846734,-69.77173298469708
2022/12/30 05:42:19.724,-76.26952908020247,-81.39051366628115,-75.34485004983611
2022/12/30 05:42:19.946,-76.37685547420975,-82.69752144198974,-84
2022/12/30 05:42:20.412,-76.21921249050138,-81.20047954462848,-84
2022/12/30 05:42:20.811,-76.23217349437257,-82.14610228758035,-84
2022/12/30 05:42:20.973,-76.58263910021093,-80.27173027187253,-53.828724159262784
2022/12/30 05:42:21.119,-76.22403904440215,-80.04597123463844,-65.7772263670657
2022/12/30 05:42:21.258,-76.10360393609139,-73.70702310776801,-75.76129911892068
2022/12/30 05:42:21.423,-76.16403279918569,-69.27647124731494,-73.47913602334914
2022/12/30 05:42:21.607,-76.29352918182855,-83.3527230178513,-72.91845062182888
2022/12/30 05:42:21.851,-76.31867726210014,-82.9379443434147,-82.93827268036692
2022/12/30 05:42:22.106,-76.38964383329885,-82.91005774384988,-84
2022/12/30 05:42:22.387,-76.41961341580372,-81.3684343853135,-68.48144665342517
