時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:40:46.930,-73.31751358160874,-77.5083981464253,-68.78741078739561
2022/12/30 05:40:47.059,-76.51520217294171,-76.65111044102142,-84
2022/12/30 05:40:47.214,-75.80738545316683,-78.08301906631081,-67.1992910445023
2022/12/30 05:40:47.344,-76.0195187679758,-76.24773903837746,-76.80252691831959
2022/12/30 05:40:47.479,-76.40359408176968,-80.6579572262654,-82.88836298054758
2022/12/30 05:40:47.615,-75.89330738779152,-72.2526011111431,-62.554150525550085
2022/12/30 05:40:47.744,-61.637996934470856,-68.20954331691604,-47.79120086072468
2022/12/30 05:40:47.878,-58.624676238089535,-82.8009268736342,-71.1201655813368
2022/12/30 05:40:48.015,-73.56175836229944,-81.28901476772106,-76.16264980889001
2022/12/30 05:40:48.342,-76.16458078767417,-74.72662785659391,-73.35982223202377
2022/12/30 05:40:48.860,-76.3646919048078,-73.26566277582391,-79.05136816872273
2022/12/30 05:40:49.084,-76.2507485374089,-81.72037281382146,-84
2022/12/30 05:40:49.212,-76.2507485374089,-75.24509460435786,-75.15180115083378
2022/12/30 05:40:49.345,-76.35039793456241,-78.66311424739482,-69.69252851334645
2022/12/30 05:40:49.476,-76.3509898510048,-77.80701573181096,-65.68577151078044
2022/12/30 05:40:49.614,-76.37602404943277,-74.71094701751406,-67.87737806659831
2022/12/30 05:40:49.744,-76.40107310674652,-71.97992312022468,-58.2216524495729
2022/12/30 05:40:49.877,-56.769422179078326,-72.08641586356377,-53.8503920820188
2022/12/30 05:40:50.011,-70.60735411985432,-74.60222853036106,-69.66639457219989
2022/12/30 05:40:50.138,-75.46173014589881,-80.59824195720047,-75.33734294561073
2022/12/30 05:40:50.281,-74.99235658572499,-82.23448598456903,-73.77675216850213
2022/12/30 05:40:50.408,-75.73956283015526,-81.3341645195048,-79.36250338197158
2022/12/30 05:40:50.543,-76.34728768521182,-77.21003361470251,-77.08186420399917
2022/12/30 05:40:50.678,-76.2226625140349,-79.01593865661991,-84
2022/12/30 05:40:50.816,-75.85350607494762,-78.04861413318532,-77.54783913392886
2022/12/30 05:40:50.945,-75.91001333008637,-72.15171596800666,-68.05124752519595
2022/12/30 05:40:51.099,-76.21752446326978,-80.83299027720213,-72.89474916329445
2022/12/30 05:40:51.251,-76.02857292131704,-83.75341636433477,-79.57030592031671
2022/12/30 05:40:51.413,-76.15450640639513,-81.29077456468586,-81.02948717209159
2022/12/30 05:40:51.558,-76.15052775423764,-72.58496585081703,-74.85175279871311
2022/12/30 05:40:51.781,-57.64811628789083,-77.28616491868054,-74.22434044245227
2022/12/30 05:40:51.916,-64.46991682467326,-74.33248276937621,-74.0712487240262
2022/12/30 05:40:52.065,-62.33355054779699,-74.26196859802735,-76.69064058654823
2022/12/30 05:40:52.213,-75.95799795538879,-71.12276722696056,-69.53415138844896
2022/12/30 05:40:52.397,-75.65565987334173,-73.4310706754309,-80.91877296296978
2022/12/30 05:40:52.558,-71.49233751388982,-80.26748236216277,-73.69747466369232
2022/12/30 05:40:52.696,-66.92554027742433,-76.47257946760813,-74.98790592383952
2022/12/30 05:40:52.831,-74.12853752553767,-74.91809069731954,-78.61316055636031
2022/12/30 05:40:52.963,-76.30439684030995,-77.3579977694393,-73.90080637047195
2022/12/30 05:40:53.100,-76.356150480901,-73.36562703355914,-74.22413124758128
2022/12/30 05:40:53.230,-76.4091812680561,-78.74058097906116,-80.06611515080871
2022/12/30 05:40:53.375,-76.49701017288135,-82.42394438011874,-81.08072113378205
2022/12/30 05:40:53.586,-76.59668139254107,-75.02366402910258,-74.78427916974444
2022/12/30 05:40:53.813,-76.27107691368228,-82.64756061467544,-84
2022/12/30 05:40:54.033,-76.15915270283593,-71.45567849911204,-71.71010837919307
2022/12/30 05:40:54.251,-76.48077311053467,-68.56897040263979,-59.198152725869136
2022/12/30 05:40:54.429,-58.50245832801119,-75.11218443628988,-75.15493337737078
2022/12/30 05:40:54.585,-49.86097391434456,-79.41973342361807,-75.64466476139869
2022/12/30 05:40:54.745,-51.28344024702212,-79.33489056406081,-79.7580736799432
2022/12/30 05:40:54.897,-70.44497200515308,-78.88358712277078,-76.04388353367887
2022/12/30 05:40:55.043,-75.33387070411409,-81.15471320282225,-71.40798917402527
