時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:40:00.532,-55.29139341496255,-80.35637623030101,-84
2022/12/30 05:40:00.662,-73.39201572273039,-82.35657189916947,-60.22741428368933
2022/12/30 05:40:00.799,-73.34341824939928,-73.83147180351314,-64.46358914151084
2022/12/30 05:40:00.934,-73.36709309738178,-84,-72.71893806548198
2022/12/30 05:40:01.086,-73.3809200965508,-83.08895333258347,-76.21214414062115
2022/12/30 05:40:01.565,-73.39752143553463,-78.52395590930213,-84
2022/12/30 05:40:01.984,-73.58135750627771,-84,-84
2022/12/30 05:40:02.119,-73.51500309892275,-81.75832219859068,-84
2022/12/30 05:40:02.698,-73.58041755324157,-77.92103686296124,-84
2022/12/30 05:40:03.169,-73.48458499797842,-81.0674414623742,-84
2022/12/30 05:40:03.456,-73.4852078929076,-82.76154716814756,-84
2022/12/30 05:40:03.585,-73.4852078929076,-82.06467425301257,-78.84792484863182
2022/12/30 05:40:03.712,-73.56997562381213,-77.73405611726245,-78.59004342736411
2022/12/30 05:40:03.846,-73.44010960006091,-84,-80.986431005887
2022/12/30 05:40:03.978,-73.21755889176589,-84,-84
2022/12/30 05:40:04.112,-73.44863428895289,-83.4076654061384,-84
2022/12/30 05:40:04.246,-73.4598939097553,-84,-84
2022/12/30 05:40:04.382,-73.57217308016024,-82.54556711945759,-84
2022/12/30 05:40:04.509,-73.26575240086825,-83.17298824248631,-84
2022/12/30 05:40:04.637,-73.52752921661433,-82.66497672480433,-84
2022/12/30 05:40:04.766,-73.41259285321206,-84,-84
2022/12/30 05:40:04.901,-73.22900807101871,-84,-84
2022/12/30 05:40:05.055,-73.3557925138951,-82.7146534698048,-84
2022/12/30 05:40:05.188,-73.42031133685938,-82.50616491945563,-84
2022/12/30 05:40:05.331,-73.36183652121078,-83.11896798473653,-84
2022/12/30 05:40:05.462,-73.44331944767316,-84,-84
2022/12/30 05:40:05.594,-73.32471468530343,-79.64762869767907,-84
2022/12/30 05:40:05.732,-73.55837347782426,-81.48687455018882,-84
2022/12/30 05:40:05.867,-73.26122548128932,-76.27192194193,-84
2022/12/30 05:40:06.006,-73.35107321533005,-81.05150988147939,-83.79416717669828
2022/12/30 05:40:06.198,-73.50442274692271,-79.14059165468679,-84
2022/12/30 05:40:06.337,-73.41009199174997,-79.65980997000725,-71.87309088410154
2022/12/30 05:40:06.482,-73.66679859546748,-82.80734063293502,-77.8539858400136
2022/12/30 05:40:06.644,-73.57290807128996,-83.5871164219469,-84
2022/12/30 05:40:06.769,-73.37566530454015,-82.49767377685977,-84
2022/12/30 05:40:06.902,-73.35652977437107,-83.2532038697984,-84
2022/12/30 05:40:07.036,-73.30548586321372,-83.84312010802886,-84
2022/12/30 05:40:07.286,-73.46884838633916,-81.79531583037846,-83.75621055623746
2022/12/30 05:40:07.533,-73.53462670666863,-84,-80.50322978990955
2022/12/30 05:40:07.672,-73.34457742500535,-81.44478543966457,-83.07192111740557
2022/12/30 05:40:07.799,-73.51415917785317,-77.56814321537243,-84
2022/12/30 05:40:07.928,-73.41917853249006,-83.71500740778133,-84
2022/12/30 05:40:08.067,-73.40038308078816,-83.77063424299807,-84
2022/12/30 05:40:08.195,-73.26818100690045,-78.37833205214113,-70.336980622829
2022/12/30 05:40:08.332,-73.50325613623525,-73.9125331464456,-75.4834536953777
2022/12/30 05:40:08.463,-73.50435471937851,-80.42657064188634,-80.38047085223985
2022/12/30 05:40:08.595,-73.33356658570894,-80.25086011362957,-80.99918000200064
2022/12/30 05:40:08.748,-73.42969530276955,-79.26896830238317,-72.86606703952741
