時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:41:30.000,-75.79946124224696,-78.10661660113712,-75.03837007111714
2022/12/30 05:41:30.131,-76.40295385865139,-78.90093097040977,-64.86132453553446
2022/12/30 05:41:30.260,-61.553577174642406,-81.50687923208103,-69.52986815917508
2022/12/30 05:41:30.399,-61.311666493878,-83.25204608844788,-76.19449843724726
2022/12/30 05:41:30.526,-73.86931446405399,-82.61093980904525,-77.3351123382952
2022/12/30 05:41:30.667,-76.36802595687499,-82.69901994141479,-81.47995770882835
2022/12/30 05:41:30.812,-76.44677408209654,-83.1036269202513,-82.72393374148805
2022/12/30 05:41:30.945,-66.7163096153779,-78.15727075588076,-81.89882497717251
2022/12/30 05:41:31.091,-67.99172177398789,-77.83771711639848,-78.3038896746871
2022/12/30 05:41:31.379,-60.01473891541326,-82.0024764335262,-76.33464722666174
2022/12/30 05:41:31.947,-76.39812259914194,-83.5383946206165,-84
2022/12/30 05:41:32.355,-76.4258912181536,-78.85451438304246,-82.12255172534434
2022/12/30 05:41:32.596,-76.54701710657393,-78.03209649622582,-74.08106264886248
2022/12/30 05:41:32.747,-76.49716930032167,-78.05882850512833,-71.84799757002148
2022/12/30 05:41:32.994,-65.0208223653502,-83.16822021767567,-80.70472081416298
2022/12/30 05:41:33.242,-57.517273823151136,-82.2123358448579,-79.82943513039346
2022/12/30 05:41:33.444,-64.0404897516809,-83.84541158243339,-83.1793995068844
2022/12/30 05:41:33.577,-75.85994929838009,-80.76639776387859,-79.39637704514914
2022/12/30 05:41:33.781,-76.33989669017929,-81.55108893220508,-78.72256221335361
2022/12/30 05:41:33.926,-63.06448669668378,-81.75732485357071,-84
2022/12/30 05:41:34.067,-75.75400466153236,-81.01806099788166,-74.74229260421878
2022/12/30 05:41:34.193,-61.540783579101614,-81.12415473172169,-77.6966112726162
2022/12/30 05:41:34.322,-66.80006025913171,-78.7744041912457,-84
2022/12/30 05:41:34.447,-76.17763160051422,-83.33690081107336,-81.15563210472601
2022/12/30 05:41:34.610,-76.43994763938043,-82.71389397694026,-79.07110675755897
2022/12/30 05:41:34.763,-76.19464216642388,-83.4477151779568,-83.95917135650711
2022/12/30 05:41:34.914,-76.09417061208421,-84,-63.417522203667176
2022/12/30 05:41:35.064,-51.86127033401165,-83.67090697036986,-74.38660775093919
2022/12/30 05:41:35.234,-70.36659129550142,-80.322626398747,-74.54735516092184
2022/12/30 05:41:35.412,-75.98767978999506,-80.53844023243505,-78.04340935357195
2022/12/30 05:41:35.562,-76.42939067149217,-78.75609004944981,-52.349074144418346
2022/12/30 05:41:35.711,-63.73549131726623,-77.00202715050544,-63.29138725964956
2022/12/30 05:41:35.875,-59.0413315193448,-80.28651793638437,-77.4061020782544
2022/12/30 05:41:36.012,-75.71855411010598,-79.17459909064094,-76.13612569802585
2022/12/30 05:41:36.143,-66.56759982732325,-81.25820920250469,-78.47642107232322
2022/12/30 05:41:36.308,-75.88585454297618,-84,-83.28566762082187
2022/12/30 05:41:36.444,-76.15662228745626,-83.98438127432436,-84
2022/12/30 05:41:36.579,-76.39859924620939,-83.19508157826662,-84
2022/12/30 05:41:36.726,-76.61247533420314,-82.63493569175408,-80.41170146541994
2022/12/30 05:41:36.882,-76.28950829336289,-81.76082289065019,-84
2022/12/30 05:41:37.697,-55.461875882920225,-81.30323811095133,-70.01546402003251
2022/12/30 05:41:37.840,-48.2301037685263,-72.74438034583963,-72.09689500949915
2022/12/30 05:41:37.972,-61.09936644074739,-73.75052221558232,-78.94942148876383
2022/12/30 05:41:38.099,-50.63786886012054,-80.92543856784984,-81.82759294391178
2022/12/30 05:41:38.225,-62.860812822480845,-79.29109885070642,-83.71002179893554
2022/12/30 05:41:38.349,-64.67315526690149,-81.29467479441547,-80.76170768562159
