時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:09:52.016,-73.7636024267808,-77.97554685030731,-68.43318253474143
2022/12/30 05:09:52.151,-76.48449096813208,-84,-67.08347340377225
2022/12/30 05:09:52.281,-76.32640420487793,-81.40288913550167,-73.72857256624027
2022/12/30 05:09:52.406,-76.27619113490512,-81.29818512686015,-80.85493985340375
2022/12/30 05:09:52.548,-76.4859795638082,-79.38523801773081,-84
2022/12/30 05:09:52.672,-76.0051381672251,-82.79021575610003,-84
2022/12/30 05:09:52.798,-67.47361453494116,-81.586921921876,-84
2022/12/30 05:09:52.937,-75.93755612586872,-84,-84
2022/12/30 05:09:53.151,-76.62242895020844,-84,-84
2022/12/30 05:09:53.285,-76.1659527949417,-84,-84
2022/12/30 05:09:53.438,-76.32945721809001,-84,-84
2022/12/30 05:09:53.624,-76.34473668218288,-84,-84
2022/12/30 05:09:53.757,-76.28486323606589,-82.68906351649305,-84
2022/12/30 05:09:53.954,-76.42878259879967,-83.07107043964506,-84
2022/12/30 05:09:54.106,-76.48563422840267,-82.39107047014463,-84
2022/12/30 05:09:54.237,-76.50525746379091,-79.00025722206172,-75.36393914639055
2022/12/30 05:09:54.371,-76.20638843907167,-80.34566825234863,-79.32284102003402
2022/12/30 05:09:54.534,-76.29086036813501,-78.6520630407306,-84
2022/12/30 05:09:54.672,-76.43156416227902,-81.08362358827165,-79.67971478530649
2022/12/30 05:09:54.802,-76.59391227723417,-84,-82.38095658883961
2022/12/30 05:09:54.938,-76.41098936329081,-83.3062353014964,-84
2022/12/30 05:09:55.068,-76.26441651426427,-79.36912784479429,-83.7098659920146
2022/12/30 05:09:55.202,-76.36974858432822,-82.39722109750687,-84
2022/12/30 05:09:55.337,-76.09059849124431,-79.58367922513447,-80.98848428512122
2022/12/30 05:09:55.468,-76.61606591500554,-84,-84
2022/12/30 05:09:55.599,-76.53234483053123,-80.30121969431725,-80.85549441575806
2022/12/30 05:09:55.735,-76.43564863061269,-82.93878401541642,-83.10959026705056
2022/12/30 05:09:55.870,-76.24859778834738,-83.65299727301482,-84
2022/12/30 05:09:56.032,-76.30494099199379,-84,-84
2022/12/30 05:09:56.220,-76.31488757895185,-84,-84
2022/12/30 05:09:56.806,-76.21532580018942,-81.05585624557152,-77.7927860553439
2022/12/30 05:09:56.952,-76.32443067450819,-81.33145200391368,-82.56639970936808
2022/12/30 05:09:57.124,-76.15111664849451,-69.6064000346532,-37.13357651498065
2022/12/30 05:09:57.435,-76.5071938238723,-84,-75.72522342196004
2022/12/30 05:09:58.222,-76.50609008787958,-84,-84
2022/12/30 05:09:58.369,-76.60702404115875,-84,-77.65013360974864
2022/12/30 05:09:58.500,-76.38402879255197,-84,-84
2022/12/30 05:09:58.687,-76.26732068528754,-84,-84
2022/12/30 05:09:58.813,-76.26983181989769,-84,-84
2022/12/30 05:09:58.952,-76.47736312869465,-84,-83.80350579928785
2022/12/30 05:09:59.097,-76.43305845710393,-81.6421919549496,-82.06397084545824
2022/12/30 05:09:59.235,-76.27834921684301,-79.6813723515809,-83.51568647853864
2022/12/30 05:09:59.414,-76.57465283471078,-80.28162773878414,-84
2022/12/30 05:09:59.548,-76.23049273994354,-84,-84
2022/12/30 05:09:59.688,-76.20628819459965,-80.95928744926778,-84
2022/12/30 05:09:59.851,-76.26280784108262,-77.51400185033086,-63.76994905484942
2022/12/30 05:10:00.002,-76.62471717197958,-84,-75.03968797018703
2022/12/30 05:10:00.152,-76.34957518422289,-65.00982996014189,-84
2022/12/30 05:10:00.316,-76.33336450683132,-76.16524884417719,-49.6103270714048
2022/12/30 05:10:00.462,-76.5262254581643,-81.56648273297604,-59.57764333301241
2022/12/30 05:10:00.607,-76.54125551973114,-81.62018127735763,-66.54682874374296
2022/12/30 05:10:00.733,-76.78849093554606,-80.7870499589211,-67.70275906977912
2022/12/30 05:10:00.889,-76.30419209788414,-84,-76.30223487378794
