時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:11:50.350,-76.36488951654917,-81.79357992907416,-69.66494892343897
2022/12/30 05:11:50.495,-76.29056260665246,-79.72142059991862,-66.7137450003467
2022/12/30 05:11:50.633,-76.44974180234581,-74.88106332927306,-74.03421250705718
2022/12/30 05:11:50.766,-76.43648245661069,-82.29916302870603,-79.15998678326703
2022/12/30 05:11:50.896,-76.43648245661069,-84,-80.90738398164078
2022/12/30 05:11:51.305,-76.12067563853967,-83.48962932967787,-84
2022/12/30 05:11:51.632,-76.23051240825654,-75.07695092050552,-74.60666973028934
2022/12/30 05:11:51.783,-75.9613400864522,-79.41052339033773,-77.47206140521781
2022/12/30 05:11:53.000,-76.4626348773196,-84,-79.80343567392592
2022/12/30 05:11:53.143,-76.31477852828596,-81.36631963314846,-58.930841026858445
2022/12/30 05:11:53.296,-76.27280867854773,-78.16010499369474,-57.99114375706141
2022/12/30 05:11:53.422,-76.25136184496368,-83.81821908479967,-65.14218245134776
2022/12/30 05:11:53.558,-76.19859088231732,-77.47496928967007,-68.2554899227491
2022/12/30 05:11:53.689,-76.45876101325454,-80.89479097956557,-75.67884283385801
2022/12/30 05:11:53.823,-76.26251819673377,-84,-78.76253829973632
2022/12/30 05:11:53.958,-76.48528905702916,-77.35416000327149,-73.77718450971797
2022/12/30 05:11:54.093,-76.33125480483342,-82.65513573289638,-81.01784274778356
2022/12/30 05:11:54.226,-76.22657523369044,-84,-79.30934344265427
2022/12/30 05:11:54.372,-76.23370756915153,-79.13576499745832,-74.44631949370371
2022/12/30 05:11:54.532,-76.36788965264323,-76.30116597465951,-79.3816912154321
2022/12/30 05:11:54.673,-76.30563750273589,-82.84495055515235,-80.55098475436496
2022/12/30 05:11:54.806,-76.26990405991477,-82.45876057178145,-84
2022/12/30 05:11:54.941,-76.2635819903148,-80.46068571963403,-84
2022/12/30 05:11:55.073,-76.35281876378899,-84,-83.5623604841178
2022/12/30 05:11:55.203,-76.15968599246281,-81.42791993214396,-73.37702346106954
2022/12/30 05:11:55.342,-76.35079683990509,-79.01869601047491,-77.99883376123884
2022/12/30 05:11:55.475,-76.33524138983262,-71.1895175678778,-80.71768993958797
2022/12/30 05:11:55.613,-76.15715188297708,-82.45250826856955,-67.64369581743408
2022/12/30 05:11:55.743,-76.39666355761796,-82.22583765921699,-71.2458232969835
2022/12/30 05:11:55.905,-76.38409444388634,-83.95901087342241,-77.55280168672806
2022/12/30 05:11:56.060,-76.25861194728759,-77.88842535869955,-62.4410043560232
2022/12/30 05:11:56.199,-76.51318170062906,-73.70432278100252,-46.71949406290838
2022/12/30 05:11:56.329,-76.1339186086205,-74.379808296224,-71.44014013623979
2022/12/30 05:11:56.480,-76.044647893881,-79.69769754752635,-69.93808431929918
2022/12/30 05:11:56.614,-76.34395718853983,-79.4719293637567,-79.34528791624791
2022/12/30 05:11:56.747,-76.2772238131515,-83.00625590281724,-84
2022/12/30 05:11:56.982,-76.28398274236824,-77.96041685291239,-81.236144079
2022/12/30 05:11:57.126,-76.36750127362885,-80.83954604717209,-81.5092529369077
2022/12/30 05:11:57.292,-76.26402888546717,-79.82668837444555,-70.40964869052348
2022/12/30 05:11:57.513,-76.11814444797943,-79.80792144670359,-72.91827446313296
2022/12/30 05:11:57.661,-76.31178814112741,-75.10747550606537,-74.3421806504829
2022/12/30 05:11:57.806,-76.45244610863435,-83.83065611926213,-81.56217478051964
2022/12/30 05:11:57.955,-76.09729757226742,-84,-82.6870688528755
2022/12/30 05:11:58.079,-76.4968423335049,-83.64252118291459,-84
2022/12/30 05:11:58.207,-76.32391535876992,-63.4116997803633,-74.78184837999231
2022/12/30 05:11:58.342,-76.21101635349419,-61.323570144597625,-70.63134413952966
2022/12/30 05:11:58.480,-76.3365013102476,-77.19136904800015,-76.71881971830827
2022/12/30 05:11:58.611,-76.2959622860324,-79.45880260173848,-76.74510628468384
2022/12/30 05:11:58.759,-76.34500118932652,-80.5055369234517,-78.40658468858112
2022/12/30 05:11:58.894,-76.50291047423468,-75.6313730509641,-72.47129713672543
