時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:10:45.829,-76.4653198886914,-84,-75.31314034939786
2022/12/30 05:10:46.053,-76.5609915403287,-80.9228353817543,-59.909069088169566
2022/12/30 05:10:46.544,-76.34601822080586,-74.72707972478646,-74.01335079390316
2022/12/30 05:10:47.048,-76.24549751274452,-74.85328303902372,-75.70431159950884
2022/12/30 05:10:47.929,-76.46089477508974,-73.02879871379977,-61.93162764773686
2022/12/30 05:10:48.815,-76.26772198251543,-69.1345791439967,-59.20348912424528
2022/12/30 05:10:49.336,-76.34347121830712,-76.21474200260528,-72.04830479790404
2022/12/30 05:10:49.885,-76.53127572065648,-75.7579895054948,-65.44983496005261
2022/12/30 05:10:50.108,-76.26107508198884,-77.3418053091555,-59.84467555595668
2022/12/30 05:10:50.433,-76.21906224806483,-81.92453499763575,-70.11145815019091
2022/12/30 05:10:50.700,-76.48109096971595,-79.8532593089118,-81.57136148966072
2022/12/30 05:10:50.932,-76.62178919952872,-72.55759143933913,-75.56066081951987
2022/12/30 05:10:51.302,-76.11284332590236,-75.70219709511613,-70.17898171698414
2022/12/30 05:10:52.104,-76.49186929564068,-73.09210430646235,-69.05190228105039
2022/12/30 05:10:52.318,-76.387633413692,-78.33984038293299,-72.57587944769095
2022/12/30 05:10:52.611,-76.33289665045693,-75.08859554521763,-72.3222283998641
2022/12/30 05:10:52.853,-76.41735534858425,-80.25522685397384,-74.59915084553616
2022/12/30 05:10:53.144,-76.40799431507378,-75.78934057198387,-71.05506581154432
2022/12/30 05:10:53.518,-76.27644463298176,-75.49372826045472,-77.04533036383573
2022/12/30 05:10:53.699,-76.38341754521461,-78.50462280001902,-71.82983808669395
2022/12/30 05:10:53.876,-76.1944566765979,-76.79427999673274,-69.70860457827885
2022/12/30 05:10:54.037,-76.18615986707755,-83.1017488227633,-71.96831623075379
2022/12/30 05:10:54.210,-76.48434240662398,-79.2486314665412,-79.70663604251743
2022/12/30 05:10:54.379,-76.14937129827024,-69.54271989601777,-58.283901018042734
2022/12/30 05:10:54.549,-76.31469880534985,-78.6911176251497,-68.97055439209899
2022/12/30 05:10:54.694,-76.40848156234098,-76.67758903805966,-73.00433682414068
