時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:08:52.409,-84,-84,-84
2022/12/30 05:08:52.555,-73.88735300951035,-83.22275777195327,-73.27493897577676
2022/12/30 05:08:52.689,-73.56870129378927,-80.27290049819695,-82.62455572763584
2022/12/30 05:08:52.822,-73.56588991796995,-84,-84
2022/12/30 05:08:52.953,-73.74431067980466,-78.67197156504241,-84
2022/12/30 05:08:53.086,-73.90813939657319,-81.1125383615017,-84
2022/12/30 05:08:53.221,-73.73163533261068,-84,-84
2022/12/30 05:08:53.372,-73.74916507467245,-83.89966469844227,-84
2022/12/30 05:08:53.500,-73.68176601144971,-82.67637164097661,-84
2022/12/30 05:08:53.672,-73.86705762833986,-83.75901734265935,-84
2022/12/30 05:08:53.868,-73.74827005434179,-82.72371140953231,-84
2022/12/30 05:08:54.307,-73.87225918576777,-84,-70.32271647542343
2022/12/30 05:08:54.592,-73.29647297043698,-82.15289295291424,-78.22700274158399
2022/12/30 05:08:54.742,-73.58308987702716,-84,-80.13543420161474
2022/12/30 05:08:54.874,-73.8770857316664,-83.78713511051743,-84
2022/12/30 05:08:55.000,-73.64222521113669,-83.01822033238109,-79.50056801526317
2022/12/30 05:08:55.127,-73.56692979600376,-83.6744720050474,-84
2022/12/30 05:08:55.254,-73.40740381934121,-83.12270518644311,-84
2022/12/30 05:08:55.389,-73.69282195451622,-82.24134161498671,-81.85036532938148
2022/12/30 05:08:55.522,-73.64410754093689,-78.78962026386574,-72.06688029349806
2022/12/30 05:08:55.655,-73.72512937932284,-80.90174699960941,-79.82316550006196
2022/12/30 05:08:55.786,-73.81977081497968,-82.86536603303526,-81.2004827010681
2022/12/30 05:08:55.920,-73.59426055917622,-82.8914068664009,-82.10387461322892
2022/12/30 05:08:56.074,-73.75352391608702,-84,-84
2022/12/30 05:08:56.410,-73.56315729969955,-83.39883164933028,-84
2022/12/30 05:08:56.622,-73.45818722460103,-83.37363368249477,-84
2022/12/30 05:08:56.822,-73.48119954677682,-81.20089467967327,-84
2022/12/30 05:08:56.969,-73.7482015317118,-84,-54.289884217716065
2022/12/30 05:08:57.239,-73.57695762110156,-73.45767024702424,-64.85613217726754
2022/12/30 05:08:57.425,-73.75343689424375,-75.66532335002601,-72.32319323766173
2022/12/30 05:08:57.571,-73.97429846947156,-84,-78.96200763748949
2022/12/30 05:08:57.718,-73.63679756326074,-83.959845428737,-84
2022/12/30 05:08:57.847,-73.73414022042694,-80.32228134466946,-84
2022/12/30 05:08:57.988,-73.56189090503354,-82.4437531943849,-84
2022/12/30 05:08:58.123,-73.65796943087258,-80.30508709217,-84
2022/12/30 05:08:58.249,-73.61888325290847,-83.45153114165674,-84
2022/12/30 05:08:58.374,-73.45610626841781,-80.77992062453507,-84
2022/12/30 05:08:58.500,-73.75784490611719,-83.90551354977222,-84
2022/12/30 05:08:58.626,-73.88399928415481,-82.60276373808848,-84
2022/12/30 05:08:58.757,-73.5496034224548,-81.15781910786716,-84
2022/12/30 05:08:58.882,-73.74865958204929,-83.31646189163116,-84
2022/12/30 05:08:59.025,-73.66635129283716,-84,-84
2022/12/30 05:08:59.170,-64.88643568961372,-67.2701376161926,-76.91033757664286
2022/12/30 05:08:59.510,-73.84832564596965,-82.25592842170285,-84
2022/12/30 05:08:59.743,-73.53892109308286,-79.19916670158115,-83.9266185484573
2022/12/30 05:08:59.882,-73.60493977230094,-83.5391350339226,-84
2022/12/30 05:09:00.065,-73.50409434221491,-80.06434424862297,-84
2022/12/30 05:09:00.243,-73.78168144201314,-83.25361091858794,-83.24441435333007
2022/12/30 05:09:00.385,-73.88437570345891,-73.82752843045209,-84
2022/12/30 05:09:00.510,-73.64309832117985,-78.25772115764408,-71.85779839434628
2022/12/30 05:09:00.824,-73.54508474281265,-83.57113732156562,-82.63379144709147
