時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:37:19.911,-47.01261082161484,-82.1921149316487,-53.0244688230803
2022/12/30 05:37:20.044,-75.78787292851185,-68.68942797101516,-84
2022/12/30 05:37:20.185,-76.19162271837602,-83.24849213209633,-76.13939522048406
2022/12/30 05:37:20.321,-28.99295923735488,-82.54519223258029,-74.105536741458
2022/12/30 05:37:20.461,-44.729292112512205,-83.81742362040556,-75.91469995820748
2022/12/30 05:37:20.596,-75.7602200954234,-81.88564272613009,-84
2022/12/30 05:37:20.726,-76.30151211136734,-81.88564272613009,-77.47206389472252
2022/12/30 05:37:20.869,-76.40794441519147,-79.55508522801472,-82.45297748724381
2022/12/30 05:37:21.081,-76.15745205732034,-77.0733787821277,-66.79232059455248
2022/12/30 05:37:21.459,-55.661871073557656,-80.33593604853714,-80.07212547212121
2022/12/30 05:37:22.072,-76.37970528010692,-84,-84
2022/12/30 05:37:22.198,-76.37970528010692,-84,-84
2022/12/30 05:37:22.330,-76.34035547144455,-82.07405221159716,-84
2022/12/30 05:37:22.463,-76.43843115170347,-84,-83.12004545137661
2022/12/30 05:37:22.703,-76.33973241338923,-74.78223931775132,-84
2022/12/30 05:37:23.003,-23.48439097255824,-79.5346053108753,-82.30993496815918
2022/12/30 05:37:23.147,-58.4913243497988,-79.98713955083703,-76.40130772134823
2022/12/30 05:37:23.540,-75.71966708734001,-76.29007420459035,-77.26109750627897
2022/12/30 05:37:23.705,-76.64931700730122,-77.36649791971448,-79.11011281019174
2022/12/30 05:37:23.846,-76.47565241939628,-77.65207767373062,-80.56546337007305
2022/12/30 05:37:23.977,-76.1542316859836,-81.25824547094146,-79.64534896764873
2022/12/30 05:37:24.109,-76.13192852629106,-83.63434291816168,-84
2022/12/30 05:37:24.241,-35.43865454349447,-81.96704280759678,-78.5851926725755
2022/12/30 05:37:24.395,-40.24551710314462,-82.22178306971742,-83.84842460579533
2022/12/30 05:37:24.553,-76.44247613105105,-80.78893076066107,-79.7582928338849
2022/12/30 05:37:24.693,-76.17975036081329,-79.79602841998545,-84
2022/12/30 05:37:24.957,-76.41492784540672,-77.88823503988746,-84
2022/12/30 05:37:25.089,-76.49586081412396,-80.48638735055124,-84
2022/12/30 05:37:25.344,-23.801234134120005,-82.76809745375252,-80.19254159537823
2022/12/30 05:37:25.486,-47.89665243649637,-79.62801780095386,-81.76048109245215
2022/12/30 05:37:25.614,-42.860660121475,-77.56314145323387,-77.13375622230367
2022/12/30 05:37:25.754,-51.635119012370765,-81.10301900416154,-77.61693318174628
2022/12/30 05:37:25.907,-28.780320565743377,-77.88510049711705,-72.30557567279327
2022/12/30 05:37:26.044,-25.26178500038448,-79.71174321421775,-79.22004574309877
2022/12/30 05:37:26.194,-39.35529696066649,-80.94053220602062,-74.81712555849339
2022/12/30 05:37:26.343,-36.896455187930826,-80.94393116465855,-79.50998863597181
2022/12/30 05:37:26.539,-67.26381451584848,-78.42764080161791,-81.75718726604975
2022/12/30 05:37:26.707,-73.48813124344163,-79.17029232941492,-84
2022/12/30 05:37:26.842,-73.41680888982002,-78.75896708607517,-83.59894111443236
2022/12/30 05:37:26.974,-72.03011942247953,-83.37789077770366,-84
2022/12/30 05:37:27.278,-73.59004159072414,-84,-80.9927488397404
2022/12/30 05:37:27.446,-73.35487068002749,-82.58598349846572,-81.84847604028104
2022/12/30 05:37:27.639,-73.21408098431189,-72.60477608976598,-84
2022/12/30 05:37:27.773,-54.47753479439234,-83.95257172564763,-78.18695116596966
2022/12/30 05:37:27.914,-13.639093262418108,-82.99600184998981,-83.48313724439146
2022/12/30 05:37:28.045,-23.18451613109509,-82.80659995362569,-82.35043107554407
2022/12/30 05:37:28.177,-26.49313787272552,-80.08803296298105,-84
2022/12/30 05:37:28.322,-49.11739779295316,-81.89723223070422,-83.84014811162665
2022/12/30 05:37:28.459,-66.20690658245951,-79.3865945702222,-77.87716987110664
