時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:05:03.269,-76.13960525217563,-79.75825667233096,-31.182439751879944
2022/12/30 05:05:03.506,-76.30311185509314,-80.25002368696781,-78.45825655359738
2022/12/30 05:05:03.639,-76.10081642400624,-83.04257419878081,-81.11512753822787
2022/12/30 05:05:03.768,-76.45963487407683,-84,-78.54877271979706
2022/12/30 05:05:03.894,-76.363210277548,-84,-80.89742777218484
2022/12/30 05:05:04.029,-76.26667034711656,-77.1699540028643,-79.17083248568343
2022/12/30 05:05:04.172,-76.53167996411155,-84,-83.22979328468831
2022/12/30 05:05:04.334,-76.54791971346272,-83.28551403456427,-79.00921223887254
2022/12/30 05:05:04.469,-76.33620581192818,-82.58539662903422,-83.39025398878712
2022/12/30 05:05:04.601,-76.46558838257883,-79.2743957466791,-77.32720480278059
2022/12/30 05:05:04.773,-76.36928896409862,-81.15382612459376,-60.85055696809255
2022/12/30 05:05:04.970,-76.61825795378643,-78.56566894240181,-67.5701660129369
2022/12/30 05:05:05.128,-76.56718809805946,-82.96841396775021,-74.71207136217603
2022/12/30 05:05:05.335,-76.43345330748497,-82.21990155253505,-81.54587181369592
2022/12/30 05:05:05.481,-76.15274804970514,-76.62245575361874,-80.93403278065252
2022/12/30 05:05:05.635,-76.58606995429669,-80.83161721034999,-84
2022/12/30 05:05:05.796,-76.24893233142072,-83.58367240614913,-79.07553805198403
2022/12/30 05:05:05.974,-76.33916087978986,-81.42404477694713,-75.71116578061532
2022/12/30 05:05:06.135,-76.47355899626606,-79.1318830379677,-66.54688140718869
2022/12/30 05:05:06.267,-76.48328150724049,-80.79525307227095,-63.28090141327095
2022/12/30 05:05:06.415,-76.20424133423708,-84,-73.29997326401671
2022/12/30 05:05:06.585,-76.46068346571616,-84,-81.52648596884967
2022/12/30 05:05:06.789,-76.21202705202889,-83.91292893237721,-81.56922981369199
2022/12/30 05:05:07.005,-76.49241535361575,-84,-80.12912248453199
2022/12/30 05:05:07.885,-76.41695150601198,-69.29825037574301,-61.7957051220726
2022/12/30 05:05:08.034,-76.64213597324421,-81.32706344053432,-66.45056691745765
2022/12/30 05:05:08.199,-76.36465113433101,-83.73979260358007,-65.82313235774129
2022/12/30 05:05:08.348,-76.35272583286599,-79.63902565874,-76.61426478546329
2022/12/30 05:05:08.473,-76.36835997806395,-79.98835384053993,-76.4153681304214
2022/12/30 05:05:08.623,-76.51174372688072,-82.24603337891729,-82.03167466058325
2022/12/30 05:05:08.751,-76.42158032515762,-80.89994916684107,-80.36284815272413
2022/12/30 05:05:08.919,-76.50971870757749,-80.1521041770033,-73.75664966953903
2022/12/30 05:05:09.123,-76.46170515283376,-84,-77.33937622037358
2022/12/30 05:05:09.402,-76.54841277796339,-84,-84
2022/12/30 05:05:09.576,-76.30830442091492,-84,-76.80028201922046
2022/12/30 05:05:09.707,-76.63241334121,-70.0005329826524,-63.42122300614021
2022/12/30 05:05:09.835,-76.31909998494498,-69.47323093896739,-65.0534752546441
2022/12/30 05:05:09.967,-76.53738965396374,-76.55948343005103,-70.00374823822963
2022/12/30 05:05:10.120,-76.31306920994112,-80.20750208360681,-73.1008285766735
