時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:03:47.750,-76.28909279821896,-80.38157739723547,-55.33676464901411
2022/12/30 05:03:47.887,-76.34154304228248,-78.6112549873063,-73.82333149736222
2022/12/30 05:03:48.027,-76.3007658170052,-77.3411519608875,-69.5570752769701
2022/12/30 05:03:48.172,-76.32192785655474,-79.86636523542356,-79.94083420603988
2022/12/30 05:03:48.312,-76.37928812080091,-79.57519403938267,-81.93419976666617
2022/12/30 05:03:48.472,-76.20753146004746,-82.46267581958693,-84
2022/12/30 05:03:48.642,-76.23677801038549,-84,-84
2022/12/30 05:03:48.893,-76.39960609665575,-77.02921426960076,-78.05547468271124
2022/12/30 05:03:49.057,-76.24161311600065,-82.65381248302633,-84
2022/12/30 05:03:49.404,-76.20417168609089,-78.41760853682624,-73.593155902432
2022/12/30 05:03:49.993,-76.25102104370511,-84,-82.11571028456028
2022/12/30 05:03:50.156,-76.43841088920455,-81.36161750946883,-84
2022/12/30 05:03:50.308,-76.38993284571958,-84,-82.81159704185109
2022/12/30 05:03:50.459,-76.24911400917591,-81.98940794937326,-84
2022/12/30 05:03:50.607,-76.29084141202523,-84,-83.82331259272148
2022/12/30 05:03:51.061,-76.48697847486173,-83.79558286239765,-84
2022/12/30 05:03:51.905,-76.44558788047718,-77.94229095570005,-82.45790168002029
2022/12/30 05:03:52.442,-76.51090444098196,-79.76714121975722,-80.32961246622163
2022/12/30 05:03:52.841,-76.31776240142868,-77.77837941376004,-84
2022/12/30 05:03:53.123,-76.35051917957017,-78.50721085797159,-78.67407574061579
2022/12/30 05:03:53.460,-76.5735074053743,-83.71659902988861,-77.28511968217062
2022/12/30 05:03:53.614,-76.44425149908629,-84,-80.71478477463378
2022/12/30 05:03:54.262,-76.59573965675432,-84,-80.74755022121158
