時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:02:43.797,-84,-84,-84
2022/12/30 05:02:44.089,-76.72503006411723,-84,-84
2022/12/30 05:02:44.545,-76.85360886764387,-83.62034142735497,-82.7027250802159
2022/12/30 05:02:44.980,-76.95088675822964,-78.6311745248174,-49.00165057971471
2022/12/30 05:02:45.434,-76.75859057139425,-83.21207854890523,-78.47944632794729
2022/12/30 05:02:45.842,-76.66003104963819,-82.09028532616964,-80.36214656375859
2022/12/30 05:02:46.311,-76.55765630526844,-79.60379119239727,-79.66693833791466
2022/12/30 05:02:46.841,-76.68401244495702,-80.93785173214965,-76.51974561913875
2022/12/30 05:02:47.164,-76.80766586508193,-82.00145896719044,-81.89824300599258
2022/12/30 05:02:48.303,-76.65599513774141,-80.37691840094793,-72.29896916873444
2022/12/30 05:02:48.793,-76.68015904200654,-80.55509492884306,-84
2022/12/30 05:02:49.199,-76.39943643379144,-83.50751128683669,-81.84067011665232
2022/12/30 05:02:49.372,-76.48333580341532,-84,-79.30223228090287
2022/12/30 05:02:49.564,-76.55798470290219,-81.60958099856205,-82.05158691352743
2022/12/30 05:02:49.696,-76.84735126453839,-81.57807873566497,-77.96602930843407
2022/12/30 05:02:49.830,-76.57621210368961,-80.19236343096536,-77.7036218818073
2022/12/30 05:02:50.071,-76.57780457144801,-80.43375862610411,-72.71069126822002
2022/12/30 05:02:50.507,-76.4181184720622,-81.16981792862862,-78.02294840702342
2022/12/30 05:02:50.688,-76.6067130959268,-84,-68.65242074111407
2022/12/30 05:02:50.861,-77.03993819279572,-84,-74.87864657039661
2022/12/30 05:02:51.048,-76.68657036363795,-80.34714433291865,-82.58156084098755
2022/12/30 05:02:51.410,-76.66682999220771,-84,-80.82262194698102
2022/12/30 05:02:51.932,-76.7480921830788,-84,-81.67306852992829
2022/12/30 05:02:52.394,-76.84471270466516,-81.7603239979785,-83.6427644825431
2022/12/30 05:02:52.763,-76.85041745788278,-80.67088857017829,-83.96519278524772
2022/12/30 05:02:53.088,-76.61428026854222,-83.45049342695373,-84
2022/12/30 05:02:53.379,-76.58464457423462,-81.68828303198885,-84
2022/12/30 05:02:53.864,-76.72532330471401,-75.76543992917671,-53.70784026459914
2022/12/30 05:02:54.044,-76.6353726929868,-78.48361238278198,-70.1983154763099
2022/12/30 05:02:54.295,-76.49066224425198,-82.94453123961543,-80.845554625121
2022/12/30 05:02:54.446,-76.53012765681561,-83.43242832779836,-84
