時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:06:07.133,-76.44816759777287,-80.20750208360681,-84
2022/12/30 05:06:07.335,-76.51966791192433,-78.99204466076085,-82.03951885996007
2022/12/30 05:06:07.492,-76.40503651051604,-82.43499999612425,-72.76831982504913
2022/12/30 05:06:07.632,-76.17351851921924,-79.84609470524566,-78.28194807589084
2022/12/30 05:06:07.768,-76.42331878636622,-81.21887728836371,-80.49139991953695
2022/12/30 05:06:07.897,-76.52662436711763,-79.33165807157009,-82.2102244457428
2022/12/30 05:06:08.036,-76.37570778310784,-79.63688736944347,-84
2022/12/30 05:06:08.200,-76.59540330515041,-84,-84
2022/12/30 05:06:08.385,-76.25233343953803,-80.01451080298133,-83.73866419232587
2022/12/30 05:06:08.529,-76.23084643617749,-84,-84
2022/12/30 05:06:08.686,-76.37342459261022,-80.50128825729699,-84
2022/12/30 05:06:08.947,-76.46871655294576,-84,-81.86329235697085
2022/12/30 05:06:09.118,-76.43516135886684,-76.19915610303354,-79.75042761088898
2022/12/30 05:06:09.419,-76.40138588540253,-82.9473456351384,-82.63723858210031
2022/12/30 05:06:09.632,-76.33542641638124,-80.60319303660006,-83.05453666237429
2022/12/30 05:06:09.814,-76.31811998969079,-79.01224794839416,-67.51188116473324
2022/12/30 05:06:09.952,-76.34924062930291,-78.87910770255372,-74.08554006072988
2022/12/30 05:06:10.082,-76.4648765140109,-82.72049725482213,-77.08438349288521
2022/12/30 05:06:10.278,-76.24545112678982,-79.07731727710197,-79.35820012764717
2022/12/30 05:06:10.417,-76.2219643481463,-81.17582886660792,-81.07996407332743
2022/12/30 05:06:10.614,-76.25311179496164,-81.69037155685021,-84
2022/12/30 05:06:10.767,-76.17045958260668,-79.94451880215875,-84
2022/12/30 05:06:10.893,-76.25682996136501,-81.15098168573071,-84
2022/12/30 05:06:11.393,-76.42435013043341,-81.8926035058627,-71.752978294982
2022/12/30 05:06:11.698,-76.26377107401186,-69.78417160880363,-77.46857674373925
2022/12/30 05:06:11.898,-76.25781216019513,-78.83764763304109,-63.660448020487195
2022/12/30 05:06:12.035,-76.3560488950374,-84,-70.21927747378666
2022/12/30 05:06:12.215,-76.01759408101023,-75.48588898509395,-43.86836747123145
2022/12/30 05:06:12.399,-76.39581270405921,-80.34545286604155,-61.440917127809186
2022/12/30 05:06:12.586,-76.20612198129484,-76.24262652618424,-69.16753163831125
2022/12/30 05:06:12.753,-76.44175797750145,-78.56270341012257,-72.7871981367141
2022/12/30 05:06:13.079,-76.53622790806116,-84,-79.38889816646252
2022/12/30 05:06:13.350,-76.30034883723704,-84,-83.73755163873219
2022/12/30 05:06:13.487,-76.23687002806216,-82.85401514315028,-83.68095819292613
2022/12/30 05:06:13.633,-76.63493099393234,-84,-84
2022/12/30 05:06:13.851,-76.26432264190156,-84,-67.169364930663
2022/12/30 05:06:14.435,-76.44036108465717,-80.88891758000221,-37.80640484798654
2022/12/30 05:06:14.994,-76.39993900882651,-82.05417326920784,-66.14462969341758
2022/12/30 05:06:15.228,-76.68540986868311,-83.60362417817102,-77.53287043842239
2022/12/30 05:06:15.401,-76.37999747204123,-81.29722951266052,-65.8354147440988
2022/12/30 05:06:15.752,-76.24693800868206,-78.57845429217753,-22.83698434761325
2022/12/30 05:06:15.967,-76.6361964269148,-75.26689596487873,-55.02195642737576
