時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:39:57.563,-50.707356816262816,-81.62726352508315,-72.79290452559246
2022/12/30 03:39:57.748,-43.457207230619915,-59.68878294419653,-65.91150094045115
2022/12/30 03:39:57.887,-20.085566897247826,-72.38700807686763,-73.24114841761781
2022/12/30 03:39:58.034,-24.466107401211914,-83.27157546469269,-76.56737879381278
2022/12/30 03:39:58.167,-37.661325992138806,-84,-80.1745720583078
2022/12/30 03:39:58.293,-25.355738060677787,-83.12991578981024,-84
2022/12/30 03:39:58.522,-29.131357713430948,-84,-84
2022/12/30 03:39:59.128,-62.30564891479545,-81.18354137428116,-84
2022/12/30 03:39:59.430,-21.155119243381716,-82.2091596809889,-78.44914526993958
2022/12/30 03:39:59.949,-17.025208447321166,-81.69602979615678,-76.28945569101559
2022/12/30 03:40:00.216,-35.45631259287197,-80.05197101365083,-83.65813257125518
2022/12/30 03:40:05.581,-75.86090616425588,-82.68779289480352,-84
2022/12/30 03:40:05.784,-60.88710604839548,-84,-84
2022/12/30 03:40:05.919,-76.3255998348645,-81.31146357285552,-84
2022/12/30 03:40:06.128,-76.22858474712574,-83.9796604884597,-84
2022/12/30 03:40:06.297,-70.37416096626245,-79.65399161770854,-84
