時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:39:19.340,-57.46110070525306,-78.06880019500349,-71.82616778655944
2022/12/30 03:39:19.487,-34.607709523511204,-75.91544643806694,-75.49014283814154
2022/12/30 03:39:19.616,-43.381562870004146,-82.54584074382436,-74.53825507044964
2022/12/30 03:39:19.742,-42.78121046596166,-83.72807281624175,-78.45076355098254
2022/12/30 03:39:19.874,-53.93980819718326,-84,-81.56833280309925
2022/12/30 03:39:20.022,-73.27793162411328,-79.35664048617953,-79.05645735255361
2022/12/30 03:39:20.157,-73.50595178515599,-81.09685553080341,-80.48155438055221
2022/12/30 03:39:20.302,-73.51172214405686,-84,-83.0868730633837
2022/12/30 03:39:20.455,-73.31387336638741,-80.08059039995756,-84
2022/12/30 03:39:20.760,-73.45322062263328,-84,-84
2022/12/30 03:39:21.322,-41.17513112454326,-83.06533634433146,-84
2022/12/30 03:39:21.566,-46.50353421566817,-81.97948906704953,-84
2022/12/30 03:39:22.137,-49.570822979066435,-81.46232110633095,-84
2022/12/30 03:39:22.491,-27.941135946528114,-84,-84
2022/12/30 03:39:22.739,-71.99527068972307,-79.806752732887,-84
2022/12/30 03:39:22.971,-71.71081866554479,-76.51356307016506,-84
2022/12/30 03:39:23.224,-59.28408396151355,-82.35065747596293,-76.38039700803623
2022/12/30 03:39:23.449,-32.011936519348666,-84,-80.47472986873181
2022/12/30 03:39:23.947,-18.649890303485318,-71.19612452204562,-77.56023632985932
2022/12/30 03:39:24.488,-40.35212233102774,-84,-83.05791498550882
2022/12/30 03:39:24.963,-54.215064807748576,-83.11968038296985,-84
2022/12/30 03:39:25.344,-31.96455764879548,-84,-83.23454198174461
2022/12/30 03:39:25.614,-67.9553825078233,-84,-79.28146940250795
2022/12/30 03:39:25.774,-48.098495358016926,-83.10649261287912,-79.57299202147323
2022/12/30 03:39:25.922,-19.13990523676555,-80.5072707485511,-82.48011628678923
2022/12/30 03:39:26.066,-22.193818176947513,-83.16170692658254,-67.99266610458365
2022/12/30 03:39:26.237,-23.896706417869847,-84,-79.38770276570268
2022/12/30 03:39:26.382,-24.349372937759142,-84,-77.46787850767554
2022/12/30 03:39:26.540,-34.66671494176125,-80.17231627970489,-81.13801609730021
2022/12/30 03:39:26.684,-26.030446467967977,-83.88898645749642,-82.76819231786847
2022/12/30 03:39:26.819,-39.82591598238314,-81.82193700521525,-78.37054825164333
2022/12/30 03:39:26.972,-51.79818916103743,-84,-78.85698988768858
2022/12/30 03:39:27.130,-41.827374909377596,-81.46270536428983,-81.22809682068981
