時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:49:19.167,-70.06000597947563,-80.63117779937521,-84
2022/12/30 03:49:19.310,-54.85387832862112,-79.26914920117592,-78.28905268692549
2022/12/30 03:49:19.437,-28.587879419753534,-84,-81.57839804538935
2022/12/30 03:49:19.570,-40.92278628572131,-77.51356195695452,-72.90475605163184
2022/12/30 03:49:19.733,-23.41313162935009,-84,-78.11794674255682
2022/12/30 03:49:20.014,-25.733351911027924,-84,-82.80119309902861
2022/12/30 03:49:20.337,-56.0579649744915,-84,-79.29219240476017
2022/12/30 03:49:20.569,-32.00238239804895,-81.20443783870677,-74.5838620675112
2022/12/30 03:49:21.016,-25.832504991633364,-81.66231451235122,-84
2022/12/30 03:49:21.170,-64.79620578576396,-81.52755627430324,-74.32497756093116
2022/12/30 03:49:21.303,-21.02006622008743,-82.466841575707,-84
2022/12/30 03:49:21.453,-29.511909681998493,-80.01735785995741,-78.67419865399314
2022/12/30 03:49:21.609,-23.983004443273174,-81.34473868819919,-79.46985503174643
2022/12/30 03:49:21.767,-43.47366832183623,-81.47191685137975,-84
2022/12/30 03:49:21.895,-26.71228168730355,-83.02117233786889,-78.86251020292835
2022/12/30 03:49:22.229,-32.85650602580094,-78.6376336075121,-68.34581052480402
2022/12/30 03:49:22.500,-61.13729366720682,-83.80440786266875,-79.47338274177544
2022/12/30 03:49:22.652,-60.56225747697927,-84,-82.36900400596645
2022/12/30 03:49:22.827,-65.84966867956076,-84,-82.62995409153261
2022/12/30 03:49:22.970,-20.700023510330595,-79.33948864386285,-79.40135613080653
2022/12/30 03:49:23.130,-21.423751462692447,-78.9404577375428,-77.79660746875734
2022/12/30 03:49:23.402,-26.433039773955322,-80.17237704882115,-80.62586170814936
2022/12/30 03:49:23.564,-19.98590735180088,-84,-82.51268084611513
2022/12/30 03:49:23.709,-76.04713180457749,-84,-84
2022/12/30 03:49:24.273,-36.839583658187685,-83.45436675847823,-81.04740028104936
2022/12/30 03:49:24.479,-23.18820177579024,-83.42516585282524,-79.34494155224593
2022/12/30 03:49:24.746,-59.020395405553614,-84,-81.60114539932951
2022/12/30 03:49:25.036,-36.52229518526382,-84,-81.42134652232326
