時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:48:49.225,-84,-84,-84
2022/12/30 03:48:49.581,-73.34792585113522,-84,-84
2022/12/30 03:48:49.719,-73.65173931389837,-84,-84
2022/12/30 03:48:49.872,-73.24794642815156,-83.06224032493301,-84
2022/12/30 03:48:50.272,-73.38090512997934,-84,-84
2022/12/30 03:48:50.549,-73.3655936562751,-84,-81.8463838573777
2022/12/30 03:48:51.088,-65.30878360976627,-78.66079280522618,-84
2022/12/30 03:48:51.319,-74.28532621307104,-84,-84
2022/12/30 03:48:51.786,-73.54385607944025,-83.05271540506328,-84
2022/12/30 03:48:52.011,-70.45186366062948,-83.03686099745363,-72.64055139742992
2022/12/30 03:48:52.278,-73.49545875775411,-81.75390799139139,-82.29641333110587
2022/12/30 03:48:53.271,-61.360983352306924,-84,-84
2022/12/30 03:48:53.518,-62.83849732494946,-84,-65.04694950537805
2022/12/30 03:48:53.749,-39.35686447577159,-75.14342910502353,-63.23830531601051
2022/12/30 03:48:54.022,-60.253556325077255,-80.5688454400927,-80.77813498019509
2022/12/30 03:48:54.752,-73.65363308226114,-84,-84
2022/12/30 03:48:54.988,-59.197827848952684,-84,-84
2022/12/30 03:48:55.142,-65.770331966038,-84,-84
2022/12/30 03:48:55.318,-73.33304172174363,-84,-84
2022/12/30 03:48:55.770,-39.30610846647676,-77.65741669511682,-84
2022/12/30 03:48:56.122,-37.34161174494454,-82.45836197436776,-84
2022/12/30 03:48:56.338,-64.58984573910014,-79.68033542894625,-84
2022/12/30 03:48:56.537,-46.34621583601043,-82.52346589661423,-84
2022/12/30 03:48:56.714,-73.34905227723895,-84,-84
2022/12/30 03:48:56.871,-62.673929750739916,-83.36672178341817,-84
