時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:44:22.919,-27.576445899762923,-80.55035161113678,-65.66360750368963
2022/12/30 03:44:23.101,-13.87810011520954,-83.26488660802889,-77.80562267464758
2022/12/30 03:44:23.232,-36.812558426501724,-81.8790426425216,-84
2022/12/30 03:44:23.369,-24.31771132101289,-80.83937159042841,-84
2022/12/30 03:44:23.503,-31.10342008712046,-82.3162613286583,-84
2022/12/30 03:44:23.652,-27.486498430097363,-81.33365641426829,-84
2022/12/30 03:44:24.349,-46.56252013033553,-84,-84
2022/12/30 03:44:24.665,-28.328273063038175,-83.60542967615785,-82.5035043229446
2022/12/30 03:44:24.968,-20.35054366224403,-82.93637168104178,-84
2022/12/30 03:44:25.565,-26.773596623116948,-79.36907631611373,-82.48806607533744
2022/12/30 03:44:25.718,-49.67812985982894,-81.05124860675538,-84
2022/12/30 03:44:26.113,-72.91451387553215,-83.51940649074272,-84
2022/12/30 03:44:26.588,-22.95470145203201,-82.2437537522918,-84
2022/12/30 03:44:26.727,-15.215115758730581,-73.74735736497308,-84
2022/12/30 03:44:27.085,-32.92959752432704,-82.45810560659353,-84
2022/12/30 03:44:27.581,-11.66098886225447,-80.6283609265115,-79.48964588215641
2022/12/30 03:44:27.981,-58.31777167260406,-84,-84
2022/12/30 03:44:28.434,-25.21559042214982,-80.90442873059484,-84
2022/12/30 03:44:28.919,-55.093450783020785,-83.187740121606,-84
2022/12/30 03:44:29.488,-14.626769529319066,-81.11927827984645,-84
2022/12/30 03:44:29.981,-25.112001688028883,-83.76794289452454,-84
2022/12/30 03:44:30.278,-35.5749822923422,-84,-84
2022/12/30 03:44:30.849,-75.60952709660053,-81.47184369072039,-84
2022/12/30 03:44:31.346,-57.879581976365515,-79.87498835424189,-84
2022/12/30 03:44:31.783,-76.0043380318354,-79.99853094015953,-84
2022/12/30 03:44:31.969,-33.7386996923442,-82.35446780342161,-84
