時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:43:55.656,-70.89986097640144,-82.90544981398133,-62.23303920515187
2022/12/30 03:43:55.790,-71.31753956067926,-82.73027086874606,-77.32251007593226
2022/12/30 03:43:56.039,-14.450589045847536,-84,-80.63696592680748
2022/12/30 03:43:56.235,-24.40779714788195,-84,-84
2022/12/30 03:43:56.386,-20.819538375420024,-82.58698535527009,-84
2022/12/30 03:43:56.556,-30.017307607162024,-84,-84
2022/12/30 03:43:57.105,-18.512770298946815,-79.12197871264088,-77.12207537780624
2022/12/30 03:43:57.818,-32.46301052058562,-84,-84
2022/12/30 03:43:58.046,-70.03086435947469,-79.8636313800293,-82.30470050411813
2022/12/30 03:43:58.585,-19.49285153081437,-82.00756961565135,-77.4743185498985
2022/12/30 03:43:59.056,-14.480516864044821,-79.11914167340444,-76.33087345537122
2022/12/30 03:43:59.582,-32.11084991674604,-84,-84
2022/12/30 03:44:00.230,-16.90997357492389,-82.884887078219,-81.86012695236568
2022/12/30 03:44:00.581,-70.95953985523478,-82.5181850098023,-84
2022/12/30 03:44:00.882,-19.183609359847505,-77.1291768577071,-84
2022/12/30 03:44:01.057,-9.792788069301983,-72.80998765177004,-84
2022/12/30 03:44:01.204,-19.073551342203153,-71.2080862602684,-84
2022/12/30 03:44:01.685,-20.759063184694714,-82.74707411961025,-84
2022/12/30 03:44:01.831,-32.81997214897078,-83.45295709648985,-84
2022/12/30 03:44:01.965,-40.43965860567718,-84,-84
