時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:26:52.595,-76.26157010590227,-84,-74.00506241917732
2022/12/30 03:26:52.727,-37.67771014524685,-78.18967870749736,-77.68325127131271
2022/12/30 03:26:52.875,-52.39925766721051,-80.63728384222239,-84
2022/12/30 03:26:53.013,-35.233270786016895,-84,-82.9902117269461
2022/12/30 03:26:53.140,-35.55770698445388,-84,-78.99804540348762
2022/12/30 03:26:53.280,-52.098688221744986,-84,-83.16698114214665
2022/12/30 03:26:53.431,-37.1017202334588,-84,-79.48557561072153
2022/12/30 03:26:53.596,-34.68614959489428,-84,-82.561879690917
2022/12/30 03:26:53.732,-24.004918247739596,-84,-83.93101755691468
2022/12/30 03:26:54.016,-34.6148762693761,-84,-80.67882878460631
2022/12/30 03:26:54.412,-27.069735484743024,-84,-82.55534053416912
2022/12/30 03:26:54.570,-42.48303753245834,-84,-84
2022/12/30 03:26:54.779,-24.75057778958923,-84,-80.15012595919757
2022/12/30 03:26:54.916,-39.91930189797512,-84,-84
2022/12/30 03:26:55.044,-57.49582489881269,-84,-82.35606775115511
2022/12/30 03:26:55.192,-23.175009676505752,-84,-80.76179396772062
2022/12/30 03:26:55.326,-42.52740797517215,-84,-84
2022/12/30 03:26:55.529,-23.97119692956312,-84,-83.6356151083141
2022/12/30 03:26:55.692,-25.921281208504098,-84,-79.28832189113238
2022/12/30 03:26:55.847,-44.00824553802539,-84,-83.62587555863084
2022/12/30 03:26:56.016,-25.662118734694566,-84,-81.30301242164415
2022/12/30 03:26:56.181,-29.455914240121096,-78.69670592274781,-84
2022/12/30 03:26:56.316,-22.748829621122336,-84,-76.24879415027466
2022/12/30 03:26:56.483,-16.749460700765333,-84,-84
2022/12/30 03:26:56.682,-61.32087409930336,-84,-82.60366379314006
2022/12/30 03:26:56.864,-26.70170984807644,-84,-80.19056503641107
2022/12/30 03:26:57.045,-21.523777904518177,-84,-81.25609998012096
2022/12/30 03:26:57.179,-25.293387252017418,-84,-84
2022/12/30 03:26:57.381,-18.42921636090323,-84,-84
2022/12/30 03:26:57.529,-56.670458331061255,-84,-84
2022/12/30 03:26:57.730,-61.426009601051526,-84,-83.92379392937886
2022/12/30 03:26:57.866,-41.149492593195944,-84,-82.52637765968248
2022/12/30 03:26:58.031,-62.47318200732914,-84,-84
2022/12/30 03:26:58.197,-46.056447655732306,-84,-84
2022/12/30 03:26:58.379,-21.936048660139754,-84,-82.10341628266782
2022/12/30 03:26:58.727,-43.17729055953996,-83.7901843221668,-84
2022/12/30 03:26:59.158,-68.34099703577901,-84,-84
2022/12/30 03:26:59.339,-74.23988192051779,-84,-84
2022/12/30 03:26:59.482,-75.79739107104616,-84,-82.90949799229315
2022/12/30 03:26:59.613,-60.10040579534998,-84,-83.6489547646585
2022/12/30 03:26:59.758,-66.98125120665588,-84,-84
2022/12/30 03:26:59.896,-76.20432634782964,-84,-84
2022/12/30 03:27:00.048,-54.08530062402997,-84,-81.4111575944408
