時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:27:28.033,-72.0388632188538,-81.27205786360646,-79.3611586273706
2022/12/30 03:27:28.212,-75.75807206359372,-80.38481057438614,-83.18343032609455
2022/12/30 03:27:28.358,-65.95859161526829,-84,-84
2022/12/30 03:27:28.530,-76.08174113523435,-84,-84
2022/12/30 03:27:28.774,-76.35486218420168,-84,-84
2022/12/30 03:27:28.911,-76.39068491618937,-84,-84
2022/12/30 03:27:29.081,-76.40279478868337,-84,-80.57135955878407
2022/12/30 03:27:29.264,-76.38958430701857,-84,-84
2022/12/30 03:27:29.404,-76.44149052652347,-84,-83.98778249080615
2022/12/30 03:27:29.589,-76.42121043902435,-84,-84
2022/12/30 03:27:29.791,-76.43332209783505,-84,-82.80133101537763
2022/12/30 03:27:29.927,-76.37987884662168,-84,-74.66632702469958
2022/12/30 03:27:30.057,-76.40531006019204,-84,-80.36593042206829
2022/12/30 03:27:30.189,-76.38962504068863,-84,-83.78722108886436
2022/12/30 03:27:30.314,-76.38400423958383,-84,-83.87915609556106
2022/12/30 03:27:30.464,-76.41010277394663,-84,-83.87357365130241
2022/12/30 03:27:30.596,-76.3389606808632,-84,-84
2022/12/30 03:27:30.726,-76.40064515418021,-84,-79.99844099327692
2022/12/30 03:27:30.871,-76.37225700992416,-84,-84
2022/12/30 03:27:30.998,-76.42863027005848,-84,-84
2022/12/30 03:27:31.141,-76.33928112079984,-84,-83.06756477498547
2022/12/30 03:27:31.292,-76.35566532130186,-84,-84
2022/12/30 03:27:31.446,-76.45057724702484,-84,-84
2022/12/30 03:27:31.659,-76.36620493644061,-84,-84
2022/12/30 03:27:31.842,-76.40535309691035,-84,-79.85231542651532
2022/12/30 03:27:32.010,-76.40181695950089,-84,-84
2022/12/30 03:27:32.160,-76.08882511331298,-84,-83.21910860388815
2022/12/30 03:27:32.311,-76.43431956625291,-84,-84
2022/12/30 03:27:32.479,-76.29005307046248,-84,-82.536466953543
2022/12/30 03:27:32.631,-76.4037984020926,-84,-83.1375107783967
2022/12/30 03:27:32.844,-76.38660952695578,-84,-71.02896415263754
2022/12/30 03:27:33.019,-76.33515221703254,-84,-79.55972688097363
2022/12/30 03:27:33.211,-70.62474430075584,-84,-80.57788027547551
2022/12/30 03:27:33.368,-75.69655401712782,-84,-84
2022/12/30 03:27:33.560,-72.5385358481284,-84,-82.94875972599819
2022/12/30 03:27:33.722,-76.05194548935523,-84,-82.59618070648281
2022/12/30 03:27:33.888,-76.40271089157503,-84,-80.06089868972317
2022/12/30 03:27:34.047,-76.35918080089525,-84,-84
2022/12/30 03:27:34.258,-76.18775316186853,-84,-83.11597496242398
2022/12/30 03:27:34.630,-76.43022982165186,-84,-83.7583044757436
2022/12/30 03:27:34.781,-59.280850497377706,-63.91698585340036,-81.22761998064291
2022/12/30 03:27:34.926,-47.70199673098405,-72.86444423901425,-83.99923204756819
2022/12/30 03:27:35.073,-75.86971791805834,-79.4879484781065,-83.3734155141932
2022/12/30 03:27:35.211,-54.97829025891184,-84,-81.4943777073104
2022/12/30 03:27:35.367,-73.67850165225663,-84,-83.47851617386313
2022/12/30 03:27:35.503,-75.76635276290118,-84,-78.66703025104277
2022/12/30 03:27:35.662,-76.25223929360975,-84,-83.8793063823651
2022/12/30 03:27:35.810,-76.38695685513339,-84,-82.73656290573632
2022/12/30 03:27:35.972,-76.41975104817698,-84,-82.16444472925681
2022/12/30 03:27:36.386,-76.42666412904751,-84,-84
2022/12/30 03:27:36.585,-76.28993917739635,-84,-82.68751640764073
2022/12/30 03:27:36.913,-76.38347535431035,-84,-84
