時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:36:53.025,-76.4364091165596,-80.81087588746776,-55.84733778869613
2022/12/30 03:36:53.162,-50.72219126242822,-81.26661219045779,-77.50398653577503
2022/12/30 03:36:53.299,-22.87634742289059,-82.06934325916087,-83.63822761235718
2022/12/30 03:36:53.600,-26.934450141462,-82.37601709413272,-84
2022/12/30 03:36:53.906,-15.5052399524131,-81.48818327064564,-80.48696725546867
2022/12/30 03:36:54.379,-24.521395313380232,-53.28743576234202,-69.50499112119951
2022/12/30 03:36:54.609,-37.8311720938158,-82.55124689228025,-61.96855808071647
2022/12/30 03:36:54.892,-40.760831783288005,-84,-83.42876198786436
2022/12/30 03:36:55.116,-26.15748299582453,-82.36202597628895,-75.84138409368106
2022/12/30 03:36:55.275,-42.415893698554655,-82.62993500796385,-75.976864534312
2022/12/30 03:36:55.415,-67.61071989401292,-80.86535442110659,-80.08243939420848
2022/12/30 03:36:55.555,-58.26453213769253,-81.19473342049874,-83.1059069420776
2022/12/30 03:36:55.694,-33.094643109369215,-78.23488889566121,-74.13995131558205
2022/12/30 03:36:55.826,-20.631527568200696,-79.47876475597026,-80.83402507020577
2022/12/30 03:36:56.111,-25.044021198598116,-82.25192302636896,-84
2022/12/30 03:36:56.298,-37.776300560498285,-80.43016564794853,-84
2022/12/30 03:36:56.443,-39.3824464753792,-81.98198054187338,-84
2022/12/30 03:36:59.166,-35.84188854127432,-81.26150891381059,-84
2022/12/30 03:36:59.516,-62.83729219722959,-84,-84
2022/12/30 03:36:59.662,-57.065196881918546,-79.43984618161063,-84
2022/12/30 03:36:59.847,-34.37169062224308,-83.39275976608275,-84
2022/12/30 03:37:01.490,-75.86161448642014,-83.73092863840168,-84
2022/12/30 03:37:01.712,-53.6375918508234,-81.09712347955538,-80.5513519042856
2022/12/30 03:37:01.965,-49.84392604216591,-79.57158256051792,-68.10594720192508
2022/12/30 03:37:02.206,-57.76095197523431,-84,-62.38706966758572
