時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:36:16.956,-76.40453984534165,-76.47065523052886,-75.28484181848553
2022/12/30 03:36:17.085,-76.43814792503296,-82.75081477113088,-74.9220468267405
2022/12/30 03:36:17.252,-76.37193634788851,-84,-83.62555303233864
2022/12/30 03:36:17.490,-76.38466954962803,-79.2942042916593,-84
2022/12/30 03:36:17.750,-76.41166439142015,-83.68509676392702,-82.52839693349651
2022/12/30 03:36:18.162,-76.43960468553115,-84,-80.85025066020997
2022/12/30 03:36:18.772,-76.39545664347574,-57.70897292737918,-36.21464703812253
2022/12/30 03:36:19.150,-76.38043486829163,-84,-70.7411607409552
2022/12/30 03:36:19.334,-76.43115728104684,-84,-78.74864135307517
2022/12/30 03:36:19.484,-76.42745201049563,-84,-74.37441475159333
2022/12/30 03:36:19.781,-76.37344018789169,-66.6422456295592,-72.94107870280573
2022/12/30 03:36:20.193,-76.40374185917909,-77.86664673343175,-61.981095228740124
2022/12/30 03:36:20.366,-76.4419700555062,-70.54143317930755,-34.18320636364897
2022/12/30 03:36:20.678,-76.42254400781047,-78.64749553170861,-55.25567438219121
2022/12/30 03:36:21.422,-76.45292792874554,-76.15522007753313,-81.7908285008993
2022/12/30 03:36:21.873,-76.42622039311638,-83.0362642640737,-74.77526489960181
2022/12/30 03:36:22.351,-76.37794098941269,-82.80895285408369,-77.091608963739
2022/12/30 03:36:22.713,-75.85797305924763,-81.70871381771362,-83.50273165007212
2022/12/30 03:36:23.226,-76.4276367427709,-82.23404919987793,-84
2022/12/30 03:36:23.629,-76.39730286354487,-84,-81.36679843720891
