時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:33:42.923,-76.36541760449924,-84,-77.30664554885585
2022/12/30 03:33:43.218,-76.40204823590724,-81.95761382972974,-72.45972132078104
2022/12/30 03:33:43.500,-30.732999888108562,-83.80354154058597,-78.56025100050559
2022/12/30 03:33:43.762,-28.074302084117466,-82.07313541920632,-81.30372613203696
2022/12/30 03:33:44.243,-38.6833008042563,-82.22765617278412,-83.80773365149211
2022/12/30 03:33:44.734,-28.355846011189115,-82.63482114104661,-81.99645090942715
2022/12/30 03:33:44.868,-33.98370416240865,-79.4637922551665,-79.2361180130648
2022/12/30 03:33:44.992,-54.155946152829976,-62.53460808355492,-45.653230991303495
2022/12/30 03:33:45.127,-17.738546224058027,-46.627402197440155,-45.63804266334648
2022/12/30 03:33:45.276,-26.861245687434653,-72.3173508788097,-60.63354599738068
2022/12/30 03:33:45.458,-56.903750363971646,-80.92761163602964,-71.7087889457488
2022/12/30 03:33:45.633,-29.439655804486605,-82.37993895502728,-74.33323830466674
2022/12/30 03:33:45.776,-38.91942975660172,-84,-78.83718098365604
2022/12/30 03:33:46.006,-61.78941684870246,-83.85271268988728,-81.6672951466276
2022/12/30 03:33:46.203,-65.7810604283233,-78.73659530402551,-84
2022/12/30 03:33:46.354,-22.966672620095913,-82.37546995121926,-84
2022/12/30 03:33:46.507,-38.79004582733505,-80.53837761968947,-82.70115240646842
2022/12/30 03:33:46.725,-18.56973216258157,-83.40395260858743,-84
2022/12/30 03:33:47.135,-25.096725067023282,-82.9741923444098,-75.99554010106807
2022/12/30 03:33:47.269,-37.74072224536646,-84,-84
2022/12/30 03:33:47.426,-29.35219892413986,-84,-84
2022/12/30 03:33:47.617,-22.86642341705969,-84,-84
2022/12/30 03:33:47.771,-45.9683409229979,-70.94954848510419,-78.84066684349936
2022/12/30 03:33:48.169,-57.278345238541384,-83.01720171416599,-84
2022/12/30 03:33:48.472,-29.092076815654096,-83.58136795705829,-84
2022/12/30 03:33:48.824,-27.333130985170996,-80.48596212200705,-83.35516937107543
2022/12/30 03:33:49.162,-56.86229266770696,-79.67933112210804,-84
2022/12/30 03:33:49.557,-31.51019444378841,-84,-82.48181346859133
2022/12/30 03:33:49.921,-29.961125554683864,-84,-81.34944267727049
2022/12/30 03:33:50.242,-62.49580763737781,-53.32988486635581,-57.2274575878291
2022/12/30 03:33:50.782,-28.16284092088448,-84,-78.4833905837167
2022/12/30 03:33:51.415,-74.9667802943014,-84,-84
2022/12/30 03:33:52.013,-64.90047428480702,-84,-82.50413244361664
2022/12/30 03:33:52.440,-76.3256494009652,-84,-84
2022/12/30 03:33:52.656,-73.55117431189055,-83.05745306024465,-84
2022/12/30 03:33:52.840,-75.87968695457197,-80.80735360123646,-84
2022/12/30 03:33:53.030,-76.19262868347528,-82.52657215819005,-82.49285492123848
2022/12/30 03:33:53.173,-76.32239723939081,-82.89127650580342,-84
2022/12/30 03:33:53.358,-76.34687987707957,-84,-84
2022/12/30 03:33:53.517,-76.34783897987995,-81.67422852447328,-84
2022/12/30 03:33:53.725,-76.34703392618194,-76.92889780746991,-84
