時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:33:14.523,-84,-84,-84
2022/12/30 03:33:14.701,-84,-84,-84
2022/12/30 03:33:14.876,-76.4295641481517,-81.3867805404145,-81.42908153905677
2022/12/30 03:33:15.128,-76.45334810558634,-82.02309264182945,-84
2022/12/30 03:33:15.568,-76.4203579120582,-80.45114857895058,-82.0825296371671
2022/12/30 03:33:15.789,-76.44795194820045,-78.89913054306373,-80.80476652141172
2022/12/30 03:33:16.240,-76.44429288422106,-81.59453734072267,-73.86415896721954
2022/12/30 03:33:16.478,-76.49462251495348,-84,-81.44509484680381
2022/12/30 03:33:16.755,-76.46773668602779,-83.79513891134464,-84
2022/12/30 03:33:16.991,-76.4547206306993,-83.49012431740285,-82.37905028250026
2022/12/30 03:33:17.277,-76.44409825284187,-81.35816310868441,-84
2022/12/30 03:33:17.428,-76.47670511792239,-83.16059631457848,-84
2022/12/30 03:33:17.610,-76.46127222078202,-81.00829135165526,-60.01349654277451
2022/12/30 03:33:17.761,-76.5095177471858,-72.19175702175623,-67.70051713287786
2022/12/30 03:33:17.925,-76.51156811747737,-82.14339897447263,-73.95199638321483
2022/12/30 03:33:18.132,-76.39923239167742,-80.61723076431072,-77.06931034387748
2022/12/30 03:33:18.420,-76.39080432750096,-84,-84
2022/12/30 03:33:18.888,-76.32637275489238,-84,-84
2022/12/30 03:33:19.325,-76.33669792523101,-82.1679552397467,-79.92082394486032
2022/12/30 03:33:19.511,-76.37543452466814,-83.13331348007341,-83.30687045623424
2022/12/30 03:33:19.833,-76.62692991376477,-84,-80.09766090768409
2022/12/30 03:33:20.054,-76.47731558821337,-82.60670376661702,-84
2022/12/30 03:33:20.260,-76.42090817977254,-83.40283061325748,-84
2022/12/30 03:33:20.385,-76.49281573693861,-84,-84
2022/12/30 03:33:20.560,-76.47020919476903,-82.57317753344851,-79.03962989200284
2022/12/30 03:33:20.898,-76.49789828723809,-83.54743718452113,-84
2022/12/30 03:33:21.049,-76.49697607451154,-84,-84
2022/12/30 03:33:21.318,-76.46596986988872,-84,-80.95441535298224
