時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:29:33.747,-76.44269224499438,-80.20086463472776,-77.75584258318983
2022/12/30 03:29:33.881,-76.34598998942954,-70.85735636890453,-81.39584698287717
2022/12/30 03:29:34.053,-22.081964924856003,-76.81889070776643,-83.46827060306109
2022/12/30 03:29:34.186,-40.28974383976906,-83.4576187132831,-84
2022/12/30 03:29:34.315,-17.46532401020907,-84,-80.77751522900905
2022/12/30 03:29:34.571,-77.30888410444884,-84,-84
2022/12/30 03:29:34.705,-32.873189413163374,-84,-80.03170307022918
2022/12/30 03:29:34.841,-21.275155993807875,-84,-80.61173758106521
2022/12/30 03:29:35.023,-28.209833169167794,-84,-83.23929560814499
2022/12/30 03:29:35.207,-53.97920039468521,-84,-83.32359721252884
2022/12/30 03:29:35.423,-36.30894748549566,-83.56494411675355,-83.5334011148099
2022/12/30 03:29:35.572,-34.11166968915736,-84,-84
2022/12/30 03:29:35.706,-45.60450799444535,-84,-77.9461062825633
2022/12/30 03:29:35.852,-37.16195510255179,-84,-84
2022/12/30 03:29:36.002,-32.44678447880334,-77.33991231234367,-83.4460515527025
2022/12/30 03:29:36.137,-41.307609656814705,-76.70482273698158,-69.23222222646353
2022/12/30 03:29:36.288,-31.258627381620375,-73.47350021177621,-55.61883216082037
2022/12/30 03:29:36.432,-58.19794315114287,-70.50341012365111,-72.46199779856353
2022/12/30 03:29:36.556,-25.86764631132982,-79.15052620165997,-83.4625995909391
2022/12/30 03:29:36.707,-39.43710038105762,-84,-84
2022/12/30 03:29:36.873,-27.135685016446843,-81.95971229647216,-82.16079835747644
2022/12/30 03:29:37.102,-51.40847406235846,-84,-84
2022/12/30 03:29:37.257,-21.859092581731517,-84,-84
2022/12/30 03:29:37.406,-41.135268635082305,-84,-84
2022/12/30 03:29:37.571,-27.196273318683026,-84,-81.92225871267553
2022/12/30 03:29:37.717,-32.95159923539985,-78.3639274557751,-81.77839028002835
2022/12/30 03:29:37.890,-65.65960526133792,-84,-83.07461341263549
2022/12/30 03:29:38.073,-46.75004564821215,-84,-82.45240377061924
2022/12/30 03:29:38.249,-27.595320812578834,-84,-84
2022/12/30 03:29:38.422,-44.62489807142529,-84,-79.83156520510241
2022/12/30 03:29:38.582,-27.970558365679675,-84,-82.22075443152738
2022/12/30 03:29:38.761,-28.348652015657244,-84,-82.16299771405373
2022/12/30 03:29:38.905,-32.51163318992886,-84,-83.4449080918808
2022/12/30 03:29:39.049,-33.94907457095077,-84,-83.60331507631025
2022/12/30 03:29:39.214,-29.409740973635706,-83.70711836385266,-79.49383565335248
2022/12/30 03:29:39.351,-50.028895501015505,-78.81118953241094,-76.58085517529469
2022/12/30 03:29:39.497,-25.742505393429205,-84,-81.47627080759733
2022/12/30 03:29:39.639,-43.22330483016451,-84,-83.01103165252577
2022/12/30 03:29:39.791,-74.99595046178969,-84,-80.81047435171875
2022/12/30 03:29:39.929,-59.66004034919257,-84,-84
2022/12/30 03:29:40.058,-25.29873093457531,-81.62585248623701,-83.50242672910224
2022/12/30 03:29:40.235,-27.21376092966532,-81.39738401338039,-80.98482757165803
2022/12/30 03:29:40.405,-23.968540207780578,-81.17282560931844,-81.29392715512921
2022/12/30 03:29:40.556,-26.441050974561335,-84,-73.11744551756695
2022/12/30 03:29:40.739,-24.648722990409688,-84,-81.79331576097631
2022/12/30 03:29:40.910,-41.13297934319468,-84,-80.41925554596601
2022/12/30 03:29:41.062,-40.950027797787705,-84,-84
2022/12/30 03:29:41.222,-46.43946611916954,-84,-81.99517463640676
2022/12/30 03:29:41.391,-34.49769881871826,-84,-80.84309666700187
2022/12/30 03:29:41.557,-21.613818944078215,-84,-76.11049188542106
2022/12/30 03:29:42.082,-74.65678032678798,-84,-83.78914328277256
2022/12/30 03:29:42.331,-76.38775607062288,-84,-82.7115961163579
