時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 03:29:02.292,-76.27398263370091,-82.43332939295996,-81.98941502175055
2022/12/30 03:29:02.452,-76.39392749667905,-75.67079875806016,-80.84832877920918
2022/12/30 03:29:02.696,-76.38916896884204,-84,-78.779647310319
2022/12/30 03:29:02.843,-76.38154889043365,-84,-84
2022/12/30 03:29:03.138,-76.39824295602659,-84,-84
2022/12/30 03:29:03.442,-76.40830345241216,-84,-84
2022/12/30 03:29:03.953,-76.47455397319465,-84,-84
2022/12/30 03:29:04.313,-76.33429115818905,-84,-79.22203155671842
2022/12/30 03:29:04.538,-76.37560450320515,-84,-84
2022/12/30 03:29:04.676,-76.40567070713979,-83.1372604985498,-84
2022/12/30 03:29:04.858,-76.40260313112802,-84,-83.2626005660195
2022/12/30 03:29:04.987,-76.39728693520003,-84,-83.45798964716886
2022/12/30 03:29:05.142,-76.43233046117265,-84,-84
2022/12/30 03:29:05.303,-72.26821281070828,-79.35055688145749,-83.25879156343768
2022/12/30 03:29:05.438,-72.86480765878008,-79.69704730531836,-76.85558778750108
2022/12/30 03:29:05.608,-76.50370425005084,-84,-84
2022/12/30 03:29:05.735,-76.37749042218583,-84,-82.71781279399136
2022/12/30 03:29:05.897,-76.33168798393294,-84,-84
2022/12/30 03:29:06.070,-76.43726018145841,-84,-78.81592366859158
2022/12/30 03:29:06.221,-76.41230914685615,-84,-83.48084478488903
2022/12/30 03:29:06.387,-76.4131821412929,-84,-84
2022/12/30 03:29:06.521,-76.42310690587107,-84,-81.99926062085949
2022/12/30 03:29:06.680,-76.3792518129872,-84,-82.8375827926021
2022/12/30 03:29:06.845,-76.44241546143094,-84,-82.68120766536343
2022/12/30 03:29:06.983,-76.43032961017728,-84,-84
2022/12/30 03:29:07.133,-76.41427518057392,-84,-82.9717667247249
2022/12/30 03:29:07.308,-76.38139173248354,-84,-77.83288865284757
2022/12/30 03:29:07.442,-76.44576432822784,-84,-80.26031136011893
2022/12/30 03:29:07.591,-76.36226930023037,-84,-81.9990246846566
2022/12/30 03:29:07.819,-76.40164472551844,-84,-82.43629850806948
2022/12/30 03:29:07.967,-76.42632080588548,-77.43406659738385,-84
2022/12/30 03:29:08.121,-76.4236887181764,-82.5360812262868,-80.74706760030247
2022/12/30 03:29:08.272,-76.41184682599734,-84,-84
