時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:31:17.974,-76.50930007978398,-81.04645555318945,-56.478443463421456
2022/12/30 05:31:18.111,-76.28024054658002,-69.13300010437199,-84
2022/12/30 05:31:18.284,-76.34436660360566,-74.51880886816564,-72.05739184316575
2022/12/30 05:31:18.412,-76.29396622620314,-59.59422134474285,-73.0411950828562
2022/12/30 05:31:18.538,-76.37812348057567,-69.83411509293256,-60.80975365122911
2022/12/30 05:31:18.672,-76.66432855352645,-67.27992075371013,-60.855695304993425
2022/12/30 05:31:18.810,-76.35709108163887,-76.25391888695289,-70.35503101218562
2022/12/30 05:31:18.960,-76.42050714732056,-79.44899692560178,-82.20263665965749
2022/12/30 05:31:19.084,-76.39241427097679,-81.90883294430262,-78.95575717125637
2022/12/30 05:31:19.209,-76.21859163763723,-81.32868082232036,-83.36488864050736
2022/12/30 05:31:19.345,-76.37215631513293,-82.42814346414397,-84
2022/12/30 05:31:19.478,-76.27221072343507,-80.88198966473124,-84
2022/12/30 05:31:19.694,-76.31342558874654,-83.54272299153969,-84
2022/12/30 05:31:19.935,-76.33191001188897,-76.73447786566211,-84
2022/12/30 05:31:20.064,-76.43303674321052,-80.62384372573234,-84
2022/12/30 05:31:20.194,-76.25665029794335,-73.60722153726937,-84
2022/12/30 05:31:20.335,-76.44476120047958,-73.64760142770473,-84
2022/12/30 05:31:20.481,-76.48588848673691,-72.86784648881738,-70.06380219428023
2022/12/30 05:31:20.618,-76.31603913614111,-76.97230804543794,-75.76348010824206
2022/12/30 05:31:20.751,-76.77506770844278,-82.16703238025814,-83.75185435673374
2022/12/30 05:31:20.893,-76.14643346374051,-80.00595714981587,-82.13100533389482
2022/12/30 05:31:21.040,-76.05776248642727,-83.99524459519318,-84
2022/12/30 05:31:21.208,-76.45912729732123,-83.01072745863166,-84
2022/12/30 05:31:21.368,-76.47047422310845,-81.37755718535257,-84
2022/12/30 05:31:21.499,-76.51330027420401,-78.01931171664214,-78.76201183810224
2022/12/30 05:31:21.629,-76.40288826850544,-78.26852139891103,-72.14861885669036
2022/12/30 05:31:21.776,-76.4042705504633,-80.20447789822214,-62.579166934125524
2022/12/30 05:31:21.913,-76.34699191847741,-84,-72.89578394487783
2022/12/30 05:31:22.047,-76.57419753359936,-82.94766682026508,-77.7233897260098
2022/12/30 05:31:22.198,-76.1869674322943,-81.84484494078944,-84
2022/12/30 05:31:22.374,-76.24590718078737,-78.13672228887027,-84
2022/12/30 05:31:22.658,-76.21380746345082,-78.47568276485619,-84
2022/12/30 05:31:22.816,-76.7233694435341,-79.9249577298501,-84
2022/12/30 05:31:23.129,-76.42968996213868,-81.72436204121493,-84
2022/12/30 05:31:23.268,-76.21302301476904,-80.06051373984015,-57.24515612896377
2022/12/30 05:31:23.507,-76.48688131431965,-77.92201561481438,-69.27413007489561
2022/12/30 05:31:23.678,-76.2166634615607,-77.27120021342743,-79.12256839988997
2022/12/30 05:31:23.812,-76.33312661577604,-78.45488695467665,-82.48534741003274
2022/12/30 05:31:23.946,-76.44167651390163,-80.00783125520005,-84
2022/12/30 05:31:24.077,-76.34447158184213,-79.89352354014127,-84
2022/12/30 05:31:24.244,-76.4035205101263,-84,-84
2022/12/30 05:31:24.424,-76.2045939798603,-81.45869223359485,-84
2022/12/30 05:31:24.583,-76.41576537134067,-77.09298164473624,-78.22542988304843
2022/12/30 05:31:24.928,-76.3842684658548,-81.75395871158511,-84
2022/12/30 05:31:25.127,-76.29155676702243,-83.14255766177249,-84
2022/12/30 05:31:25.258,-76.38723174701349,-80.03179185686137,-84
2022/12/30 05:31:25.411,-76.39760035578155,-73.6005595006257,-84
2022/12/30 05:31:25.549,-76.60354633124575,-79.1853466396503,-75.55178707530277
2022/12/30 05:31:25.684,-76.44995073652592,-77.88183383433646,-80.2838935423806
2022/12/30 05:31:25.814,-76.42276270348701,-81.91061711248388,-76.15937360077606
2022/12/30 05:31:25.992,-76.41010988453257,-80.35478598247101,-78.1990637845154
2022/12/30 05:31:26.147,-76.58842212532927,-80.77223298581545,-84
