時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:29:26.986,-73.52665377780204,-82.34998298444465,-83.0743196398092
2022/12/30 05:29:27.122,-76.42342526619015,-74.8229415839981,-65.6231177991642
2022/12/30 05:29:27.250,-76.48408973195106,-75.13199149008895,-69.77641909589128
2022/12/30 05:29:27.377,-76.19120412209338,-81.94981565083935,-65.33610372085002
2022/12/30 05:29:27.518,-76.18445420187601,-69.23707449207872,-75.76736437377812
2022/12/30 05:29:27.648,-76.75813930188451,-78.04034930715021,-79.78481297561255
2022/12/30 05:29:27.789,-76.35751586602196,-83.6511222215675,-82.96667627405542
2022/12/30 05:29:27.929,-76.42512320062903,-84,-79.92149741693662
2022/12/30 05:29:28.117,-76.59743249598824,-83.40573564487985,-84
2022/12/30 05:29:28.286,-76.29365586347197,-83.34499879546223,-84
2022/12/30 05:29:28.441,-76.27010462967243,-81.70140473984344,-84
2022/12/30 05:29:28.607,-76.26255127195977,-81.43515574790462,-84
2022/12/30 05:29:28.885,-76.52785642715278,-82.25975970373739,-78.6151948201673
2022/12/30 05:29:29.070,-76.36339980865203,-80.43578137781942,-78.08202066433311
2022/12/30 05:29:29.205,-76.39457726565765,-76.84533782973466,-67.52282936913888
2022/12/30 05:29:29.335,-76.03676614444696,-81.73698372095498,-68.52801240212945
2022/12/30 05:29:29.480,-76.38305901465503,-83.8994329040686,-80.46140775928187
2022/12/30 05:29:29.607,-76.30552187998839,-79.44099704231795,-78.00618032480762
2022/12/30 05:29:29.736,-76.28789395465284,-78.7940340551172,-74.86298965191088
2022/12/30 05:29:29.868,-76.33415842881972,-79.06482467686749,-79.05720087581054
2022/12/30 05:29:30.001,-76.23434366755387,-78.05446393185755,-84
2022/12/30 05:29:30.135,-76.37524858440892,-78.68753312766584,-84
2022/12/30 05:29:30.276,-76.37707355148143,-79.44588996412287,-84
2022/12/30 05:29:30.406,-76.33887951029733,-77.85385283014689,-80.36117348747764
2022/12/30 05:29:30.531,-76.74064875764503,-77.85385283014689,-77.04807855750418
2022/12/30 05:29:30.666,-76.52617189608102,-80.07919061322418,-81.84821837139367
2022/12/30 05:29:30.816,-76.23329434348734,-80.17861328498988,-80.30817229038645
2022/12/30 05:29:30.973,-76.26253357174778,-80.98607706496631,-84
2022/12/30 05:29:31.283,-76.82277597197178,-84,-82.40694176164196
2022/12/30 05:29:31.552,-76.18054469452106,-78.84319183099082,-74.57219913670036
2022/12/30 05:29:31.689,-76.28310624745683,-81.19608028933808,-81.23675555523556
2022/12/30 05:29:31.846,-76.83041123514317,-82.19842807394733,-81.69715190784073
2022/12/30 05:29:32.095,-76.48583443191788,-75.27161571976981,-54.43048866335512
2022/12/30 05:29:32.237,-76.2394326316439,-74.16731425529701,-73.40898881268116
2022/12/30 05:29:32.407,-76.14592300861511,-83.39966847954966,-80.33261855265651
2022/12/30 05:29:32.553,-76.25031148403258,-82.0258369986599,-78.15749451709613
2022/12/30 05:29:32.681,-76.26470819400257,-82.37976839138754,-77.14944245711517
2022/12/30 05:29:32.813,-76.51471590827789,-80.90387845796059,-76.23743440238086
2022/12/30 05:29:32.939,-76.62295596663016,-81.52656313191082,-77.18625064524443
2022/12/30 05:29:33.071,-76.30538729680482,-84,-84
2022/12/30 05:29:33.205,-76.33340961655952,-82.7118953383389,-83.01951673094032
2022/12/30 05:29:33.339,-76.47597685701115,-83.45631871711521,-82.1554652850993
2022/12/30 05:29:33.481,-76.15361384270842,-83.98211362140293,-84
2022/12/30 05:29:33.614,-76.4383877455215,-80.65881397803443,-84
2022/12/30 05:29:33.749,-76.15339004863593,-83.94775321143356,-78.62992313764606
2022/12/30 05:29:33.904,-76.31635736642322,-81.176996084242,-80.60479911562935
2022/12/30 05:29:34.045,-76.20643320381649,-73.3491523356495,-76.00978207081914
2022/12/30 05:29:34.215,-76.35917802107564,-64.91321930473757,-75.02123859830468
2022/12/30 05:29:34.350,-76.23580901565998,-81.85950949773796,-72.2122175635634
2022/12/30 05:29:34.506,-66.56539509493092,-76.92119851668568,-80.29142165047142
2022/12/30 05:29:34.645,-76.42591645673662,-84,-84
2022/12/30 05:29:34.782,-76.42215910649551,-84,-84
