時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:27:49.844,-73.21010833500073,-76.01913393902707,-84
2022/12/30 05:27:49.988,-73.37663058792914,-80.45334364415837,-72.82140660330711
2022/12/30 05:27:50.121,-73.369226840024,-80.57544846531042,-73.14660153026303
2022/12/30 05:27:50.250,-73.38972319395894,-77.61128171274326,-72.26554590025512
2022/12/30 05:27:50.418,-73.35942669569175,-82.97936503815816,-77.73371496805736
2022/12/30 05:27:50.554,-73.44205013512392,-81.87718630790454,-80.00101539944835
2022/12/30 05:27:50.688,-73.40101753157028,-84,-79.24765947666896
2022/12/30 05:27:50.830,-73.19746700579277,-81.19075605857756,-77.939293540343
2022/12/30 05:27:50.975,-73.43206797779622,-79.56730538356837,-81.15614799167722
2022/12/30 05:27:51.210,-73.20784748918098,-80.93822258273102,-79.76159911588755
2022/12/30 05:27:51.540,-73.4435682956135,-82.95645534825721,-83.16769764809737
2022/12/30 05:27:51.909,-73.28764246027725,-76.29400818043324,-75.61698264415654
2022/12/30 05:27:52.062,-73.36358243464201,-78.54917920578367,-78.72260647878608
2022/12/30 05:27:52.190,-73.2863652653655,-81.20379663828712,-77.85760322339027
2022/12/30 05:27:52.329,-73.47543527385875,-80.24836825826114,-81.66743313174506
2022/12/30 05:27:52.643,-73.45654715495431,-78.39035742616365,-78.47205755141216
2022/12/30 05:27:52.773,-73.18006813956148,-77.1207215414378,-82.71796801008901
2022/12/30 05:27:52.910,-73.45039600425375,-81.35280435920006,-83.23863160998647
2022/12/30 05:27:53.039,-73.20571235000955,-78.96517116617422,-83.26044120337437
2022/12/30 05:27:53.175,-73.43215162207176,-80.56045539130207,-77.12488516793299
2022/12/30 05:27:53.302,-73.5526735391535,-79.50655515996817,-81.31172892869502
2022/12/30 05:27:53.442,-73.55284742778241,-80.58416740986868,-84
2022/12/30 05:27:53.567,-73.36528279404591,-82.34646783535155,-79.35611098667431
2022/12/30 05:27:53.692,-73.35000213010004,-82.61699372436894,-83.96143571971776
2022/12/30 05:27:53.826,-73.28123853736768,-78.6232459304323,-82.66869048700747
2022/12/30 05:27:53.976,-73.32183448503663,-80.01122916441423,-84
2022/12/30 05:27:54.107,-73.35792022904316,-76.54680493709405,-78.70411794261335
2022/12/30 05:27:54.235,-73.45903149693018,-81.0024632401475,-84
2022/12/30 05:27:54.374,-73.31458724442356,-83.49126155806196,-83.70376419891998
2022/12/30 05:27:54.512,-73.55150990483142,-80.72380715268052,-81.59516722562074
2022/12/30 05:27:54.677,-73.5550517396809,-80.33181634430755,-84
2022/12/30 05:27:54.827,-73.5983227034748,-82.55870451237362,-79.27768425837652
2022/12/30 05:27:54.953,-73.28479730579124,-79.02629731603108,-75.8039609921606
2022/12/30 05:27:55.086,-73.28479730579124,-82.31782356771095,-76.91664730293921
2022/12/30 05:27:55.272,-73.43920990962826,-84,-78.81300085563592
2022/12/30 05:27:55.407,-73.19380731135679,-80.94335076879997,-70.69392083066163
2022/12/30 05:27:55.533,-73.4016506883749,-77.57615450190156,-71.60324452763929
2022/12/30 05:27:55.658,-73.5431353443493,-81.39808253143586,-77.85339060198406
2022/12/30 05:27:55.791,-73.33933492223215,-83.90736273161097,-84
2022/12/30 05:27:55.929,-73.36018222335535,-83.7720674904405,-82.47289400259956
2022/12/30 05:27:56.122,-73.22889790229495,-81.55642256475684,-80.54956885841304
2022/12/30 05:27:56.276,-73.24555388559035,-82.74839116813374,-78.73782981932122
2022/12/30 05:27:56.461,-73.45316616330997,-83.52089842133886,-82.16110396479435
2022/12/30 05:27:56.606,-73.29732753956631,-80.30189624277696,-83.67688909001413
2022/12/30 05:27:56.745,-73.42611060622036,-75.20952219682879,-84
2022/12/30 05:27:57.012,-73.46965192378237,-78.87485315695771,-75.40159784357829
2022/12/30 05:27:57.251,-73.67670402740644,-82.33927049699173,-84
