時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:25:08.512,-39.738732519338306,-59.935487017472255,-81.30943360069388
2022/12/30 05:25:08.650,-21.4993543931951,-84,-75.49909694420916
2022/12/30 05:25:08.776,-43.21891296389539,-84,-77.16799332452429
2022/12/30 05:25:08.910,-71.1266971706439,-84,-77.63844887491055
2022/12/30 05:25:09.046,-71.17799170467529,-83.21311036716511,-82.66556787611158
2022/12/30 05:25:09.177,-71.08098162623486,-82.51877250784182,-84
2022/12/30 05:25:09.313,-39.053406630593564,-76.28328788444995,-74.3803873623529
2022/12/30 05:25:09.443,-21.93283253386138,-80.30762866762045,-82.08901622662145
2022/12/30 05:25:09.569,-21.371675266582248,-82.09570455273365,-81.29728287886665
2022/12/30 05:25:09.701,-19.750817065220367,-83.64849002659167,-84
2022/12/30 05:25:09.828,-26.40618872508934,-82.78785493296743,-84
2022/12/30 05:25:09.964,-55.30285408074831,-81.4017543985683,-84
2022/12/30 05:25:10.120,-71.1579568713484,-81.26647818491121,-84
2022/12/30 05:25:10.485,-71.44896280582532,-80.63039101509654,-82.5101231976873
2022/12/30 05:25:10.611,-71.22067803757078,-81.33010908969067,-77.54342820414266
2022/12/30 05:25:10.754,-70.91677438892243,-78.75982538278647,-81.84712612219943
2022/12/30 05:25:10.903,-71.15037607198926,-77.84783029457381,-84
2022/12/30 05:25:11.033,-13.10928792127094,-84,-84
2022/12/30 05:25:11.214,-19.227890545471556,-84,-84
2022/12/30 05:25:11.345,-15.890379535541841,-83.08553937720659,-84
2022/12/30 05:25:11.495,-18.285780682964713,-84,-84
2022/12/30 05:25:11.620,-30.876218897251636,-76.81715411127169,-84
2022/12/30 05:25:11.746,-32.6256288573345,-80.72541971155385,-84
2022/12/30 05:25:11.883,-46.706028702486755,-84,-84
2022/12/30 05:25:12.016,-25.03226257986227,-84,-84
2022/12/30 05:25:12.143,-20.09150799424338,-82.27226121292057,-84
2022/12/30 05:25:12.303,-18.251633793818062,-81.77895413722482,-81.32226785891675
2022/12/30 05:25:12.432,-20.76907977195955,-77.19478937794362,-79.80069680178185
2022/12/30 05:25:12.570,-22.45806377905469,-82.29310943050106,-76.33050216432201
2022/12/30 05:25:12.712,-64.70654758835803,-77.02912169635078,-69.81496485463741
2022/12/30 05:25:12.843,-58.09621436804229,-79.2555631524549,-69.9065583929867
2022/12/30 05:25:12.969,-71.26939739533694,-83.57042473669331,-81.36507061743293
2022/12/30 05:25:13.100,-71.05819760849856,-81.99844689262184,-74.79388044658202
2022/12/30 05:25:13.234,-71.12291507051687,-82.57582277109432,-84
2022/12/30 05:25:13.370,-15.473929144574806,-82.31674391347966,-84
2022/12/30 05:25:13.499,-19.043917051271002,-81.5878199699882,-84
2022/12/30 05:25:13.644,-18.606361071384022,-82.73132704796852,-84
2022/12/30 05:25:13.784,-17.457102868202202,-78.81864496018916,-76.75791574353254
2022/12/30 05:25:13.925,-30.38461460954066,-72.56451475993713,-81.06634115461732
2022/12/30 05:25:14.066,-14.93573574008172,-82.66786931072544,-84
2022/12/30 05:25:14.213,-16.584859778977343,-84,-84
2022/12/30 05:25:14.337,-17.30887463599052,-80.96896255022365,-83.00261502322783
2022/12/30 05:25:14.481,-11.778974876234148,-81.53222004920013,-81.5043563100296
2022/12/30 05:25:14.609,-23.683685133458532,-81.86828837604033,-84
2022/12/30 05:25:14.737,-27.23542565321637,-80.40682212368979,-84
2022/12/30 05:25:14.864,-28.459635196089927,-83.41600214130298,-84
2022/12/30 05:25:15.013,-38.87596608461927,-83.22031410231017,-79.51242658534346
2022/12/30 05:25:15.143,-54.25164894022543,-80.60256699790811,-84
2022/12/30 05:25:15.365,-17.521084112514497,-81.73495850631035,-84
2022/12/30 05:25:15.495,-47.16074712985615,-80.34208581082204,-84
2022/12/30 05:25:15.634,-71.00775712491001,-79.57585989695849,-80.95317235365394
2022/12/30 05:25:15.770,-71.15530556153517,-70.25196154259713,-82.6659204798017
2022/12/30 05:25:15.896,-71.16478533043033,-67.35332441350046,-84
2022/12/30 05:25:16.042,-21.831185401575752,-72.78387487591516,-81.70878669753789
2022/12/30 05:25:16.212,-19.80457409418783,-77.7582796059965,-84
2022/12/30 05:25:16.382,-13.821053340957459,-77.28784868737434,-84
2022/12/30 05:25:16.512,-16.864006477235264,-80.03413819903324,-84
2022/12/30 05:25:16.676,-24.899907490410108,-80.94250133110087,-84
2022/12/30 05:25:16.801,-30.318341032506662,-79.7318524519966,-84
