時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:13:46.043,-73.63126710824284,-73.31543406980077,-69.67144289048795
2022/12/30 05:13:46.289,-73.48648492253533,-77.8247725244,-76.585397297324
2022/12/30 05:13:46.539,-73.31945367272775,-77.78879507264553,-73.9461901377473
2022/12/30 05:13:46.826,-73.3513131771628,-80.28908367005363,-69.48073163345542
2022/12/30 05:13:47.241,-60.6688449347528,-80.69568780166159,-78.06768304050362
2022/12/30 05:13:47.990,-73.44012425483696,-75.89599707053563,-76.48056774744788
2022/12/30 05:13:48.204,-73.71045432168471,-82.08982140463311,-84
2022/12/30 05:13:48.340,-73.4846742137203,-83.87095986414239,-83.67531049022284
2022/12/30 05:13:48.487,-73.469398604861,-84,-78.45253159164135
2022/12/30 05:13:48.615,-73.47550948136507,-68.90637911426987,-49.58998794708053
2022/12/30 05:13:48.748,-73.3043844145268,-79.33390487061766,-64.60525145026118
2022/12/30 05:13:48.877,-73.270570853971,-83.45921503540976,-68.42077553104922
2022/12/30 05:13:49.023,-73.57088164371626,-80.89276470397607,-80.69310731923377
2022/12/30 05:13:49.175,-73.60149630639911,-81.87140472607734,-80.5999913345063
2022/12/30 05:13:49.338,-73.3628695679707,-83.11245363907,-82.54401963338587
2022/12/30 05:13:49.468,-73.3703378157987,-83.38229821223145,-84
2022/12/30 05:13:49.668,-73.3338108891763,-82.13932788206168,-84
2022/12/30 05:13:49.833,-73.4289948332677,-84,-82.5888153631333
2022/12/30 05:13:49.984,-73.35988963633737,-75.46165554122484,-81.13963474978037
2022/12/30 05:13:50.143,-73.4697176451847,-83.47001603488332,-81.42923219921394
2022/12/30 05:13:50.957,-73.38468149968026,-80.69213419935345,-82.88345756326544
2022/12/30 05:13:51.093,-73.50927193649406,-84,-83.79300885037951
2022/12/30 05:13:51.304,-73.36596644081445,-81.14886149876821,-84
2022/12/30 05:13:51.598,-73.60894061792567,-66.020151926432,-43.720865374682916
2022/12/30 05:13:51.789,-73.52084137418777,-78.92583063300302,-68.31649389122131
2022/12/30 05:13:51.952,-73.44619673695361,-78.57671502530452,-73.8503315124395
2022/12/30 05:13:52.090,-73.50499828928722,-81.646114612596,-74.24465908618713
2022/12/30 05:13:52.232,-59.5593591229928,-84,-77.63621148471654
2022/12/30 05:13:52.360,-69.8036565587297,-80.98219576339082,-81.71202511383221
2022/12/30 05:13:52.508,-61.79688277924334,-82.76143275919335,-83.69425861990902
2022/12/30 05:13:52.691,-64.75466969612265,-78.87199693673374,-79.86725926711146
2022/12/30 05:13:52.826,-74.10672873494475,-76.63759534853733,-82.33635498055676
2022/12/30 05:13:52.985,-73.79823074559654,-82.25432088303765,-78.24417446992045
2022/12/30 05:13:53.126,-67.05618978465685,-79.49501853189106,-80.20037662365206
2022/12/30 05:13:53.273,-74.20991174496712,-79.67061856718328,-77.99705194526125
2022/12/30 05:13:53.405,-73.53268082549815,-75.36944071351182,-69.5764234086413
2022/12/30 05:13:53.535,-73.53836082564996,-68.98710035506457,-70.54367556981434
2022/12/30 05:13:53.673,-73.5249895151697,-79.32732968546988,-74.16123119183095
2022/12/30 05:13:53.810,-52.7835314765956,-73.86805677461291,-84
2022/12/30 05:13:53.943,-45.90742005290615,-82.29338628035421,-81.91578706000557
2022/12/30 05:13:54.076,-55.21518519969666,-82.17202721000183,-82.46197220923901
2022/12/30 05:13:54.209,-47.659153552806146,-74.83940146088665,-63.2483150120622
2022/12/30 05:13:54.347,-66.05563538205372,-81.7029397292675,-66.18669342796406
2022/12/30 05:13:54.604,-74.37939922942752,-53.818509529446494,-84
2022/12/30 05:13:54.867,-68.39543553831848,-69.5174514232502,-69.91937024291249
2022/12/30 05:13:55.009,-59.12832952840169,-84,-75.06346823166305
2022/12/30 05:13:55.143,-65.34664178160443,-84,-69.06481976716256
2022/12/30 05:13:55.303,-71.85977679332056,-83.25247394008545,-73.69939817714426
2022/12/30 05:13:55.437,-74.30279031835036,-82.72849711823854,-76.5596707032593
2022/12/30 05:13:55.567,-55.20189045997756,-82.91353679945522,-80.70647127422595
2022/12/30 05:13:55.703,-73.69425713350444,-84,-78.92955764735763
2022/12/30 05:13:55.836,-61.48459329078961,-82.87625331663193,-76.73117439581438
2022/12/30 05:13:56.057,-61.01193953199886,-81.59753596047833,-69.66414027060051
