時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:22:19.830,-76.40438945260364,-84,-84
2022/12/30 05:22:19.973,-46.72103276804644,-72.24119751844876,-70.25693054814485
2022/12/30 05:22:20.102,-41.21985518006167,-81.73947193246009,-73.54769525562514
2022/12/30 05:22:20.236,-41.24566445618803,-82.28788157355751,-77.53037882096667
2022/12/30 05:22:20.368,-56.214991239772296,-79.46612441177032,-84
2022/12/30 05:22:20.505,-75.5049257872451,-84,-84
2022/12/30 05:22:20.640,-76.34699677283274,-80.0171971207003,-84
2022/12/30 05:22:20.797,-45.36329115534049,-81.38666160935591,-84
2022/12/30 05:22:20.959,-35.18224514948344,-76.11703222687682,-84
2022/12/30 05:22:21.089,-34.31418385267199,-78.9859172184455,-84
2022/12/30 05:22:21.229,-36.06639858885799,-81.62537055670978,-84
2022/12/30 05:22:21.541,-46.879288155259324,-81.59242154070783,-84
2022/12/30 05:22:21.963,-73.46648733289474,-80.77650947429746,-84
2022/12/30 05:22:22.110,-73.30131281260927,-83.2235742499966,-84
2022/12/30 05:22:22.241,-73.3412377095482,-82.6495431131307,-84
2022/12/30 05:22:22.441,-48.94617627195671,-82.78565498272408,-84
2022/12/30 05:22:22.591,-36.58485543730835,-78.37626413853725,-80.81786295069637
2022/12/30 05:22:22.787,-27.18373759593487,-81.83156755152916,-84
2022/12/30 05:22:22.938,-37.34461931711382,-78.7987053953422,-84
2022/12/30 05:22:23.136,-32.231460266634926,-81.77386709848193,-84
2022/12/30 05:22:23.435,-71.28590977378555,-75.95741964425815,-84
2022/12/30 05:22:23.580,-45.68474135904202,-78.57255100540483,-84
2022/12/30 05:22:23.705,-71.1864003051734,-77.78294165387705,-84
2022/12/30 05:22:23.857,-62.50000333862477,-79.22173647054932,-81.86812185481605
2022/12/30 05:22:23.992,-38.72021020850796,-79.79598420355568,-83.09288235974464
2022/12/30 05:22:24.123,-29.01265235497366,-80.1679906340003,-84
2022/12/30 05:22:24.307,-33.57030549683988,-84,-84
2022/12/30 05:22:24.470,-69.56808501415557,-84,-84
2022/12/30 05:22:24.706,-69.48201183928532,-72.78592898782098,-84
2022/12/30 05:22:24.907,-69.5846787025282,-79.47992935426208,-84
2022/12/30 05:22:25.059,-27.97287974382098,-80.80358438806378,-84
2022/12/30 05:22:25.271,-40.454749427661284,-77.71372062123982,-82.13746727731989
2022/12/30 05:22:25.495,-26.89633090022728,-75.50789105184002,-66.39374902111348
2022/12/30 05:22:25.625,-15.709331757909432,-76.50094561567126,-77.22535478345272
2022/12/30 05:22:25.773,-18.64471040401581,-79.51723969065826,-84
2022/12/30 05:22:25.909,-24.293622448167078,-77.80949125239131,-84
2022/12/30 05:22:26.041,-24.689204432465473,-78.26751369149983,-84
2022/12/30 05:22:26.203,-42.81010935857418,-74.46879717898324,-84
2022/12/30 05:22:26.442,-37.05421311974844,-78.59507558373176,-83.54310338621835
2022/12/30 05:22:26.579,-67.68556820249448,-77.19821691331144,-84
2022/12/30 05:22:26.713,-45.635311148088455,-75.66013060836664,-84
2022/12/30 05:22:26.840,-32.878777929771026,-75.81126436801917,-84
2022/12/30 05:22:26.972,-27.869335573077727,-79.76737145727712,-84
2022/12/30 05:22:27.104,-68.00958782529362,-79.13093701943575,-84
2022/12/30 05:22:27.413,-68.02643017066798,-75.25288206617292,-84
2022/12/30 05:22:27.874,-21.09532719246971,-77.85887942135685,-84
2022/12/30 05:22:28.093,-36.24798068613404,-76.22762917324016,-64.60464593671304
2022/12/30 05:22:28.242,-37.55255708033114,-76.25136896670006,-70.81739616578788
2022/12/30 05:22:28.369,-25.010629372489802,-81.75441379510033,-73.98138988097661
2022/12/30 05:22:28.507,-44.262281203840594,-72.31078337039979,-52.83779825802594
2022/12/30 05:22:28.641,-58.153764778794816,-80.2861672392585,-49.099089323642175
2022/12/30 05:22:28.844,-31.21580589665261,-83.8600869330047,-66.56094317188462
2022/12/30 05:22:28.971,-31.26950726955906,-81.04356004287696,-66.75216128244799
2022/12/30 05:22:29.096,-38.82123742408126,-73.05222248752449,-72.13604530116012
2022/12/30 05:22:29.244,-68.3194996310665,-78.64742106940975,-79.96291871557715
2022/12/30 05:22:29.529,-43.40609563003084,-78.6795813529273,-80.61310154586278
2022/12/30 05:22:29.707,-27.302556074316424,-79.16004492803215,-68.76397017236985
2022/12/30 05:22:29.856,-30.265920556922836,-75.54884826723666,-56.52220137891121
