時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio),マイク配列 (Realtek High Definition Audio(SST))
2022/12/30 05:36:40.721,-84,-84,-84
2022/12/30 05:36:40.958,-76.43466259196548,-81.9040195412439,-63.609622191004675
2022/12/30 05:36:41.107,-76.67308201919977,-82.43417234824675,-74.27976634715247
2022/12/30 05:36:41.348,-76.46745579713033,-75.03829581115696,-65.33183919015636
2022/12/30 05:36:41.547,-76.44124399588856,-78.51364156464939,-70.51057922668342
2022/12/30 05:36:41.694,-76.3851922625146,-82.82035170297283,-75.36156370066836
2022/12/30 05:36:41.849,-76.54614703370177,-84,-79.22459673063165
2022/12/30 05:36:41.996,-76.3565855928604,-84,-83.10636467059018
2022/12/30 05:36:42.223,-76.33212159280924,-81.65754264588797,-83.64907048348265
2022/12/30 05:36:42.582,-76.12621349282178,-80.79615538810592,-84
2022/12/30 05:36:42.832,-76.482145020923,-83.20785697137464,-84
2022/12/30 05:36:42.979,-76.41659191429989,-81.87962406838956,-83.83096266148414
2022/12/30 05:36:43.227,-76.62206152108452,-76.0832647292814,-72.68152045463063
2022/12/30 05:36:43.361,-34.64457615689727,-82.81151729996418,-78.87021138359995
2022/12/30 05:36:43.497,-34.77719287362822,-78.2541433269674,-65.47574868536921
2022/12/30 05:36:43.627,-70.66108044480617,-84,-72.67838058251425
2022/12/30 05:36:43.757,-76.40683612211818,-82.03076605681412,-71.75802551371453
2022/12/30 05:36:43.891,-39.72252026004308,-80.06048776749607,-79.10754172215144
2022/12/30 05:36:44.021,-76.14267439480236,-81.24886351820822,-79.29231578733283
2022/12/30 05:36:44.156,-76.32212352652351,-82.40055321483396,-82.26386795586107
2022/12/30 05:36:44.292,-76.24357134614209,-80.21829215396933,-84
2022/12/30 05:36:44.424,-76.59379492553424,-79.17493659644582,-84
2022/12/30 05:36:44.563,-76.36149053219414,-81.14382848191053,-84
2022/12/30 05:36:44.691,-76.5797788804679,-81.40384712678787,-84
2022/12/30 05:36:44.845,-76.46891187736759,-84,-84
2022/12/30 05:36:45.031,-76.29116853717379,-81.75277559044481,-81.7330313557388
2022/12/30 05:36:45.213,-76.15000772663409,-80.13949832997744,-82.64335570947203
2022/12/30 05:36:45.362,-76.52424500902373,-76.96275510359871,-84
2022/12/30 05:36:45.499,-76.23193635657826,-82.29377519814717,-77.72255111026558
2022/12/30 05:36:45.637,-38.01657425949012,-83.34948601543545,-79.19117941479782
2022/12/30 05:36:45.771,-62.50706902635676,-82.2448667521136,-75.37976313641346
2022/12/30 05:36:45.914,-64.09967585684078,-73.79808945585884,-37.92028041931343
2022/12/30 05:36:46.072,-76.3738753048502,-73.93927258222762,-57.88930445014522
2022/12/30 05:36:46.445,-26.002532271304474,-82.07956497634208,-72.41795477876379
2022/12/30 05:36:46.638,-36.35930934394767,-81.23383502759378,-78.78002085854958
2022/12/30 05:36:46.794,-70.83138622582781,-79.94941184729223,-82.54252101810452
2022/12/30 05:36:46.927,-37.45061658348137,-84,-84
2022/12/30 05:36:47.064,-76.07725667224936,-83.25685221960462,-84
2022/12/30 05:36:47.216,-75.63836123497117,-81.98680925256144,-84
2022/12/30 05:36:47.360,-76.37930759169457,-81.18036161189976,-84
2022/12/30 05:36:47.547,-76.37295316389007,-84,-84
2022/12/30 05:36:47.679,-76.34204061244606,-79.8333946594108,-82.01990435466526
2022/12/30 05:36:47.811,-76.52364719351436,-76.77717546558382,-78.46241621586769
2022/12/30 05:36:47.945,-76.45601013161382,-78.16947530865369,-82.43248454246029
2022/12/30 05:36:48.099,-76.57130233507408,-69.31552961147264,-84
2022/12/30 05:36:48.248,-76.4709607510137,-80.84217697228888,-76.69474780622458
2022/12/30 05:36:48.388,-15.13995996893157,-83.67906216994785,-80.62433298013472
2022/12/30 05:36:48.530,-27.64591162944257,-79.7377432012494,-82.72224342229788
2022/12/30 05:36:48.658,-45.41683606101693,-80.01509813053693,-66.07374589669256
2022/12/30 05:36:48.790,-67.34904339822877,-80.24565646253689,-72.09881161317404
2022/12/30 05:36:48.923,-75.91498605386907,-70.19806530653821,-56.61879519752675
2022/12/30 05:36:49.057,-76.3165466618869,-79.77423970410888,-54.54540215513492
2022/12/30 05:36:49.216,-76.28797633435921,-77.18381599261319,-68.9678739635021
2022/12/30 05:36:49.348,-76.20805183180768,-81.65987316348952,-51.166334551317654
2022/12/30 05:36:49.544,-76.61345507227442,-83.95605629151271,-69.73592805132986
2022/12/30 05:36:49.712,-76.24822217197078,-79.72112076010498,-69.44666713066057
2022/12/30 05:36:49.858,-76.38749340678616,-83.3658064367186,-76.99960001791224
2022/12/30 05:36:50.003,-76.3298148012984,-82.26486173636907,-73.9491755644122
2022/12/30 05:36:50.163,-76.27286232454976,-80.09677677152597,-77.41118132933917
