時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 04:30:40.501,-84
2023/02/12 04:30:40.653,-63.53170949811989
2023/02/12 04:30:40.793,-64.52638722840355
2023/02/12 04:30:40.921,-60.55105931985305
2023/02/12 04:30:41.061,-62.78110955020385
2023/02/12 04:30:41.200,-54.36562470751015
2023/02/12 04:30:41.340,-70.81342728110843
2023/02/12 04:30:41.482,-71.0003253185538
2023/02/12 04:30:41.621,-57.65450422140985
2023/02/12 04:30:41.761,-61.44716185528721
2023/02/12 04:30:41.887,-59.182702712276985
2023/02/12 04:30:42.026,-59.70201270258188
2023/02/12 04:30:42.166,-57.99237314005648
2023/02/12 04:30:42.305,-70.3480945116
2023/02/12 04:30:42.432,-62.58566629116386
2023/02/12 04:30:42.572,-58.28340600852446
2023/02/12 04:30:42.698,-52.726472875015034
2023/02/12 04:30:42.823,-63.92535671952584
2023/02/12 04:30:42.950,-63.440184395117704
2023/02/12 04:30:43.091,-60.95969942760257
2023/02/12 04:30:43.231,-64.35265317465975
2023/02/12 04:30:43.358,-64.35265317465975
2023/02/12 04:30:43.499,-63.237783696240385
2023/02/12 04:30:43.625,-63.32334202688793
2023/02/12 04:30:43.752,-66.09648367863333
2023/02/12 04:30:43.878,-71.2878655997512
2023/02/12 04:30:44.005,-53.98779698355846
2023/02/12 04:30:44.146,-57.37700805443522
2023/02/12 04:30:44.289,-58.78439660357745
2023/02/12 04:30:44.416,-59.314770775858406
2023/02/12 04:30:44.556,-59.24422284061062
2023/02/12 04:30:44.682,-57.59850032434241
2023/02/12 04:30:44.809,-58.35113104120203
2023/02/12 04:30:44.935,-64.0617751078421
2023/02/12 04:30:45.074,-60.586552223768436
2023/02/12 04:30:45.199,-69.41017037951056
2023/02/12 04:30:45.341,-58.574349001217826
2023/02/12 04:30:45.469,-63.65844020791077
2023/02/12 04:30:45.612,-60.6905620649244
2023/02/12 04:30:45.754,-68.74234400078716
2023/02/12 04:30:45.881,-64.83127734437412
2023/02/12 04:30:46.007,-64.65421832247048
2023/02/12 04:30:46.146,-70.8824759889299
2023/02/12 04:30:46.286,-56.25658041687905
2023/02/12 04:30:46.425,-65.32489622220596
2023/02/12 04:30:46.551,-57.35417935698824
2023/02/12 04:30:46.693,-63.29092249048078
2023/02/12 04:30:46.832,-61.19293678800382
2023/02/12 04:30:46.957,-59.39909305415377
2023/02/12 04:30:47.084,-58.32954219909486
2023/02/12 04:30:47.223,-57.65386743158678
2023/02/12 04:30:47.350,-51.385920204503144
2023/02/12 04:30:47.493,-60.02475011492949
2023/02/12 04:30:47.634,-55.54602380591425
2023/02/12 04:30:47.758,-59.9843310008542
2023/02/12 04:30:47.885,-61.60046781908555
2023/02/12 04:30:48.011,-61.117965228357605
2023/02/12 04:30:48.137,-57.23938758931418
2023/02/12 04:30:48.277,-64.65459841446278
2023/02/12 04:30:48.416,-62.27245438989649
2023/02/12 04:30:48.554,-54.87980376622985
2023/02/12 04:30:48.680,-61.774385620644054
2023/02/12 04:30:48.819,-57.78367475697025
2023/02/12 04:30:48.960,-57.97379159373853
2023/02/12 04:30:49.102,-59.78643582578027
