時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 04:33:03.894,-84
2023/02/12 04:33:04.033,-60.18197225119533
2023/02/12 04:33:04.159,-54.65877393066642
2023/02/12 04:33:04.299,-60.2381846770401
2023/02/12 04:33:04.425,-64.84006870367385
2023/02/12 04:33:04.552,-64.05983900544275
2023/02/12 04:33:04.679,-60.680306573414306
2023/02/12 04:33:04.820,-59.734350770007495
2023/02/12 04:33:04.948,-64.00519566304105
2023/02/12 04:33:05.090,-56.96303307173959
2023/02/12 04:33:05.215,-62.64818896402648
2023/02/12 04:33:05.356,-58.106314997864914
2023/02/12 04:33:05.495,-63.27732346244463
2023/02/12 04:33:05.621,-55.322803566317624
2023/02/12 04:33:05.747,-70.80620844928508
2023/02/12 04:33:05.888,-59.66775365229023
2023/02/12 04:33:06.014,-59.66775365229023
2023/02/12 04:33:06.151,-65.9382961414285
2023/02/12 04:33:06.277,-53.54723015448917
2023/02/12 04:33:06.417,-60.39236577044975
2023/02/12 04:33:06.556,-61.13751970555975
2023/02/12 04:33:06.682,-59.36700718717387
2023/02/12 04:33:06.822,-61.24382590367684
2023/02/12 04:33:06.961,-58.65007686323714
2023/02/12 04:33:07.087,-64.27367831847826
2023/02/12 04:33:07.227,-57.65164628126978
2023/02/12 04:33:07.354,-53.259314486903065
2023/02/12 04:33:07.493,-57.58370964128886
2023/02/12 04:33:07.634,-61.220845107823834
2023/02/12 04:33:07.759,-52.98218431627223
2023/02/12 04:33:07.885,-52.8781572167227
2023/02/12 04:33:08.024,-60.832658412283635
2023/02/12 04:33:08.164,-63.60052502771953
2023/02/12 04:33:08.303,-58.31850548134525
2023/02/12 04:33:08.443,-59.88409494396484
2023/02/12 04:33:08.585,-56.27816539461189
2023/02/12 04:33:08.725,-61.81669886727009
2023/02/12 04:33:08.850,-72.04705188616526
2023/02/12 04:33:08.975,-55.95559308085715
2023/02/12 04:33:09.102,-54.97159898284305
2023/02/12 04:33:09.229,-67.93904234685918
2023/02/12 04:33:09.354,-61.37760140457172
2023/02/12 04:33:09.494,-61.932434672455955
2023/02/12 04:33:09.635,-63.268765512674
2023/02/12 04:33:09.774,-59.40556355560026
2023/02/12 04:33:09.899,-57.46249233400281
2023/02/12 04:33:10.039,-56.746215245782565
2023/02/12 04:33:10.179,-59.98962800279728
2023/02/12 04:33:10.319,-51.52081781095448
2023/02/12 04:33:10.459,-60.83113918439253
2023/02/12 04:33:10.599,-63.96494797232336
2023/02/12 04:33:10.739,-63.82240296359984
2023/02/12 04:33:10.879,-63.37667983190513
2023/02/12 04:33:11.004,-57.001628429982745
2023/02/12 04:33:11.130,-52.9708624497129
2023/02/12 04:33:11.268,-59.24957270325501
2023/02/12 04:33:11.396,-53.47355765421645
2023/02/12 04:33:11.536,-65.23842538388303
2023/02/12 04:33:11.677,-58.00709159246967
2023/02/12 04:33:11.816,-56.13765693602442
2023/02/12 04:33:11.942,-57.98427539196118
2023/02/12 04:33:12.079,-58.738957853589596
2023/02/12 04:33:12.204,-60.61835674769278
2023/02/12 04:33:12.330,-56.404435164172455
2023/02/12 04:33:12.470,-57.127070375470765
2023/02/12 04:33:12.595,-55.001171740355886
2023/02/12 04:33:12.737,-56.124579997454134
2023/02/12 04:33:12.876,-63.711566551204804
2023/02/12 04:33:13.004,-62.63018077484749
2023/02/12 04:33:13.143,-56.92288744459802
2023/02/12 04:33:13.282,-53.02097701380931
2023/02/12 04:33:13.422,-60.6026411045511
2023/02/12 04:33:13.577,-60.184514715496206
2023/02/12 04:33:13.718,-60.47206552605424
2023/02/12 04:33:13.843,-66.39058509684644
2023/02/12 04:33:13.983,-63.21478777985544
2023/02/12 04:33:14.123,-65.23512427013534
2023/02/12 04:33:14.249,-55.72585659101122
2023/02/12 04:33:14.390,-62.617707990149746
2023/02/12 04:33:14.530,-69.03762569279122
2023/02/12 04:33:14.670,-54.11719799894074
2023/02/12 04:33:14.809,-63.591740116182926
2023/02/12 04:33:14.950,-59.57387328370842
2023/02/12 04:33:15.091,-62.60065092179965
2023/02/12 04:33:15.231,-61.41322141098136
2023/02/12 04:33:15.371,-55.6038469783044
2023/02/12 04:33:15.511,-64.7340026847911
2023/02/12 04:33:15.637,-62.352632275636005
2023/02/12 04:33:15.762,-62.352632275636005
2023/02/12 04:33:15.887,-60.21823457870684
2023/02/12 04:33:16.012,-60.21823457870684
2023/02/12 04:33:16.139,-61.41853044048482
2023/02/12 04:33:16.264,-61.41853044048482
2023/02/12 04:33:16.404,-64.8935773265424
2023/02/12 04:33:16.531,-60.88096036228764
2023/02/12 04:33:16.657,-61.54701557431394
2023/02/12 04:33:16.798,-59.8475108605113
2023/02/12 04:33:16.923,-51.93001669791897
2023/02/12 04:33:17.062,-56.595507759568065
2023/02/12 04:33:17.204,-69.7512152670666
2023/02/12 04:33:17.344,-56.043922071715656
2023/02/12 04:33:17.499,-59.5593908138887
2023/02/12 04:33:17.638,-64.64896254773143
2023/02/12 04:33:17.763,-64.64896254773143
2023/02/12 04:33:17.902,-68.04922308792166
2023/02/12 04:33:18.043,-61.28677011363539
2023/02/12 04:33:18.168,-63.9826967095278
2023/02/12 04:33:18.307,-65.92108318986536
2023/02/12 04:33:18.448,-62.712660396979736
2023/02/12 04:33:18.589,-59.98577771206329
2023/02/12 04:33:18.729,-60.83092294820979
2023/02/12 04:33:18.854,-56.35119387995197
2023/02/12 04:33:18.995,-71.31407455785924
2023/02/12 04:33:19.119,-55.53544855726639
2023/02/12 04:33:19.259,-60.61394196831322
2023/02/12 04:33:19.398,-56.63399962569247
2023/02/12 04:33:19.539,-61.47667423433603
2023/02/12 04:33:19.678,-62.234309292204415
2023/02/12 04:33:19.804,-59.135371997906255
2023/02/12 04:33:19.945,-58.31335349153275
2023/02/12 04:33:20.086,-62.09630380092836
2023/02/12 04:33:20.226,-66.8764654162329
2023/02/12 04:33:20.364,-50.41226477450235
2023/02/12 04:33:20.502,-59.782475770380884
2023/02/12 04:33:20.643,-60.87869767177962
2023/02/12 04:33:20.768,-52.67775203417746
2023/02/12 04:33:20.906,-59.08121902543178
2023/02/12 04:33:21.048,-60.567232112402365
2023/02/12 04:33:21.187,-62.16380193366579
2023/02/12 04:33:21.327,-60.1713601885951
2023/02/12 04:33:21.468,-61.630277782557776
2023/02/12 04:33:21.608,-56.89528907200063
2023/02/12 04:33:21.748,-62.61716698881378
2023/02/12 04:33:21.890,-54.12643528533012
2023/02/12 04:33:22.030,-56.66625800127833
2023/02/12 04:33:22.170,-47.17168229331313
2023/02/12 04:33:22.295,-63.05753493073746
2023/02/12 04:33:22.435,-60.03190469444921
2023/02/12 04:33:22.575,-60.240357601571255
2023/02/12 04:33:22.700,-55.957551629719056
2023/02/12 04:33:22.840,-56.9708882893082
2023/02/12 04:33:22.965,-59.62623343098201
2023/02/12 04:33:23.106,-59.04496152169231
2023/02/12 04:33:23.233,-58.313023716546724
2023/02/12 04:33:23.360,-61.94198311828509
2023/02/12 04:33:23.501,-61.703128225408335
2023/02/12 04:33:23.641,-62.572032476358956
2023/02/12 04:33:23.783,-57.943285079756244
2023/02/12 04:33:23.922,-64.71077801657759
2023/02/12 04:33:24.048,-58.5093892433762
2023/02/12 04:33:24.189,-57.453109324340886
2023/02/12 04:33:24.329,-65.4516827510058
2023/02/12 04:33:24.469,-55.895954627634794
2023/02/12 04:33:24.624,-63.66909170774049
2023/02/12 04:33:24.751,-56.78208288878772
2023/02/12 04:33:24.877,-62.516615027054556
2023/02/12 04:33:25.002,-60.4539922363126
2023/02/12 04:33:25.143,-56.33249556325667
2023/02/12 04:33:25.286,-60.37819098863439
2023/02/12 04:33:25.427,-56.33539693505361
2023/02/12 04:33:25.552,-63.83608464081469
2023/02/12 04:33:25.691,-61.978016596196774
2023/02/12 04:33:25.832,-66.13476353773287
2023/02/12 04:33:25.972,-54.639923390727894
2023/02/12 04:33:26.112,-58.118377709029375
2023/02/12 04:33:26.251,-60.69903389596913
2023/02/12 04:33:26.392,-61.147363839919095
2023/02/12 04:33:26.533,-49.649197734103524
2023/02/12 04:33:26.658,-59.21828875018928
2023/02/12 04:33:26.797,-56.8433527921303
2023/02/12 04:33:26.937,-60.239704356126325
2023/02/12 04:33:27.078,-56.928317986438735
2023/02/12 04:33:27.203,-60.633893738417356
2023/02/12 04:33:27.343,-67.09135412433187
2023/02/12 04:33:27.469,-61.51841548135495
2023/02/12 04:33:27.594,-63.45914305993058
2023/02/12 04:33:27.735,-61.958023966492
2023/02/12 04:33:27.889,-68.18514819255492
2023/02/12 04:33:28.030,-55.69081677466508
2023/02/12 04:33:28.156,-63.816968660488655
2023/02/12 04:33:28.295,-64.78972414378144
2023/02/12 04:33:28.435,-58.99458770170861
2023/02/12 04:33:28.575,-59.091016225899544
2023/02/12 04:33:28.702,-53.23780589546428
2023/02/12 04:33:28.828,-58.044838800635226
2023/02/12 04:33:28.954,-56.88011958370038
2023/02/12 04:33:29.094,-72.01433817832336
2023/02/12 04:33:29.248,-70.21822986516054
2023/02/12 04:33:29.388,-59.078866607451765
2023/02/12 04:33:29.528,-64.37126820129433
2023/02/12 04:33:29.667,-60.333030762828756
2023/02/12 04:33:29.792,-60.683019155904944
2023/02/12 04:33:29.918,-57.702762256841396
2023/02/12 04:33:30.057,-66.3604893145751
2023/02/12 04:33:30.197,-57.1683331275612
2023/02/12 04:33:30.338,-62.277347240116455
2023/02/12 04:33:30.464,-69.62400629384311
2023/02/12 04:33:30.590,-70.0145772134754
2023/02/12 04:33:30.716,-55.7376059351117
2023/02/12 04:33:30.841,-61.82283025876241
2023/02/12 04:33:30.967,-53.455271107319184
2023/02/12 04:33:31.092,-66.26323636490034
2023/02/12 04:33:31.232,-62.058020874967106
2023/02/12 04:33:31.372,-54.233042446992854
2023/02/12 04:33:31.511,-58.58473759612791
2023/02/12 04:33:31.649,-64.43538022488673
2023/02/12 04:33:31.789,-55.93364025201021
2023/02/12 04:33:31.914,-56.70803906899125
2023/02/12 04:33:32.039,-58.14235310832
2023/02/12 04:33:32.165,-64.97879543794323
2023/02/12 04:33:32.291,-52.867950563359415
2023/02/12 04:33:32.417,-62.20423250787142
2023/02/12 04:33:32.542,-63.54856574479746
2023/02/12 04:33:32.683,-62.37394660522456
2023/02/12 04:33:32.822,-66.02118824885638
2023/02/12 04:33:32.962,-58.16459706999552
2023/02/12 04:33:33.102,-64.91329532817784
2023/02/12 04:33:33.228,-60.65198184509519
2023/02/12 04:33:33.368,-69.7053123363495
2023/02/12 04:33:33.508,-65.38564923128703
2023/02/12 04:33:33.650,-64.61081916069786
2023/02/12 04:33:33.789,-57.830412395784506
2023/02/12 04:33:33.914,-52.15465314503941
