時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 04:34:31.368,-84
2023/02/12 04:34:31.498,-57.87928519778276
2023/02/12 04:34:31.636,-66.64283463133094
2023/02/12 04:34:31.776,-60.057496142162435
2023/02/12 04:34:31.902,-55.16621337781979
2023/02/12 04:34:32.027,-63.96090577381286
2023/02/12 04:34:32.167,-55.994848870825216
2023/02/12 04:34:32.306,-58.3136140505582
2023/02/12 04:34:32.447,-55.886101943506645
2023/02/12 04:34:32.573,-61.248137556511246
2023/02/12 04:34:32.712,-57.57114050185584
2023/02/12 04:34:32.852,-61.76827496184443
2023/02/12 04:34:32.978,-57.35339139664895
2023/02/12 04:34:33.104,-56.68474333255713
2023/02/12 04:34:33.228,-58.36354313017557
2023/02/12 04:34:33.368,-56.82618172730966
2023/02/12 04:34:33.509,-58.451342397693146
2023/02/12 04:34:33.646,-61.70930976054613
2023/02/12 04:34:33.773,-52.63495207995803
2023/02/12 04:34:33.914,-54.00020325854289
2023/02/12 04:34:34.055,-60.99180955199979
2023/02/12 04:34:34.194,-56.71909369120711
2023/02/12 04:34:34.320,-62.170112392425466
2023/02/12 04:34:34.461,-60.869344982983826
2023/02/12 04:34:34.586,-68.27179765725373
2023/02/12 04:34:34.726,-60.3140861243735
2023/02/12 04:34:34.852,-60.07268849095361
2023/02/12 04:34:34.976,-62.99388093681887
2023/02/12 04:34:35.116,-55.488018102452976
2023/02/12 04:34:35.255,-59.35542751953978
2023/02/12 04:34:35.395,-57.90115618564826
2023/02/12 04:34:35.520,-52.17213057732879
2023/02/12 04:34:35.661,-58.83187276118431
2023/02/12 04:34:35.801,-54.440742364001196
2023/02/12 04:34:35.940,-55.14232364864941
2023/02/12 04:34:36.081,-62.18306852197891
2023/02/12 04:34:36.207,-62.392895864199474
2023/02/12 04:34:36.331,-63.28703089027441
2023/02/12 04:34:36.471,-58.69778346282227
2023/02/12 04:34:36.609,-53.69379901333513
2023/02/12 04:34:36.763,-59.99479108610415
2023/02/12 04:34:36.903,-55.02311528414105
2023/02/12 04:34:37.043,-58.99626632021486
2023/02/12 04:34:37.167,-60.77874597062518
2023/02/12 04:34:37.308,-65.80151906186069
2023/02/12 04:34:37.448,-59.01842625987626
2023/02/12 04:34:37.586,-65.39778603379604
2023/02/12 04:34:37.725,-63.09913595540056
2023/02/12 04:34:37.852,-55.8287523586348
2023/02/12 04:34:37.977,-58.69900824727406
2023/02/12 04:34:38.116,-60.47139795840259
2023/02/12 04:34:38.256,-58.51301337331325
2023/02/12 04:34:38.395,-51.59278455589111
2023/02/12 04:34:38.520,-50.09304133132187
2023/02/12 04:34:38.661,-49.34701851056808
2023/02/12 04:34:38.799,-56.67605722823342
2023/02/12 04:34:38.925,-57.43327785323831
2023/02/12 04:34:39.051,-56.50988838146064
2023/02/12 04:34:39.188,-57.43548060834588
2023/02/12 04:34:39.329,-61.62761058905509
2023/02/12 04:34:39.468,-65.55367336454437
2023/02/12 04:34:39.592,-61.044498353034164
2023/02/12 04:34:39.720,-55.2232626903736
2023/02/12 04:34:39.860,-61.093019550577196
2023/02/12 04:34:40.000,-65.43913469647995
2023/02/12 04:34:40.125,-61.39632535102153
2023/02/12 04:34:40.251,-67.54781943316021
2023/02/12 04:34:40.389,-55.8726930846946
2023/02/12 04:34:40.527,-49.04232905701964
2023/02/12 04:34:40.668,-52.37995084541176
2023/02/12 04:34:40.794,-51.52899538924742
2023/02/12 04:34:40.920,-62.29406979380193
2023/02/12 04:34:41.060,-58.24833801293831
2023/02/12 04:34:41.198,-57.65707558523716
2023/02/12 04:34:41.324,-63.428889980141825
2023/02/12 04:34:41.462,-69.14847594688852
2023/02/12 04:34:41.588,-61.15321883004466
2023/02/12 04:34:41.728,-52.821707452732475
2023/02/12 04:34:41.867,-64.40051074707826
2023/02/12 04:34:42.007,-62.48715245141308
2023/02/12 04:34:42.146,-59.69087347091595
2023/02/12 04:34:42.271,-57.265946992385665
2023/02/12 04:34:42.411,-58.23021691803507
2023/02/12 04:34:42.552,-66.85733385462346
2023/02/12 04:34:42.691,-57.318954376688644
2023/02/12 04:34:42.817,-60.46958776486363
2023/02/12 04:34:42.959,-63.471031124994646
2023/02/12 04:34:43.085,-59.579665388327925
2023/02/12 04:34:43.226,-53.85469473356639
2023/02/12 04:34:43.365,-59.20867116583523
2023/02/12 04:34:43.505,-67.49527609202583
2023/02/12 04:34:43.644,-52.06578933149694
2023/02/12 04:34:43.784,-58.61086822134994
2023/02/12 04:34:43.909,-60.77936781755647
2023/02/12 04:34:44.049,-61.75471441363239
2023/02/12 04:34:44.188,-69.16262854822008
2023/02/12 04:34:44.327,-58.32645418698497
2023/02/12 04:34:44.466,-51.20485082144829
2023/02/12 04:34:44.603,-52.824127351051125
2023/02/12 04:34:44.742,-53.40720537895293
2023/02/12 04:34:44.867,-60.78777441108578
2023/02/12 04:34:45.008,-61.657484079143224
2023/02/12 04:34:45.133,-57.910955039241074
2023/02/12 04:34:45.273,-48.238424256005025
2023/02/12 04:34:45.400,-66.08992324917877
2023/02/12 04:34:45.525,-48.78741867079217
2023/02/12 04:34:45.649,-56.25844131588428
2023/02/12 04:34:45.774,-57.04040712609433
2023/02/12 04:34:45.913,-61.73384904647175
2023/02/12 04:34:46.051,-60.290835068762725
2023/02/12 04:34:46.177,-62.74094897934047
2023/02/12 04:34:46.317,-62.203668144808155
2023/02/12 04:34:46.442,-55.015069384348465
2023/02/12 04:34:46.567,-64.28356539204248
2023/02/12 04:34:46.707,-57.80338978035204
2023/02/12 04:34:46.848,-47.75388259300854
2023/02/12 04:34:46.974,-52.47093526620117
2023/02/12 04:34:47.100,-57.29366846144593
2023/02/12 04:34:47.239,-66.54771973363322
2023/02/12 04:34:47.378,-57.7340127568301
2023/02/12 04:34:47.503,-58.28931161642984
2023/02/12 04:34:47.628,-61.00944745181667
2023/02/12 04:34:47.768,-51.66622017320116
2023/02/12 04:34:47.908,-54.987204721736624
2023/02/12 04:34:48.032,-59.847581560574554
2023/02/12 04:34:48.172,-59.77173986120573
2023/02/12 04:34:48.313,-58.95652473489488
2023/02/12 04:34:48.439,-57.72487891273539
2023/02/12 04:34:48.579,-58.58473541993624
2023/02/12 04:34:48.720,-53.475908225074996
2023/02/12 04:34:48.859,-61.09022679238151
2023/02/12 04:34:49.001,-67.44150815013927
2023/02/12 04:34:49.126,-60.89440179905934
2023/02/12 04:34:49.280,-59.747845706156966
2023/02/12 04:34:49.421,-56.62005705065489
2023/02/12 04:34:49.559,-60.99939998131006
2023/02/12 04:34:49.698,-43.825314052933884
2023/02/12 04:34:49.838,-52.62827121150921
2023/02/12 04:34:49.963,-59.6118604251808
2023/02/12 04:34:50.087,-59.04001325491741
2023/02/12 04:34:50.212,-46.426130328778655
2023/02/12 04:34:50.338,-59.13828720909174
2023/02/12 04:34:50.479,-58.149381087131076
2023/02/12 04:34:50.618,-59.81759395938097
2023/02/12 04:34:50.758,-64.88124953939999
2023/02/12 04:34:50.899,-55.03735029041441
2023/02/12 04:34:51.024,-55.574811087186156
2023/02/12 04:34:51.164,-53.846013838983815
2023/02/12 04:34:51.302,-55.585915627840585
2023/02/12 04:34:51.428,-56.175098919982425
2023/02/12 04:34:51.554,-57.62985039491969
2023/02/12 04:34:51.679,-58.622029830788975
2023/02/12 04:34:51.820,-65.91456925114574
2023/02/12 04:34:51.959,-68.98979275741152
2023/02/12 04:34:52.098,-59.23681746772098
2023/02/12 04:34:52.237,-69.29686244112293
2023/02/12 04:34:52.377,-66.52417872165921
2023/02/12 04:34:52.516,-57.7160766657769
2023/02/12 04:34:52.657,-48.91039751285318
2023/02/12 04:34:52.781,-54.29313524260952
2023/02/12 04:34:52.922,-53.74868721065554
2023/02/12 04:34:53.063,-63.95865518605561
