時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 04:37:28.792,-84
2023/02/12 04:37:28.919,-84
2023/02/12 04:37:29.058,-67.46611454276712
2023/02/12 04:37:29.184,-57.29572083211398
2023/02/12 04:37:29.323,-64.4922073189425
2023/02/12 04:37:29.463,-58.85306826970033
2023/02/12 04:37:29.602,-56.68073802646028
2023/02/12 04:37:29.744,-59.438579896673325
2023/02/12 04:37:29.884,-59.45463115464035
2023/02/12 04:37:30.023,-60.97379879503003
2023/02/12 04:37:30.162,-60.486357184444294
2023/02/12 04:37:30.287,-61.56102737710175
2023/02/12 04:37:30.426,-59.48051766663816
2023/02/12 04:37:30.565,-65.95178899345719
2023/02/12 04:37:30.705,-62.15879629187136
2023/02/12 04:37:30.845,-64.18184653847628
2023/02/12 04:37:30.971,-58.032703357679985
2023/02/12 04:37:31.096,-58.293162174545515
2023/02/12 04:37:31.237,-54.85005564300727
2023/02/12 04:37:31.364,-55.511081735573754
2023/02/12 04:37:31.504,-59.25765604316473
2023/02/12 04:37:31.644,-65.24040780303717
2023/02/12 04:37:31.784,-58.50128383956513
2023/02/12 04:37:31.909,-54.97495278324968
2023/02/12 04:37:32.036,-64.43917475271438
2023/02/12 04:37:32.175,-53.999708363542986
2023/02/12 04:37:32.313,-57.244384266508405
2023/02/12 04:37:32.439,-64.6832240602798
2023/02/12 04:37:32.579,-61.52942858963809
2023/02/12 04:37:32.705,-65.06022982413053
2023/02/12 04:37:32.847,-59.63014564884547
2023/02/12 04:37:32.987,-53.38531231177349
2023/02/12 04:37:33.125,-61.71625379103141
2023/02/12 04:37:33.250,-65.13542665697943
2023/02/12 04:37:33.390,-63.703846036129086
2023/02/12 04:37:33.529,-59.15372962557911
2023/02/12 04:37:33.654,-63.42949856089757
2023/02/12 04:37:33.780,-63.92734087068324
2023/02/12 04:37:33.905,-66.65642876883166
2023/02/12 04:37:34.045,-55.188350261658734
2023/02/12 04:37:34.171,-61.97782084859089
2023/02/12 04:37:34.311,-57.11661756041124
2023/02/12 04:37:34.449,-53.74791971815619
2023/02/12 04:37:34.591,-66.69111753650989
2023/02/12 04:37:34.729,-53.61364794819543
2023/02/12 04:37:34.854,-62.381138566038345
2023/02/12 04:37:34.994,-61.404305035539146
2023/02/12 04:37:35.121,-71.32543910066283
2023/02/12 04:37:35.246,-61.25424877226845
2023/02/12 04:37:35.385,-57.82338818590052
2023/02/12 04:37:35.509,-61.61946909990914
2023/02/12 04:37:35.648,-61.85663464813142
2023/02/12 04:37:35.775,-57.93613561640791
2023/02/12 04:37:35.900,-63.526444247455885
2023/02/12 04:37:36.040,-58.47801921997106
2023/02/12 04:37:36.178,-63.21770205365169
2023/02/12 04:37:36.317,-54.77741128258559
2023/02/12 04:37:36.442,-66.15184809990501
2023/02/12 04:37:36.581,-57.02784081646498
2023/02/12 04:37:36.721,-56.31784575055689
2023/02/12 04:37:36.861,-58.08821509009094
2023/02/12 04:37:37.000,-61.17524102189159
2023/02/12 04:37:37.140,-67.6643507443163
