時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 04:40:09.173,-84
2023/02/12 04:40:09.310,-60.729566627349385
2023/02/12 04:40:09.450,-59.96082426832986
2023/02/12 04:40:09.575,-65.14132815912826
2023/02/12 04:40:09.717,-60.93963302738646
2023/02/12 04:40:09.843,-58.01992246941494
2023/02/12 04:40:09.982,-62.097988388872295
2023/02/12 04:40:10.106,-63.13549237651881
2023/02/12 04:40:10.245,-62.840460066779755
2023/02/12 04:40:10.384,-51.147621178267954
2023/02/12 04:40:10.525,-53.75902088726875
2023/02/12 04:40:10.666,-56.20036298048077
2023/02/12 04:40:10.806,-57.945436601854524
2023/02/12 04:40:10.931,-39.16929690870453
2023/02/12 04:40:11.072,-38.049840619908736
2023/02/12 04:40:11.213,-36.141206326541734
2023/02/12 04:40:11.339,-30.12590154819879
2023/02/12 04:40:11.477,-55.319971628979374
2023/02/12 04:40:11.619,-41.6091062969262
2023/02/12 04:40:11.757,-48.393152573279124
2023/02/12 04:40:11.882,-55.03694597560156
2023/02/12 04:40:12.008,-41.628190470308475
2023/02/12 04:40:12.147,-40.84638149890681
2023/02/12 04:40:12.273,-35.6838579122426
2023/02/12 04:40:12.413,-44.315465351221654
2023/02/12 04:40:12.552,-46.36185630411481
2023/02/12 04:40:12.693,-35.414425728371086
2023/02/12 04:40:12.833,-41.35382751200605
2023/02/12 04:40:12.973,-63.23195994918933
2023/02/12 04:40:13.113,-38.97083945598905
2023/02/12 04:40:13.252,-45.05923538974592
2023/02/12 04:40:13.407,-61.6201025251318
2023/02/12 04:40:13.543,-37.56118944989406
2023/02/12 04:40:13.682,-59.07585533770741
2023/02/12 04:40:13.825,-39.17152101396563
2023/02/12 04:40:13.966,-30.954471174394193
2023/02/12 04:40:14.092,-49.08395311842301
2023/02/12 04:40:14.218,-41.953584272782585
2023/02/12 04:40:14.358,-35.81743942607747
2023/02/12 04:40:14.483,-42.41376187707242
2023/02/12 04:40:14.609,-62.48458045570696
2023/02/12 04:40:14.735,-67.10154906685402
2023/02/12 04:40:14.873,-52.82955123859161
2023/02/12 04:40:15.014,-37.5039534850532
2023/02/12 04:40:15.154,-39.839184119011506
2023/02/12 04:40:15.279,-39.310884618938665
2023/02/12 04:40:15.404,-65.0070375270459
2023/02/12 04:40:15.530,-32.0393360112479
2023/02/12 04:40:15.669,-38.15906277718084
2023/02/12 04:40:15.807,-35.01775885007496
2023/02/12 04:40:15.933,-37.45622635519797
2023/02/12 04:40:16.074,-58.4578554864192
2023/02/12 04:40:16.214,-40.60632473956428
2023/02/12 04:40:16.351,-54.67478033790398
2023/02/12 04:40:16.476,-57.83267605340573
2023/02/12 04:40:16.617,-59.87678089906226
2023/02/12 04:40:16.758,-37.52044267214492
2023/02/12 04:40:16.882,-36.21101419367487
2023/02/12 04:40:17.023,-33.882267691448874
2023/02/12 04:40:17.161,-39.45515347466141
2023/02/12 04:40:17.288,-41.71963141639709
2023/02/12 04:40:17.414,-61.620794827495715
2023/02/12 04:40:17.552,-58.424361047949375
2023/02/12 04:40:17.692,-62.58321244442952
2023/02/12 04:40:17.819,-68.89053085840762
2023/02/12 04:40:17.960,-63.32182106870754
2023/02/12 04:40:18.100,-59.53626481580447
2023/02/12 04:40:18.225,-60.28430250512087
2023/02/12 04:40:18.364,-63.34732436510074
2023/02/12 04:40:18.506,-51.59420231220785
2023/02/12 04:40:18.644,-59.02709235685445
2023/02/12 04:40:18.784,-59.54006351504813
2023/02/12 04:40:18.925,-53.63262250841916
2023/02/12 04:40:19.066,-58.19913207541583
2023/02/12 04:40:19.205,-59.98198214784541
2023/02/12 04:40:19.330,-62.35842756185694
2023/02/12 04:40:19.456,-58.64218775999603
2023/02/12 04:40:19.593,-62.3759864575181
2023/02/12 04:40:19.734,-62.099456112310975
2023/02/12 04:40:19.860,-58.1074008522695
2023/02/12 04:40:19.986,-33.25532482638473
2023/02/12 04:40:20.127,-36.281985659840835
2023/02/12 04:40:20.252,-52.40840706608195
2023/02/12 04:40:20.392,-39.626933085541665
2023/02/12 04:40:20.531,-59.95234823313859
2023/02/12 04:40:20.669,-59.397153736180385
2023/02/12 04:40:20.794,-62.58183673277672
2023/02/12 04:40:20.931,-58.40586058791906
2023/02/12 04:40:21.071,-54.29606387340172
2023/02/12 04:40:21.210,-58.034520721682156
2023/02/12 04:40:21.350,-60.12771661439473
2023/02/12 04:40:22.723,-63.193758266069125
2023/02/12 04:40:24.224,-69.16649730067755
2023/02/12 04:40:24.370,-57.58510525133669
2023/02/12 04:40:24.512,-64.19871604056219
2023/02/12 04:40:24.639,-64.61016383832587
2023/02/12 04:40:24.782,-53.7243668436009
2023/02/12 04:40:24.907,-58.78313203818314
2023/02/12 04:40:25.033,-58.62102150989857
2023/02/12 04:40:25.176,-66.0149936361179
2023/02/12 04:40:25.317,-61.04687133083655
2023/02/12 04:40:25.459,-53.768935656465416
2023/02/12 04:40:25.585,-65.30172594751262
2023/02/12 04:40:25.728,-57.30571040953204
2023/02/12 04:40:25.868,-62.84705115961198
2023/02/12 04:40:26.010,-54.87056907823548
2023/02/12 04:40:26.137,-67.48041739124854
2023/02/12 04:40:26.278,-57.05221663219617
2023/02/12 04:40:26.419,-63.206932872438074
2023/02/12 04:40:26.561,-57.739726468419036
2023/02/12 04:40:26.687,-59.560487534441805
2023/02/12 04:40:26.829,-55.24877169026265
2023/02/12 04:40:26.970,-67.33297181198543
2023/02/12 04:40:27.112,-60.56357535208902
2023/02/12 04:40:27.237,-57.22600504300242
2023/02/12 04:40:27.383,-56.4564945717263
2023/02/12 04:40:27.522,-59.06624008927433
2023/02/12 04:40:27.663,-59.5507757682914
