時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:01:45.847,-84
2023/02/12 05:01:46.004,-53.0890814821095
2023/02/12 05:01:46.143,-53.05998402834532
2023/02/12 05:01:46.282,-60.14097366233585
2023/02/12 05:01:46.410,-56.35209773370071
2023/02/12 05:01:46.537,-57.66799318647892
2023/02/12 05:01:46.676,-50.3456387941069
2023/02/12 05:01:46.802,-56.17358409609926
2023/02/12 05:01:46.941,-59.74729185495385
2023/02/12 05:01:47.068,-55.05334250882109
2023/02/12 05:01:47.195,-49.785017090340574
2023/02/12 05:01:47.336,-48.38593382019245
2023/02/12 05:01:47.463,-52.71562802926107
2023/02/12 05:01:47.590,-47.338839943362245
2023/02/12 05:01:47.715,-44.85923400143285
2023/02/12 05:01:47.843,-58.067729192770024
2023/02/12 05:01:47.984,-56.86610578951958
2023/02/12 05:01:48.109,-51.83634863971225
2023/02/12 05:01:48.235,-59.803072324008404
2023/02/12 05:01:48.360,-54.50601702056066
2023/02/12 05:01:48.486,-42.86994130067757
2023/02/12 05:01:48.628,-42.44370624434501
2023/02/12 05:01:48.753,-43.95603486836431
2023/02/12 05:01:48.894,-53.578138627755806
2023/02/12 05:01:49.034,-57.30334509898596
2023/02/12 05:01:49.159,-60.442268437758656
2023/02/12 05:01:49.299,-52.155288283887906
2023/02/12 05:01:49.423,-60.287846183107064
2023/02/12 05:01:49.548,-61.30186914866269
2023/02/12 05:01:49.688,-57.51893660330465
2023/02/12 05:01:49.829,-54.31624213038596
2023/02/12 05:01:49.955,-52.19982688014084
2023/02/12 05:01:50.095,-57.84559737861596
2023/02/12 05:01:50.234,-52.74248806766728
2023/02/12 05:01:50.373,-54.57838136286245
2023/02/12 05:01:50.498,-61.02193516123931
2023/02/12 05:01:50.638,-61.45371809727305
2023/02/12 05:01:50.763,-57.41184504516596
2023/02/12 05:01:50.904,-58.86305806661754
2023/02/12 05:01:51.044,-52.323759020453984
2023/02/12 05:01:51.168,-54.407637847351126
2023/02/12 05:01:51.308,-51.807232721885974
2023/02/12 05:01:51.433,-51.24701718744014
2023/02/12 05:01:51.558,-62.21779597589748
2023/02/12 05:01:51.697,-53.45649937665783
2023/02/12 05:01:51.840,-62.80936910902001
2023/02/12 05:01:51.966,-60.02790614873567
2023/02/12 05:01:52.106,-60.8236516603376
2023/02/12 05:01:52.230,-53.620776678972504
2023/02/12 05:01:52.355,-51.10007128962785
2023/02/12 05:01:52.494,-47.994467714209165
2023/02/12 05:01:52.635,-48.36767906457675
2023/02/12 05:01:52.761,-52.17466843735394
2023/02/12 05:01:52.899,-61.958975080644876
2023/02/12 05:01:53.039,-61.689029633763475
2023/02/12 05:01:53.164,-52.13789845334804
2023/02/12 05:01:53.292,-50.87069813944044
2023/02/12 05:01:53.429,-46.80509716872349
2023/02/12 05:01:53.555,-51.710376399984916
2023/02/12 05:01:53.681,-50.16321749336959
2023/02/12 05:01:53.807,-55.28065643780286
2023/02/12 05:01:53.948,-53.26903657140387
2023/02/12 05:01:54.086,-61.39816041931297
2023/02/12 05:01:54.225,-61.14456834287515
2023/02/12 05:01:54.353,-60.18113797613922
2023/02/12 05:01:54.491,-60.88972643632922
2023/02/12 05:01:54.632,-56.05693031472714
2023/02/12 05:01:54.757,-58.811739510039786
2023/02/12 05:01:54.897,-58.20384528981648
2023/02/12 05:01:55.037,-54.12247610994833
2023/02/12 05:01:55.163,-49.40195924745571
2023/02/12 05:01:55.303,-58.76290681686328
2023/02/12 05:01:55.428,-59.12396160489507
2023/02/12 05:01:55.568,-51.7846767684929
2023/02/12 05:01:55.694,-56.720210867560674
2023/02/12 05:01:55.834,-59.96185439246123
2023/02/12 05:01:55.974,-56.215299650895254
2023/02/12 05:01:56.100,-48.81527565890821
2023/02/12 05:01:56.240,-50.35311597860297
2023/02/12 05:01:56.381,-46.901110541812216
2023/02/12 05:01:56.520,-55.83316188412344
2023/02/12 05:01:56.660,-56.88046603673004
2023/02/12 05:01:56.786,-51.18210651795286
2023/02/12 05:01:56.927,-46.563873920198375
2023/02/12 05:01:57.054,-40.58953097831295
2023/02/12 05:01:57.193,-27.510089806262318
2023/02/12 05:01:57.333,-33.42391690110032
2023/02/12 05:01:57.459,-31.156797213182678
2023/02/12 05:01:57.599,-30.771948572150173
2023/02/12 05:01:57.739,-32.72008617457823
2023/02/12 05:01:57.895,-33.72686873558721
2023/02/12 05:01:58.034,-32.816666974376034
2023/02/12 05:01:58.159,-38.070327345255414
2023/02/12 05:01:58.298,-29.86490366887985
2023/02/12 05:01:58.423,-34.84929631765425
2023/02/12 05:01:58.564,-36.510727706756235
2023/02/12 05:01:58.703,-38.58191124755702
2023/02/12 05:01:58.842,-35.77643515442907
