時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:04:12.061,-84
2023/02/12 05:04:12.197,-53.43764277202281
2023/02/12 05:04:12.322,-56.494404536550576
2023/02/12 05:04:12.463,-54.47424878262033
2023/02/12 05:04:12.601,-61.58895889866546
2023/02/12 05:04:12.742,-57.649751750852154
2023/02/12 05:04:12.867,-57.26158150063021
2023/02/12 05:04:13.008,-58.46236341162752
2023/02/12 05:04:13.133,-59.474615472426215
2023/02/12 05:04:13.272,-50.89742685263528
2023/02/12 05:04:13.398,-54.21186889497977
2023/02/12 05:04:13.524,-55.22367959640693
2023/02/12 05:04:13.650,-60.564586377817314
2023/02/12 05:04:13.776,-59.51996064739808
2023/02/12 05:04:13.918,-54.8336915974624
2023/02/12 05:04:14.060,-49.34977968334447
2023/02/12 05:04:14.201,-46.71232874340359
2023/02/12 05:04:14.343,-49.827751915565635
2023/02/12 05:04:14.468,-53.342791874535074
2023/02/12 05:04:14.609,-41.855116176892935
2023/02/12 05:04:14.751,-55.08010838957098
2023/02/12 05:04:14.894,-48.8533079948315
2023/02/12 05:04:15.019,-45.80947610402599
2023/02/12 05:04:15.146,-53.12190838010694
2023/02/12 05:04:15.287,-59.430647731354085
2023/02/12 05:04:15.413,-59.911890868887994
2023/02/12 05:04:15.553,-54.530328439444915
2023/02/12 05:04:15.693,-59.695022072889294
2023/02/12 05:04:15.848,-56.87957186155952
2023/02/12 05:04:15.974,-58.895394759865425
2023/02/12 05:04:16.099,-61.09994069702122
2023/02/12 05:04:16.238,-54.50545015015894
2023/02/12 05:04:16.377,-58.82566351564704
2023/02/12 05:04:16.519,-59.44219960368848
2023/02/12 05:04:16.646,-52.32061852378712
2023/02/12 05:04:16.784,-58.17924212973914
2023/02/12 05:04:16.909,-59.12716728194915
2023/02/12 05:04:17.051,-56.22608454316881
2023/02/12 05:04:17.191,-59.5603819082188
2023/02/12 05:04:17.330,-58.7886070836123
2023/02/12 05:04:17.470,-55.00105357481555
2023/02/12 05:04:17.598,-49.03323070435717
2023/02/12 05:04:17.722,-47.130795762723324
2023/02/12 05:04:17.862,-57.83743813589213
2023/02/12 05:04:18.003,-49.96711512683501
2023/02/12 05:04:18.142,-62.131504096899945
2023/02/12 05:04:18.282,-49.90518711339173
2023/02/12 05:04:18.407,-54.74367336425671
2023/02/12 05:04:18.547,-58.70622880372846
2023/02/12 05:04:18.674,-49.67241527065993
2023/02/12 05:04:18.798,-58.66339864722288
2023/02/12 05:04:18.924,-57.45498496625058
2023/02/12 05:04:19.064,-57.4668375519554
2023/02/12 05:04:19.191,-60.83332043570277
2023/02/12 05:04:19.315,-56.83301002781714
2023/02/12 05:04:19.443,-50.35493362173451
2023/02/12 05:04:19.570,-57.91837084278222
2023/02/12 05:04:19.713,-48.464415459174504
2023/02/12 05:04:19.839,-62.28305097725102
2023/02/12 05:04:19.979,-60.519784140817386
2023/02/12 05:04:20.105,-51.56252452471898
2023/02/12 05:04:20.245,-54.28609871138448
2023/02/12 05:04:20.370,-55.099984854517274
2023/02/12 05:04:20.511,-61.14311271898464
2023/02/12 05:04:20.636,-59.46760692728623
2023/02/12 05:04:20.774,-55.00220480626538
2023/02/12 05:04:20.900,-59.28011416571699
2023/02/12 05:04:21.027,-60.21594589727275
2023/02/12 05:04:21.168,-56.5805947244981
2023/02/12 05:04:21.295,-58.45887595965032
2023/02/12 05:04:21.419,-59.29456540228115
2023/02/12 05:04:21.557,-57.62714518179581
2023/02/12 05:04:21.696,-59.05704677477903
2023/02/12 05:04:21.836,-49.9139241247667
2023/02/12 05:04:21.962,-53.22059757290709
2023/02/12 05:04:22.101,-58.1346011131081
2023/02/12 05:04:22.242,-60.85266691749801
2023/02/12 05:04:22.366,-52.320493861803705
2023/02/12 05:04:22.507,-59.93778605175007
2023/02/12 05:04:22.646,-58.832022688856895
2023/02/12 05:04:22.771,-59.84280843879786
2023/02/12 05:04:22.898,-53.567454460366775
2023/02/12 05:04:23.024,-59.584032458223916
2023/02/12 05:04:23.150,-56.72207650912296
2023/02/12 05:04:23.291,-61.090451186639726
2023/02/12 05:04:23.430,-53.037820969115366
2023/02/12 05:04:23.571,-59.84786167363399
2023/02/12 05:04:23.710,-57.458235987729005
2023/02/12 05:04:23.850,-57.04811319889573
2023/02/12 05:04:23.990,-59.586305613285624
2023/02/12 05:04:24.130,-60.4096711129217
2023/02/12 05:04:24.269,-60.11475069530057
2023/02/12 05:04:24.410,-59.49524774999471
2023/02/12 05:04:24.550,-59.57378874339956
2023/02/12 05:04:24.675,-56.40825355355207
2023/02/12 05:04:24.800,-55.101650188073556
2023/02/12 05:04:24.926,-61.88846749045349
2023/02/12 05:04:25.065,-58.90239991689556
