時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:05:14.475,-84
2023/02/12 05:05:14.616,-61.551949007325646
2023/02/12 05:05:14.758,-50.80838232546454
2023/02/12 05:05:14.882,-58.59750336908086
2023/02/12 05:05:15.022,-53.867762539297516
2023/02/12 05:05:15.162,-59.70032759528955
2023/02/12 05:05:15.288,-48.934797723270016
2023/02/12 05:05:15.414,-61.673888907061006
2023/02/12 05:05:15.555,-58.84007907432485
2023/02/12 05:05:15.681,-55.03655577996383
2023/02/12 05:05:15.822,-44.65049260490646
2023/02/12 05:05:15.962,-49.18953110813314
2023/02/12 05:05:16.099,-51.35081332776701
2023/02/12 05:05:16.225,-59.67607486059968
2023/02/12 05:05:16.364,-56.53067778475738
2023/02/12 05:05:16.505,-56.571066218422544
2023/02/12 05:05:16.630,-51.81150048081587
2023/02/12 05:05:16.755,-54.639048181506986
2023/02/12 05:05:16.898,-56.53369831702034
2023/02/12 05:05:17.037,-54.99472071517128
2023/02/12 05:05:17.175,-61.452154919270626
2023/02/12 05:05:17.300,-53.748420661805305
2023/02/12 05:05:17.439,-60.679499586196485
2023/02/12 05:05:17.579,-57.10243994899605
2023/02/12 05:05:17.717,-46.88656668972321
2023/02/12 05:05:17.843,-46.88656668972321
2023/02/12 05:05:17.982,-53.00043419132965
2023/02/12 05:05:18.120,-52.58314178234145
2023/02/12 05:05:18.259,-55.57640477245413
2023/02/12 05:05:18.396,-54.5114281772647
2023/02/12 05:05:18.522,-58.91197960468738
2023/02/12 05:05:18.662,-58.594161325048844
2023/02/12 05:05:18.802,-57.51757482987312
2023/02/12 05:05:18.927,-60.8240920559475
2023/02/12 05:05:19.067,-55.6942272637541
2023/02/12 05:05:19.193,-56.455743407675094
2023/02/12 05:05:19.334,-56.97070500233825
2023/02/12 05:05:19.473,-50.943053040527445
2023/02/12 05:05:19.613,-56.455280613046
2023/02/12 05:05:19.752,-55.00701958406354
2023/02/12 05:05:19.879,-54.5685745410652
2023/02/12 05:05:20.003,-53.84962078813317
2023/02/12 05:05:20.128,-51.463484208965085
2023/02/12 05:05:20.269,-49.562708221140554
2023/02/12 05:05:20.409,-51.5391386606577
2023/02/12 05:05:20.535,-55.24129664645734
2023/02/12 05:05:20.660,-50.41298697613993
2023/02/12 05:05:20.799,-49.6098071797431
2023/02/12 05:05:20.940,-54.08925773480415
2023/02/12 05:05:21.081,-58.548792343703944
2023/02/12 05:05:21.221,-56.866391388627015
2023/02/12 05:05:21.361,-60.62832815771877
2023/02/12 05:05:21.486,-60.58432283495273
2023/02/12 05:05:21.627,-51.93383853631439
2023/02/12 05:05:21.767,-58.38628816454453
2023/02/12 05:05:21.893,-59.03365144340729
2023/02/12 05:05:22.034,-49.755378197420015
2023/02/12 05:05:22.175,-56.9272516692517
2023/02/12 05:05:22.301,-52.70738135087975
2023/02/12 05:05:22.441,-58.68028499521547
2023/02/12 05:05:22.566,-56.26478436350932
2023/02/12 05:05:22.704,-56.90269615620838
2023/02/12 05:05:22.830,-57.64060974751307
2023/02/12 05:05:22.969,-54.54048595102371
2023/02/12 05:05:23.094,-57.547727400024385
2023/02/12 05:05:23.234,-59.22813271834758
2023/02/12 05:05:23.374,-61.87907539613928
2023/02/12 05:05:23.499,-51.29767969002927
2023/02/12 05:05:23.625,-56.78936858179283
2023/02/12 05:05:23.766,-61.015254732609456
2023/02/12 05:05:23.890,-53.880389996808795
2023/02/12 05:05:24.028,-61.06560983486722
2023/02/12 05:05:24.168,-52.66960376580524
2023/02/12 05:05:24.306,-48.992526851934485
2023/02/12 05:05:24.445,-58.78445907622053
2023/02/12 05:05:24.586,-54.71045474098872
2023/02/12 05:05:24.727,-54.08686611822912
2023/02/12 05:05:24.865,-61.87420311066177
2023/02/12 05:05:25.005,-61.017411207811314
2023/02/12 05:05:25.130,-60.2647724414727
2023/02/12 05:05:25.257,-56.46940005182582
2023/02/12 05:05:25.396,-58.847661161479145
2023/02/12 05:05:25.539,-57.55076089816442
2023/02/12 05:05:25.679,-61.72994526553721
2023/02/12 05:05:25.817,-51.69481528528753
2023/02/12 05:05:25.958,-54.259278037556484
2023/02/12 05:05:26.083,-53.07982622684019
2023/02/12 05:05:26.223,-51.649863436965184
2023/02/12 05:05:26.364,-57.10684582847555
2023/02/12 05:05:26.504,-55.80127017116085
2023/02/12 05:05:26.642,-57.32112584842266
2023/02/12 05:05:26.782,-59.329019776983216
2023/02/12 05:05:26.907,-55.77940277940417
2023/02/12 05:05:27.032,-61.130891625956224
2023/02/12 05:05:27.170,-58.85808903678797
2023/02/12 05:05:27.312,-54.088079223425495
2023/02/12 05:05:27.453,-52.56779369325837
