時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:05:53.341,-84
2023/02/12 05:05:53.469,-51.55920695964713
2023/02/12 05:05:53.593,-56.28379013141458
2023/02/12 05:05:53.733,-60.8727271172804
2023/02/12 05:05:53.874,-56.02189360734312
2023/02/12 05:05:54.013,-56.98726758315353
2023/02/12 05:05:54.153,-61.05649270819334
2023/02/12 05:05:54.279,-60.69547054876943
2023/02/12 05:05:54.406,-60.32691087613759
2023/02/12 05:05:54.544,-51.92034017506876
2023/02/12 05:05:54.683,-60.98132618198533
2023/02/12 05:05:54.827,-55.01792746724607
2023/02/12 05:05:54.954,-62.728217011173825
2023/02/12 05:05:55.080,-56.822541198733354
2023/02/12 05:05:55.205,-58.31296648556983
2023/02/12 05:05:55.345,-60.149835697619466
2023/02/12 05:05:55.471,-58.49888578346723
2023/02/12 05:05:55.598,-57.95214656522354
2023/02/12 05:05:55.738,-59.70702160258833
2023/02/12 05:05:55.879,-60.368250314972904
2023/02/12 05:05:56.018,-57.88999670259209
2023/02/12 05:05:56.158,-58.29179536100718
2023/02/12 05:05:56.295,-53.841817598404525
2023/02/12 05:05:56.439,-54.82693520228544
2023/02/12 05:05:56.580,-53.50313596772328
2023/02/12 05:05:56.719,-56.778296359320734
2023/02/12 05:05:56.859,-59.571649091904405
2023/02/12 05:05:56.997,-60.02120392087316
2023/02/12 05:05:57.122,-54.73523755798357
2023/02/12 05:05:57.248,-57.931373412164874
2023/02/12 05:05:57.388,-59.46526563103791
2023/02/12 05:05:57.514,-58.63908084187929
2023/02/12 05:05:57.654,-59.71384727218109
2023/02/12 05:05:57.778,-55.417296428243176
2023/02/12 05:05:57.903,-50.16610211601296
2023/02/12 05:05:58.043,-45.6153058725259
2023/02/12 05:05:58.183,-48.25779501088252
2023/02/12 05:05:58.324,-42.76559266284061
2023/02/12 05:05:58.465,-51.563174310760445
2023/02/12 05:05:58.604,-56.36349781988344
2023/02/12 05:05:58.744,-59.83007080153922
2023/02/12 05:05:58.884,-54.766558811508254
2023/02/12 05:05:59.023,-55.61599533929215
2023/02/12 05:05:59.149,-49.918562024309
2023/02/12 05:05:59.288,-58.05289306901884
2023/02/12 05:05:59.428,-58.95838522283096
2023/02/12 05:05:59.582,-55.119791769701074
2023/02/12 05:05:59.722,-54.26041485227127
2023/02/12 05:05:59.847,-58.13261017498638
2023/02/12 05:05:59.986,-59.550231504470865
2023/02/12 05:06:00.124,-59.28977285477497
2023/02/12 05:06:00.262,-56.38566165501466
2023/02/12 05:06:00.402,-48.68959959274037
2023/02/12 05:06:00.543,-59.08711942461156
2023/02/12 05:06:00.667,-58.37120066355653
2023/02/12 05:06:00.806,-49.92691654269344
2023/02/12 05:06:00.947,-52.24365765784394
2023/02/12 05:06:01.088,-59.728686683850555
2023/02/12 05:06:01.227,-55.39214719151189
2023/02/12 05:06:01.370,-56.480552999908234
2023/02/12 05:06:01.509,-52.597956346225104
2023/02/12 05:06:01.648,-59.36652636932915
2023/02/12 05:06:01.787,-58.468389338885025
2023/02/12 05:06:01.912,-59.95884466019259
2023/02/12 05:06:02.037,-55.670071220074206
2023/02/12 05:06:02.164,-50.13457431768107
2023/02/12 05:06:02.290,-59.4794769492125
2023/02/12 05:06:02.416,-59.13649808543791
2023/02/12 05:06:02.541,-53.99803443284557
2023/02/12 05:06:02.667,-60.19331998622345
2023/02/12 05:06:02.793,-60.034563031775825
2023/02/12 05:06:02.931,-57.04113135233204
2023/02/12 05:06:03.072,-55.661387990949166
2023/02/12 05:06:03.197,-56.30080999489571
2023/02/12 05:06:03.337,-52.97201947499366
2023/02/12 05:06:03.477,-59.38074255012612
2023/02/12 05:06:03.615,-57.561650926028506
2023/02/12 05:06:03.755,-46.82894842213936
2023/02/12 05:06:03.896,-44.81973346813437
2023/02/12 05:06:04.049,-49.82515771494239
2023/02/12 05:06:04.175,-49.66745212060022
2023/02/12 05:06:04.315,-58.12844974814485
2023/02/12 05:06:04.440,-53.365425120228934
2023/02/12 05:06:04.582,-52.39892206078955
2023/02/12 05:06:04.721,-47.55742148534752
2023/02/12 05:06:04.847,-45.88310341680974
2023/02/12 05:06:04.987,-51.60236988141334
2023/02/12 05:06:05.127,-50.01961323302692
2023/02/12 05:06:05.267,-45.31893074784482
2023/02/12 05:06:05.392,-40.17989617363611
2023/02/12 05:06:05.518,-47.426439857745194
2023/02/12 05:06:05.655,-54.47822387445686
2023/02/12 05:06:05.780,-57.02988157418814
2023/02/12 05:06:05.919,-41.60464947533883
2023/02/12 05:06:06.059,-39.66092298397014
2023/02/12 05:06:06.199,-37.5776368785469
2023/02/12 05:06:06.340,-37.403211017292946
